source_id,source_title,source_type,declared_e3plus_edge_count,exclusively_supported_removed_edge_count,lost_observed_actor_count,comparison_unit,research_status,display_tier,claim_status,review_status,frontend_eligibility,interpretation_limit,removed_edge_rank_desc
S004,辺野古の海を守れ NGO 31団体が緊急共同声明,ngo_statement,44,40,24,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation.",1
S003,67団体がジュゴンの生息地辺野古への基地建設反対に共同声明,ngo_statement,8,7,4,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation.",2
S031,沖縄平和運動センター 公式,organization_site,6,6,2,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation.",3
S245,沖縄・琉球弧の声とは,organization_site,6,5,0,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation.",4
S033,Tanji Miyume: Myth Protest and Struggle in Okinawa,academic_article,4,4,2,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation.",5
S038,一坪反戦地主会 軍用地契約拒否運動,organization_site,4,4,2,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation.",6
S121,全国公害弁護団連絡会議,organization_site,4,4,1,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation.",7
S124,普天間基地爆音訴訟报告,legal_network_report,4,4,1,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation.",8
S125,日本YWCA辺野古新基地建設声明,organization_statement,4,4,1,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation.",9
S005,Peace Boat statement on Henoko emergency NGO declaration,ngo_statement,3,3,1,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation.",10
S020,陸自配備阻止訴え 宮古で集会 市民 地下水保全求め,local_news,3,3,1,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation.",11
S021,ミサイル基地いらない 宮古島住民連絡会 結成集会,party_news,3,3,1,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation.",12
S022,沖縄対話プロジェクト 公式ページ,organization_site,3,3,1,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation.",13
S029,島ぐるみ会議 辺野古新基地反対で連帯,party_news,3,3,1,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation.",14
S032,新外交イニシアティブ（ND）公式サイト,organization_site,3,3,1,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation.",15
S036,南西諸島ピースネット 結成,local_news,3,3,1,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation.",16
S037,沖縄弁護士会 辺野古新基地建設に関する会長声明・決議,ngo_statement,3,3,1,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation.",17
S039,基地・軍隊を許さない行動する女たちの会 結成（Akibayashi）,academic_article,3,3,1,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation.",18
S040,辺野古土砂搬入反対全国連絡協議会 結成,magazine_news,3,3,1,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation.",19
S047,沖縄防衛局 辺野古新基地建設事業 環境影響評価書,official_data,3,3,1,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation.",20
S048,Veterans for Peace Ryukyu/Okinawa Chapter Kokusai,organization_site,3,3,1,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation.",21
S109,沖縄県労連の紹介,organization_site,3,3,1,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation.",22
S026,嘉手納爆音訴訟 第三次 那覇地裁沖縄支部判決,local_news,4,3,0,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation.",23
S027,普天間爆音訴訟 第二次 那覇地裁判決,local_news,4,3,0,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation.",24
S028,高江ヘリパッド建設 住民らが抗議,local_news,2,2,1,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation.",25
S030,第2次泡瀬干潟埋め立て訴訟 那覇地裁判決,local_news,2,2,1,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation.",26
S034,沖縄意見広告運動 全国紙に一面広告,organization_site,2,2,1,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation.",27
S105,沖教組とは,organization_site,2,2,1,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation.",28
S106,組合について：沖縄県高等学校障害児学校教職員組合,organization_site,2,2,1,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation.",29
S110,自治労沖縄県本部,organization_site,2,2,1,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation.",30
S009,Earthjustice dugong litigation explainer,legal_international,3,2,0,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation.",31
S023,ノーモア沖縄戦 命どぅ宝の会 結成,local_news,3,2,0,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation.",32
S042,名護市民投票 基地建設反対が多数,local_official,3,2,0,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation.",33
S114,宮古島環境クラブ,organization_site,2,2,0,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation.",34
S116,PFAS汚染から市民の生命を守る連絡会について,organization_site,4,2,0,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation.",35
S043,沖縄県 米軍基地の概要,official_data,1,1,1,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation.",36
S055,NOSCO AWWA page,organization_site,4,1,1,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation.",37
S016,石垣自衛隊配備 初の市民討論会,local_news,2,1,0,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation.",38
S017,石垣陸自配備 市民が工事中止要請,local_news,2,1,0,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation.",39
S025,辺野古米軍基地建設のための埋立ての賛否を問う県民投票 結果,official_referendum,3,1,0,remove source support; edge survives if any stated source remains,research_only,research,candidate,ai_seeded,not_frontend_ready,"Source dependency of encoded E3/E4 support, not disappearance of an actor, issue, activity or social relation.",40
