observation_id,source_layer,source_record_ids,event_or_project_id,event_or_project_name,date_or_period,actor_id,legacy_candidate_id,actor_name,actor_category,origin_type,role,entry_mode,venue_id,venue_label,target_type,target_id_or_name,local_object,place,observation_type,evidence_level,source_refs,review_status,interpretation_limit,venue_resolution
OBS_AEV0001,formal_AEV,AEV0001,EV2010_WWF_67,WWF Japan 67-group Henoko / dugong statement,2010,A003,,ジュゴンネットワーク沖縄,registry_actor,okinawa_local,co_signer_or_participant,advocacy_joint_statement,V002,public_statement_forum,policy_project,Henoko base construction plan,Henoko/Oura Bay base-construction and dugong issue,Henoko; Oura Bay,event_or_role_fact,E3,S003,human_checked,"co-signing is one-off event participation, not stable alliance",
OBS_AEV0002,formal_AEV,AEV0002,EV2010_WWF_67,WWF Japan 67-group Henoko / dugong statement,2010,A005,,WWFジャパン,registry_actor,japan_domestic,co_signer_or_participant,advocacy_joint_statement,V002,public_statement_forum,policy_project,Henoko base construction plan,Henoko/Oura Bay base-construction and dugong issue,Henoko; Oura Bay,event_or_role_fact,E4,S003,human_checked,"co-signing is one-off event participation, not stable alliance",
OBS_AEV0003,formal_AEV,AEV0003,EV2010_WWF_67,WWF Japan 67-group Henoko / dugong statement,2010,A006,,グリーンピース・ジャパン,registry_actor,japan_domestic,co_signer_or_participant,advocacy_joint_statement,V002,public_statement_forum,policy_project,Henoko base construction plan,Henoko/Oura Bay base-construction and dugong issue,Henoko; Oura Bay,event_or_role_fact,E4,S003,human_checked,"co-signing is one-off event participation, not stable alliance",
OBS_AEV0004,formal_AEV,AEV0004,EV2010_WWF_67,WWF Japan 67-group Henoko / dugong statement,2010,A061,,日本野鳥の会,registry_actor,japan_domestic,co_signer_or_participant,advocacy_joint_statement,V002,public_statement_forum,policy_project,Henoko base construction plan,Henoko/Oura Bay base-construction and dugong issue,Henoko; Oura Bay,event_or_role_fact,E4,S003,human_checked,"co-signing is one-off event participation, not stable alliance",
OBS_AEV0005,formal_AEV,AEV0005,EV2010_WWF_67,WWF Japan 67-group Henoko / dugong statement,2010,A062,,日本湿地ネットワーク（JAWAN）,registry_actor,japan_domestic,co_signer_or_participant,advocacy_joint_statement,V002,public_statement_forum,policy_project,Henoko base construction plan,Henoko/Oura Bay base-construction and dugong issue,Henoko; Oura Bay,event_or_role_fact,E4,S003,human_checked,"co-signing is one-off event participation, not stable alliance",
OBS_AEV0006,formal_AEV,AEV0006,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,A004,,日本自然保護協会,registry_actor,japan_domestic,co_signer_or_participant,advocacy_joint_statement,V002,public_statement_forum,policy_project,Henoko base construction plan,Henoko/Oura Bay base-construction and dugong issue,Henoko; Oura Bay,event_or_role_fact,E4,S004,human_checked,"co-signing is one-off event participation, not stable alliance",
OBS_AEV0007,formal_AEV,AEV0007,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,A021,,国際環境NGO FoE Japan,registry_actor,japan_domestic,co_signer_or_participant,advocacy_joint_statement,V002,public_statement_forum,policy_project,Henoko base construction plan,Henoko/Oura Bay base-construction and dugong issue,Henoko; Oura Bay,event_or_role_fact,E4,S004,human_checked,"co-signing is one-off event participation, not stable alliance",
OBS_AEV0008,formal_AEV,AEV0008,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,A022,,NPO法人 ラムサール・ネットワーク日本,registry_actor,japan_domestic,co_signer_or_participant,advocacy_joint_statement,V002,public_statement_forum,policy_project,Henoko base construction plan,Henoko/Oura Bay base-construction and dugong issue,Henoko; Oura Bay,event_or_role_fact,E4,S004,human_checked,"co-signing is one-off event participation, not stable alliance",
OBS_AEV0009,formal_AEV,AEV0009,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,A023,,美ら海にもやんばるにも基地はいらない市民の会,registry_actor,okinawa_local,co_signer_or_participant,advocacy_joint_statement,V002,public_statement_forum,policy_project,Henoko base construction plan,Henoko/Oura Bay base-construction and dugong issue,Henoko; Oura Bay,event_or_role_fact,E4,S004,human_checked,"co-signing is one-off event participation, not stable alliance",
OBS_AEV0010,formal_AEV,AEV0010,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,A024,,辺野古リレー,registry_actor,okinawa_local,co_signer_or_participant,advocacy_joint_statement,V002,public_statement_forum,policy_project,Henoko base construction plan,Henoko/Oura Bay base-construction and dugong issue,Henoko; Oura Bay,event_or_role_fact,E4,S004,human_checked,"co-signing is one-off event participation, not stable alliance",
