episode_id,field,zh,ja,en,review_note
TE01,display_label,儒艮海外诉讼,ジュゴン米国訴訟,Okinawa dugong litigation in U.S. federal court,
TE01,local_problem,基地建设与儒艮影响,基地建設とジュゴンへの影響,Base construction and its impact on the dugong,
TE01,translation_frame,文化财程序义务／NHPA §402,文化財の手続き義務／NHPA §402,Cultural property procedural obligations / NHPA §402,
TE01,venue_label,美国联邦法院／APA review,米連邦裁判所／APA審査,U.S. federal court / APA review,
TE01,observable_output,Section 402 适用与可审查标准、公开记录,セクション402の適用と審査可能な基準、公開記録,"Section 402 applicability, reviewable standards, public record",
TE01,substantive_result,2020 维持 DoD 胜诉；未停止工程,2020年にDoD勝訴を維持；工事は停止されず,DoD's win upheld in 2020; construction not halted,
TE01,interpretation_limit,程序标准与信息生产不等于工程被阻止；原告身份严格按各案 caption／当事人表核定。,手続基準と情報生成は工事阻止を意味しない。原告としての地位は各事件の当事者表示に基づいて限定する。,"Procedural standards and information production did not stop construction; plaintiff status is limited to the parties named in each case caption.",
TE02,display_label,边野古 EIA 意见,辺野古EIA意見,Henoko EIA opinions,
TE02,local_problem,基地建设与生态影响,基地建設と生態への影響,Base construction and ecological impact,
TE02,translation_frame,调查、预测与减缓充分性,調査・予測・緩和の十分性,"Adequacy of surveys, forecasts and mitigation",
TE02,venue_label,日本 EIA 方法书／补正评价书程序,日本のEIA方法書／補正評価書の手続き,Japan's EIA scoping document / supplementary assessment procedure,
TE02,observable_output,NACSJ 科学批评进入正式行政记录,NACSJの科学的批判が正式な行政記録に入った,NACSJ's scientific critique entered the formal administrative record,
TE02,substantive_result,补正 EIA 完成；不证明意见获采纳或工程停止,補正EIAは完成；意見の採用や工事停止は証明されない,Supplementary EIA completed; adoption of the opinions or a construction halt not demonstrated,
TE02,interpretation_limit,正式提交意见不等于采纳。,正式な意見提出は採用を意味しない。,Formal submission of opinions does not mean they were adopted.,
TE03,display_label,嘉手纳第三次噪音诉讼,嘉手納第三次騒音訴訟,Third Kadena noise lawsuit,
TE03,local_problem,航空器噪音与日常负担,航空機騒音と日常の負担,Aircraft noise and daily-life burden,
TE03,translation_frame,人格／生活损害与差止,人格権・生活上の損害と差止,"Infringement of personal rights, harm to daily life, and injunctive relief",
TE03,venue_label,日本民事差止／损害赔偿诉讼,日本の民事差止・損害賠償訴訟,Japanese civil injunction / damages lawsuit,
TE03,observable_output,法院确认部分过去期间噪音损害,裁判所が一部の過去の期間の騒音被害を認定,Court recognized noise harm for part of the past period,
TE03,substantive_result,获部分赔偿；差止与未来损害请求被驳回,一部賠償を獲得；差止と将来の損害請求は棄却,Partial damages awarded; injunction and future-damage claims dismissed,
TE03,interpretation_limit,赔偿不表示噪音停止；原告团不等于所有个体或轮次恒定。,賠償は騒音の停止を意味しない；原告団は全個人・全ラウンドを代表しない。,Damages do not mean the noise stopped; the plaintiff group is not identical with every individual or every round.,
TE04,display_label,普天间周边噪音诉讼,普天間周辺騒音訴訟,Futenma-area noise lawsuit,
