actor_id,actor_name,identity_online_status,direct_issue_status,candidate_edge_count,candidate_issue_ids,strongest_evidence_level,unresolved_after_online_pass,online_conclusion,needs_local_retrieval
A073,琉球沖縄国際支援プログラム,unverified_online,online_exhausted_no_edge,0,,none,exact entity identity; legal status; activity continuity; any direct Phase-1 issue link,online_exhausted_needs_local_or_registry_reconsideration,yes
A076,ジュゴン保護基金委員会（Save the Dugong Foundation）,named_case_party_confirmed_continuity_unresolved,case_specific_candidates_found,3,I004;I011;I003,E4,"post-case continuity, founding/legal status and current organization-level activity remain HR-001/local-retrieval questions",activate_case_layer_after_HR024; retain continuity gap,yes
A086,Turtle Island Restoration Network,online_verified,candidate_edges_found,4,I004;I011;I012;I005,E4,whether to retain biodiversity and international-advocacy mappings as separate issue edges rather than one legal-case bundle,candidate_activation_pending_human_review,no
A087,NPO法人世界版「平和の礎」を提案する会,online_verified,candidate_edges_found,3,I019;I025;I015,E4,whether international_cooperation describes implemented work or statutory aspiration,candidate_activation_pending_human_review,no
A088,特定非営利活動法人沖縄平和協力センター,online_verified,candidate_edges_found,2,I019;I015,E4,security/human-security vocabulary is outside the present 26-issue taxonomy; no anti-base inference,candidate_activation_pending_human_review,no
A089,沖縄県教職員組合,online_verified,candidate_edges_found,2,I019;I025,E4,Henoko evidence is branch-attributed and is not proposed as a formal edge in this batch,candidate_activation_pending_human_review,no
A090,沖縄県高等学校障害児学校教職員組合,online_verified,candidate_edges_found,2,I019;I001,E4,mobilization and anti-war remain uncoded pending scope preference,candidate_activation_pending_human_review,no
A091,日本労働組合総連合会沖縄県連合会（連合沖縄）,online_verified,candidate_edges_found,5,I023;I007;I001;I003;I019,E4,time-bounded leadership statements require HR-010 scope review,candidate_activation_pending_human_review,no
A092,沖縄県労働組合総連合,online_verified,candidate_edges_found,3,I001;I019;I025,E4,specific event/place actions not yet separately coded,candidate_activation_pending_human_review,no
A093,全日本自治団体労働組合沖縄県本部,online_verified,candidate_edges_found,3,I003;I009;I019,E4,some detail pages are members-only; title-level locators require HR-010,candidate_activation_pending_human_review,no
A094,一般社団法人沖縄県女性連合会,online_verified,candidate_edges_found,4,I022;I019;I020;I001,E4,historical base actions require date-specific review,candidate_activation_pending_human_review,no
A095,止めよう「自衛隊配備」宮古郡民の会,online_verified,candidate_edges_found,4,I002;I007;I006;I026,E4,"groundwater claim is a reported group concern, not an independently verified impact finding",candidate_activation_pending_human_review,no
A096,宮古平和運動連絡協議会,online_verified,candidate_edges_found,2,I002;I019,E4,long-term continuity after the documented petitions/events is not fully visible online,candidate_activation_pending_human_review,no
A097,宮古島環境クラブ,online_verified,candidate_edges_found,3,I020;I006;I005,E4,no direct military-deployment link found or inferred,candidate_activation_pending_human_review,no
A098,特定非営利活動法人宮古島海の環境ネットワーク,online_verified,candidate_edges_found,2,I020;I005,E4,no direct military-deployment link found or inferred,candidate_activation_pending_human_review,no
A099,有機フッ素化合物（PFAS）汚染から市民の生命を守る連絡会,online_verified,candidate_edges_found,4,I006;I008;I007;I020,E4,causal source and medical effects remain attributed claims/scientific questions,candidate_activation_pending_human_review,no
A100,ミサイル配備から命を守るうるま市民の会,online_verified,candidate_edges_found,5,I002;I007;I017;I018;I026,E4,no organization-controlled site found; event claims rely on official minutes and major local press,candidate_activation_pending_human_review,no
A101,沖縄・琉球弧の声を届ける会,online_verified,candidate_edges_found,7,I002;I017;I018;I025;I023;I012;I020,E4,scenario claims remain attributed; supporting groups are not alliance edges,candidate_activation_pending_human_review,no
