canonical_case_or_event_id,event_or_case_names,source_modules,formal_observation_rows,deduplicated_repertoire_units,action_families,venue_groups,parallel_formal_layers,counting_rule,interpretation_limit
EV2010_WWF_67,WWF Japan 67-group Henoko / dugong statement,AEV_HR015,5,1,joint_statement,civic_public_communication,no,parallel role/stage layers remain auditable but collapse inside the same case-action-venue unit,Parallel layers do not mean repeated independent events or a stable alliance.
EV2012_YONAGUNI_OPINION_AD,2012 Yonaguni anti-deployment opinion ad,AEV_HR015,1,1,opinion_ad,media_public_opinion,no,parallel role/stage layers remain auditable but collapse inside the same case-action-venue unit,Parallel layers do not mean repeated independent events or a stable alliance.
EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,AEV_HR015,28,1,joint_statement,civic_public_communication,no,parallel role/stage layers remain auditable but collapse inside the same case-action-venue unit,Parallel layers do not mean repeated independent events or a stable alliance.
EV2020_OEJP_MMC_71,OEJP / MMC civil-society request and report,AEV_HR015,11,1,institutional_request,international_institution,no,parallel role/stage layers remain auditable but collapse inside the same case-action-venue unit,Parallel layers do not mean repeated independent events or a stable alliance.
EV2022_KADENA_4TH_NOISE_LAWSUIT,Fourth Kadena Base Noise Injunction Lawsuit filing,AEV_HR015,1,1,legal_action,legal_judicial,no,parallel role/stage layers remain auditable but collapse inside the same case-action-venue unit,Parallel layers do not mean repeated independent events or a stable alliance.
EV2023_PREFECTURAL_PEACE_RALLY,2023 Okinawa prefectural peace mass rally,AEV_HR015,1,1,public_rally,civic_policy_forum,no,parallel role/stage layers remain auditable but collapse inside the same case-action-venue unit,Parallel layers do not mean repeated independent events or a stable alliance.
EV2024_WOMEN_ANTI_VIOLENCE_RALLY,2024 prefectural rally against U.S. military sexual violence,AEV_HR015,1,1,public_rally,civic_policy_forum,no,parallel role/stage layers remain auditable but collapse inside the same case-action-venue unit,Parallel layers do not mean repeated independent events or a stable alliance.
R10R017,国际协力 festival 协作,R10_HUMAN_RELATION,1,1,administrative_collaboration,civic_policy_forum,no,parallel role/stage layers remain auditable but collapse inside the same case-action-venue unit,Parallel layers do not mean repeated independent events or a stable alliance.
R10R019,USO Okinawa 长期企业伙伴,R10_HUMAN_RELATION,1,1,service_charity_support,service_charity,no,parallel role/stage layers remain auditable but collapse inside the same case-action-venue unit,Parallel layers do not mean repeated independent events or a stable alliance.
R10R022,OESC 向 USO Okinawa 捐赠,R10_HUMAN_RELATION,1,1,service_charity_support,service_charity,no,parallel role/stage layers remain auditable but collapse inside the same case-action-venue unit,Parallel layers do not mean repeated independent events or a stable alliance.
