missing_id,module,asset_name,gap_class,priority,blocks_boss_facing_final,work_mode,human_gate,input_assets,done_when,target_page,status,notes
MA001,R1/R2,R1/R2 图表一致性重生包,content_freeze_regeneration,P0,yes,online_after_human_review,HR010|LCR001-LCR004|HR034|HR029,outputs/R01_R02_actor_issue_v1/; central actor_issue data; validation_metrics_v1.csv,以121 active actors／238 active edges 当前层为底；HR029 后统一标题、图例、表和 brief 并输出 F009–F012 最终版,8-11,awaiting_human_review,HR019 已合并且当前图已重生；剩余是上游证据／生命周期与受控词最终冻结
MA002,R3,冻结版地点×议题核心图,true_missing_core_figure,P0,yes,online_after_human_review,HR010|LCR001-LCR004|HR034|HR029,312-row same-source triples; accepted actor_place semantics; frozen actor_issue edges; event/evidence tables; place registry,以312条同源三元事实为底生成中文正文核心图；区分关系语义／证据层并以宽投影仅作敏感性上界；附 data/script/source note,12-13,awaiting_human_review,三元事实层与敏感性图已完成；缺的是冻结后的合同正文装配图，旧 F002 永不复用
MA003,R2,完整二模网络印刷版,production_layout,P1,conditional,online_after_human_review,HR029,F010 source data; current 238-edge layer,生成横版或双页可读版本；65人审／173候选边可区分；正文字号达标；完整图进入附录,11|appendix,planned,当前概念图已存在；缺的是 HR029 后的印刷适配，不是新研究
MA004,R3,R3 空间语义与三地 dossier 最终版,content_freeze_regeneration,P0,yes,online_after_human_review,HR029,F013–F015; actor_place_semantic_summary_v1.csv; sakishima_actor_place_dossier_v1.csv,F014/F015 保持当前分层；HR029 后只重生并冻结 F013 全量附录与统一 alias,12-13,awaiting_human_review,HR025 与 AP123=P007 已完成；不得把倡议目标写成总部、事件出现写成持续在场
MA005,R9,公投 accepted-only 正文图,content_freeze_regeneration,P0,no,online_completed,none,data/interim/20_referendum_process_stages_v0.csv; outputs/R09_referendum_process_v0/actor_process_roles_v0.csv; F027/F028,两张 PNG＋SVG 使用29 accepted stages 与29 accepted roles；9项当地材料保持图外；图注锁定程序顺序非因果与 A011 requester≠plaintiff,22,completed_v1,正文采用 accepted_v1；旧 v0 reviewed-all 图保留为历史审计附录
MA006,R9,选举—市民组织正式接口图表包,content_freeze_regeneration,P0,yes,online_completed,none,19 human_checked actor_event rows; F029/F030; three_election_windows_v1.csv,19/19 已合并；F029 与 F030 均按18 held＋1 announcement-only 当前层重生；图注明确非因果,23,completed_v1,不输出票数贡献、胜负效果、政策效果或联盟强度
MA007,R10,R10 人审后机制与金额图表包,content_freeze_regeneration,P0,yes,online_after_human_review,HR029,35 relations; 28 amount observations; 43 functions; F008/F031/F032; A032/A033,HR018/032 已合并；F008/F031/F032 已按当前层重绘，F008/F032 ready；HR029 后只需冻结 F031 受控词,24-25,awaiting_human_review,不得命名为运动资金网络；5 actual contract 与14 project cost 分层；aggregate、NOFO 保持各自语法
MA008,R1,冻结版组织分类与重点 actor 表,research_table,P1,conditional,online_after_human_review,HR010|LCR001-LCR004|HR034|HR029,actor_class_audit_118_v1.csv; actor_class_controlled_mapping_v1.csv,冻结121个有效 actor 的 actor_class、analysis_family、lifecycle 与 schema 外术语；导出1页正文精选表与完整附录表,8,planned,HR019/027 已合并；补充解释性表，不以 actor 数量代替模块价值
MA009,R5,事件名称别名与切分冻结,content_freeze_regeneration,P1,no,online_completed,none,actor_event_bipartite_edges_v0.csv; F018,14 项身份/alias/segmentation 决策已合并；event-only 留事件层；F018 已按64 registry／22 human-reviewed event-only／83 other重生,16|appendix,completed_v1,重复参与不是稳定联盟；event-only 不进入 registry
MA010,全报告,图表—claim—证据—来源—数据—脚本—人审 crosswalk,source_crosswalk,P0,yes,online,none,figure_manifest_v1.csv; claim audit; evidence notes/formal role tables; source log/crosswalks; generation scripts,每个正文图至少指向 report claim、evidence note 或正式事实表、locator/source、data、script 与 review gate；链接可解析；残余定位精修交 MA013,32,completed_v1,27 张非 superseded 正文图已有 claim→evidence/formal table→locator/source→data→script→human-gate 追溯行；冻结后随最终图和 claim audit 重跑
MA011,R9,既有选举研究×组织网络接口表,research_table,P1,conditional,user_export_required,prior_election_study_input,prior election study findings supplied by project; 19 accepted R9 election interface events,形成一页非因果 crosswalk：既有选举结论、对应组织问题、可见公开接口、不能推断事项；所有本期例证来自 human_checked layer,3|23,blocked_missing_input,HR026 已完成；仍缺项目负责人提供的1990–2022前期研究正文／数据；不是因果模型
MA012,全报告,registry/schema/alias/计数全局冻结表,global_freeze,P0,yes,online_after_human_review,HR010|LCR001-LCR004|HR034|HR029,actor registry; controlled vocabularies; alias decisions; module validation metrics,形成带日期的唯一冻结版本；记录最终 actor、issue/place/edge/source 计数与例外；所有受影响图表按该版本重生,6|29|32,awaiting_human_review,当前122 history／121 active等计数是日期化状态；完成HR010/LCR/HR034后再执行HR029
MA013,全报告,残余 locator 与引用精修,citation_cleanup,P1,conditional,online,none,HR015 locator notes; EN0021; EN0025-30; EN0033; EN0038-40,五组 locator 精确到具体页面/案号/页码或条目；正文引用与 source id 一致；不改变既有人审 claim,32,planned,引用可核性修复，不作为重新人审
MA014,R3/R9,与那国 A014/A015 组织身份材料卡,local_retrieval,P1,no,local_collaborator,local_retrieval_task,Yaeyama newspaper archive; town council records; referendum/opinion-ad originals,分别确认正式名称、成立/持续性、代表/事务局及原始材料 locator；证据不足则保持事件级 E2,30,online_exhausted,不阻断在线报告；报告应把缺口写成当地协作者的精确任务
