crosswalk_id,candidate_id,candidate_string,normalized_string,comparison_object_id,comparison_name,comparison_type,machine_disposition,evidence_basis,source_proposal_refs,human_check_needed,boundary_note
RV2X001,RV2C001,宮古島地下水研究会,宮古島地下水研究会,C015,宮古島・命の水・自衛隊配備について考える会,prior_deferred_candidate,distinct_entity_do_not_merge,Exact names and documented leaders differ; HR-011 already warned against merger.,RV2SP001;RV2SP006,yes,C015 remains under HR-011 and must not be resolved by absorbing it into this candidate.
RV2X002,RV2C001,宮古島地下水研究会,宮古島地下水研究会,A012,宮古島いのちの水を守ろう！,existing_actor,unresolved_relation_not_alias,The registry's A012 exact name and source history differ; no succession/identity record was found.,RV2SP001;RV2SP002,yes,"Do not create an alias, successor or alliance relation without a source that addresses the relationship."
RV2X003,RV2C001,宮古島地下水研究会,宮古島地下水研究会,A097,宮古島環境クラブ,existing_actor,distinct_entity_thematic_overlap,Names and organizational descriptions are different; both address Miyako environment/groundwater issues.,RV2SP001;RV2SP002,no,Shared issue/place does not establish affiliation.
RV2X004,RV2C002,ちゅら水会,ちゅら水会,RV2C002,宜野湾ちゅら水会,short_name_candidate,probable_alias_pending_human,Local reporting repeatedly shortens the exact name to ちゅら水会 in the same article/context.,RV2SP010;RV2SP011,yes,The short form is not globally unique; retain the locality in canonical display.
RV2X005,RV2C002,宜野湾ちゅら水会,宜野湾ちゅら水会,A099,有機フッ素化合物（PFAS）汚染から市民の生命を守る連絡会,existing_actor,separate_entities_same_field,A 2026 exchange record names both groups separately; their geographic scale and public mechanisms also differ.,RV2SP007;RV2SP013,yes,Co-participation does not create an alliance or membership relation.
RV2X006,RV2C003,新婦人,新婦人,RV2C003,新日本婦人の会沖縄県本部,ambiguous_short_name,do_not_add_unqualified_alias,"新婦人 is the national association's short name and can refer to the parent body, not only the Okinawa headquarters.",RV2SP014;RV2SP018,yes,Prefer 新婦人沖縄県本部 only if a source uses that exact branch-specific form.
RV2X007,RV2C003,新日本婦人の会沖縄県本部,新日本婦人の会沖縄県本部,A049;A105;A107;A111,existing women/YWCA actors,existing_actor_cluster,distinct_entity_same_function_layer,"Exact names, governance and public records are distinct; the candidate is a prefectural unit of a separate national association.",RV2SP014;RV2SP016;RV2SP017,yes,Functional overlap in women/peace/human-rights work is analytically valuable and not a duplicate by itself.
RV2X008,RV2C004,全港湾沖縄地方本部,全港湾沖縄地方本部,RV2C004,全日本港湾労働組合沖縄地方本部,documented_abbreviation,probable_alias_pending_human,The national union's 2025 PDF uses the abbreviated branch name while official government records use the full name.,RV2SP019;RV2SP024,yes,Canonical should use the full official form.
RV2X009,RV2C004,全港湾沖縄,全港湾沖縄,RV2C004,全日本港湾労働組合沖縄地方本部,media_short_name,probable_alias_pending_human,Local-news headline and text use 全港湾沖縄 for the full organization.,RV2SP021,yes,Do not confuse the Okinawa branch with the national union.
RV2X010,RV2C004,全日本港湾労働組合沖縄地方本部,全日本港湾労働組合沖縄地方本部,A089;A090;A091;A092;A093,existing labor/education union actors,existing_actor_cluster,distinct_union_same_layer,Exact union identity and port-sector jurisdiction are distinct.,RV2SP019;RV2SP020,no,Common labor or peace events do not establish federation membership or alliance.
RV2X011,RV2C005,八重山大地（やいまうふづぃー）会;やいま大地会,八重山大地会;やいま大地会,RV2C005,八重山大地会,spelling_reading_variants,alias_set_needs_primary_confirmation,Local news gives 八重山大地（やいまうふづぃー）会; an analytical diagram gives やいま大地会.,RV2SP026;RV2SP029,yes,Do not freeze canonical spelling from the lower-grade diagram alone.
RV2X012,RV2C005,八重山大地会,八重山大地会,A010,石垣島に軍事基地をつくらせない市民連絡会,possible_coalition_component,not_duplicate_component_relation_unfrozen,An analytical organization map places やいま大地会 inside A010's wider composition; no official membership record was found.,RV2SP026;RV2SP029,yes,Do not merge the organizations or create a stable membership edge before primary/human confirmation.
