place,top_frame_1,top_frame_2,top_frame_3,interpretation,next_evidence_need
Henoko,ecology / environment (24),base / anti-military (20),international route (20),环保-反基地-国际倡议主场,2010/2015/2020 event table and lawsuit/procedure role separation
Oura Bay,ecology / environment (6),base / anti-military (3),international route (3),生态 / 儒艮 / 大浦湾环境框架,biodiversity reports and actor-role evidence
Ishigaki,base / anti-military (3),autonomy / referendum (2),ecology / environment (1),自卫队配备、住民投票、生活安全与地下水线索,local newspaper and referendum/legal records
Miyako,base / anti-military (3),ecology / environment (2),life / health safety (2),导弹 / 弹药库、地下水与生活安全线索,local newspaper and groundwater/source protection records
Yonaguni,base / anti-military (4),frontline / Taiwan (3),autonomy / referendum (2),前线化、地方自治、住民投票与健康风险线索,"local newspaper, town assembly, opinion ad materials"
Kadena,life / health safety (3),base / anti-military (1),legal / procedure (1),爆音诉讼、生活安全、基地负担,court records and plaintiff organization details
Futenma,base / anti-military (1),life / health safety (1),legal / procedure (1),城市安全、基地风险与法律程序,court records and plaintiff organization details
Camp Foster,life / health safety (4),,,基地社区服务 / 军属服务场域,service organization program/recipient records
U.S. Consulate General Naha,international route (1),,,公共外交 / grant opportunity 场域,award/recipient monitoring
JICA Okinawa,international route (2),,,国际合作 / 行政协作背景场域,ONC/JICA/MOFA contract or project records
