metric_observation_id,cohort,case_id,actor_id,actor_name,period_start,period_end,metric,value,currency,field_semantics,source_anchor_id,source_receipt_id,review_status,fact_status,allowed_claim,prohibited_inference
FM001,core_five,AWWA,X004,American Welfare & Works Association (AWWA),2021-06-01,2022-05-31,total_revenue_usd,,USD,official_xml_field,,W2A-SR015,ai_seeded,research_only_explicit_gap,No numeric value is admitted for this metric and tax period.,Do not combine unlike tax periods into an annual ecology total; a missing element is not zero.
FM002,core_five,AWWA,X004,American Welfare & Works Association (AWWA),2021-06-01,2022-05-31,total_expenses_usd,,USD,official_xml_field,,W2A-SR015,ai_seeded,research_only_explicit_gap,No numeric value is admitted for this metric and tax period.,Do not combine unlike tax periods into an annual ecology total; a missing element is not zero.
FM003,core_five,AWWA,X004,American Welfare & Works Association (AWWA),2021-06-01,2022-05-31,grants_and_similar_paid_usd,,USD,official_xml_field,,W2A-SR015,ai_seeded,research_only_explicit_gap,No numeric value is admitted for this metric and tax period.,Do not combine unlike tax periods into an annual ecology total; a missing element is not zero.
FM004,core_five,AWWA,X004,American Welfare & Works Association (AWWA),2021-06-01,2022-05-31,net_assets_or_fund_balances_eoy_usd,,USD,official_xml_field,,W2A-SR015,ai_seeded,research_only_explicit_gap,No numeric value is admitted for this metric and tax period.,Do not combine unlike tax periods into an annual ecology total; a missing element is not zero.
FM005,core_five,AWWA,X004,American Welfare & Works Association (AWWA),2022-06-01,2023-05-31,total_revenue_usd,118696,USD,official_xml_field,W2A-A001,W2A-SR001,ai_seeded,research_only_official_filing_observation,The filing reports total_revenue_usd=118696 for this tax period.,Do not combine unlike tax periods into an annual ecology total; a missing element is not zero.
FM006,core_five,AWWA,X004,American Welfare & Works Association (AWWA),2022-06-01,2023-05-31,total_expenses_usd,128830,USD,official_xml_field,W2A-A002,W2A-SR001,ai_seeded,research_only_official_filing_observation,The filing reports total_expenses_usd=128830 for this tax period.,Do not combine unlike tax periods into an annual ecology total; a missing element is not zero.
FM007,core_five,AWWA,X004,American Welfare & Works Association (AWWA),2022-06-01,2023-05-31,grants_and_similar_paid_usd,125158,USD,official_xml_field,W2A-A003,W2A-SR001,ai_seeded,research_only_official_filing_observation,The filing reports grants_and_similar_paid_usd=125158 for this tax period.,Do not combine unlike tax periods into an annual ecology total; a missing element is not zero.
FM008,core_five,AWWA,X004,American Welfare & Works Association (AWWA),2022-06-01,2023-05-31,net_assets_or_fund_balances_eoy_usd,12694,USD,official_xml_field,W2A-A004,W2A-SR001,ai_seeded,research_only_official_filing_observation,The filing reports net_assets_or_fund_balances_eoy_usd=12694 for this tax period.,Do not combine unlike tax periods into an annual ecology total; a missing element is not zero.
FM009,core_five,AWWA,X004,American Welfare & Works Association (AWWA),2023-06-01,2024-05-31,total_revenue_usd,97211,USD,official_xml_field,W2A-A005,W2A-SR002,ai_seeded,research_only_official_filing_observation,The filing reports total_revenue_usd=97211 for this tax period.,Do not combine unlike tax periods into an annual ecology total; a missing element is not zero.
FM010,core_five,AWWA,X004,American Welfare & Works Association (AWWA),2023-06-01,2024-05-31,total_expenses_usd,99725,USD,official_xml_field,W2A-A006,W2A-SR002,ai_seeded,research_only_official_filing_observation,The filing reports total_expenses_usd=99725 for this tax period.,Do not combine unlike tax periods into an annual ecology total; a missing element is not zero.
