participant_no,candidate_name,origin_guess,actor_class_guess,tier,proposed_decision,review_priority,rationale
1,Diving Team Rainbow,okinawa_local,environmental_ngo_or_group,A,add_as_signatory_candidate,P2,冲绳本地潜水/海洋环境组，直接相关儒艮/大浦湾海域，能加深 R2/R11。
3,Dugong no Sato,okinawa_local,environmental_ngo_or_group,A,add_as_signatory_candidate,P2,儒艮主题本地组，直接进入儒艮/生物多样性网络。
7,Okinawa Reefcheck and Research Group,okinawa_local,environmental_ngo_or_group,A,add_as_signatory_candidate,P2,冲绳珊瑚礁调查组，环境证据链相关。
8,Okumagawa Basin Protection Foundation,okinawa_local,environmental_ngo_or_group,A,add_as_signatory_candidate,P2,奥间川流域（山原/国头）保护，环境/生物多样性相关；tentative 日文名待核。
9,Protect Northernmost Dugong Team Zan,okinawa_local,environmental_ngo_or_group,A,add_as_signatory_candidate,P2,ザン=儒艮，本地儒艮保护小队，直接相关。
14,East Asian Community Institute Ryukyu Okinawa Center,okinawa_local,peace_human_rights_or_other,A,add_as_signatory_candidate,P2,疑为东亚共同体研究所琉球·冲绳中心，本地智库/倡议节点；tentative 别名待核。
15,Henoko Blue,okinawa_local,peace_human_rights_or_other,A,add_as_signatory_candidate,P2,疑为辺野古ブルー，边野古海上现场抗议组，on-site 核心；tentative 别名待核。
17,Nago Democracy,okinawa_local,peace_human_rights_or_other,A,add_as_signatory_candidate,P2,名护本地民主/反基地civic组，Henoko-Nago 场域相关。
19,No Heliport Base Association of 10 Districts North of Futamai,okinawa_local,peace_human_rights_or_other,A,add_as_signatory_candidate,P2,二见以北十区住民组，边野古邻近住民actor，价值高。
13,"Association of Nightingales, Medical Professionals, and Students for the Protection of Life",okinawa_local,peace_human_rights_or_other,B,defer,P3,本地医护/生命安全主题，身份与持续性不明，待识别后再定。
20,Nuchi du Takara o keisyosurukai,okinawa_local,peace_human_rights_or_other,B,defer,P3,ぬちどぅ宝继承主题，civic 但可能松散/纪念性，待识别。
22,Okinawa Nobel Peace Prize Action Committee,okinawa_local,peace_human_rights_or_other,B,defer,P3,倡议委员会，事件性可能强，待识别是否持续组织。
24,Project Disagree,okinawa_local,peace_human_rights_or_other,B,defer,P3,身份不明的小型项目/团体，待识别。
26,Wabiai no Sato Foundation,okinawa_local,peace_human_rights_or_other,B,defer,P3,和爱の里，疑为福祉/照护设施，功能存疑，待识别。
28,"Association for Conservation of Amami Forests, Rivers, and Coastal Ecosystems",japan_domestic,environmental_ngo_or_group,B,defer,P3,奄美环境团体，环境声援层，非冲绳本地，价值中等待评。
29,Association for Conservation of Marine Communities,japan_domestic,environmental_ngo_or_group,B,defer,P3,本土海洋环境团体，声援层，暂缓。
30,Environmental Network AMAMI (ENA),japan_domestic,environmental_ngo_or_group,B,defer,P3,奄美环境网络，声援层，暂缓。
31,Iruka & Kujira (Dolphin & Whale) Action Network,japan_domestic,environmental_ngo_or_group,B,defer,P3,海豚鲸行动网络，环境声援，暂缓。
35,Pan-Seto Inland Sea Congress,japan_domestic,environmental_ngo_or_group,B,defer,P3,濑户内海会议，本土环境声援，暂缓。
36,Protect Henoko and Takae! NGO Network,japan_domestic,environmental_ngo_or_group,B,defer,P3,本土守护边野古/高江NGO网络，Henoko 相关度较高，可优先在B层复评。
38,The Nature and Culture Conservation Group of Amami (NCA),japan_domestic,environmental_ngo_or_group,B,defer,P3,奄美自然文化保护组，声援层，暂缓。
16,Minshuku Yaponesia,okinawa_local,peace_human_rights_or_other,C,signatory_only_no_add,P3,民宿/场所类署名者，非civic运动actor，仅留共同行动表。
39,Ainokai Aitou,japan_domestic,peace_human_rights_labor_or_other,C,signatory_only_no_add,P3,本土一次性声援署名，非冲绳网络actor。
40,Airin Community Center,japan_domestic,peace_human_rights_labor_or_other,C,signatory_only_no_add,P3,本土社区中心声援署名，仅留共同行动表。
41,AKAY JAPAN,japan_domestic,peace_human_rights_labor_or_other,C,signatory_only_no_add,P3,本土声援署名，身份不明，仅留共同行动表。
42,AKCDF-MAPALAD KA (The Philippines),international,peace_human_rights_labor_or_other,C,signatory_only_no_add,P3,菲律宾团体一次性国际声援，非核心网络。
43,All Japan Dockworkers' Union (JDU) Kansai Regional Osaka Branch,japan_domestic,peace_human_rights_labor_or_other,C,signatory_only_no_add,P3,本土工会分部声援署名，仅留共同行动表。
