audit_row_id,source_id,integration_status,proposal_refs,candidate_refs,normalized_url,source_review_status,archive_status,archive_local_path,archive_sha256,archive_http_status,archive_note,metadata_review_required,web_review_required,hr030_item_id,relation_or_claim_approved,boundary_note
NW2FS001,S248,provisional_source_log_new,NW2-B_R09:R9EC_S001,,https://www.pref.okinawa.jp/_res/projects/default_project/_page_/001/004/927/h26nenpou.pdf,ai_seeded,archived,source_docs\source_archive\S248\raw.pdf,5818b8abf0028ecd453ff9910d3fb3a3d78496dcb513bd90ad5daf9f19272293,200,,no,no,,no,Provisional source-log index only: metadata is not human-reviewed; archive failure does not withdraw the provisional S ID; actor/relation/alliance/funding/causal/legal/electoral claims remain unapproved and must not be used as formal relationship findings.
NW2FS002,S249,provisional_source_log_new,NW2-B_R09:R9EC_S002,,https://www.ywca.or.jp/pdf/2014/0716.pdf,ai_seeded,archived,source_docs\source_archive\S249\raw.pdf,a40deb056a782502a0b49d5194c5db4889fbd8d12c79cfb144f1bf2b47fdf0ce,200,,no,no,,no,Provisional source-log index only: metadata is not human-reviewed; archive failure does not withdraw the provisional S ID; actor/relation/alliance/funding/causal/legal/electoral claims remain unapproved and must not be used as formal relationship findings.
NW2FS003,S250,provisional_source_log_new,NW2-B_R09:R9EC_S003,,https://www.qab.co.jp/news/2014082157456.html,ai_seeded,archived,source_docs\source_archive\S250\raw.html,4eeec71ff798571bd3eb083d30170766cdacb97766c186f9be97a9ae8a5041a0,200,,no,no,,no,Provisional source-log index only: metadata is not human-reviewed; archive failure does not withdraw the provisional S ID; actor/relation/alliance/funding/causal/legal/electoral claims remain unapproved and must not be used as formal relationship findings.
NW2FS004,S251,provisional_source_log_new,NW2-B_R09:R9EC_S004,,https://www.jcp.or.jp/akahata/aik14/2014-08-22/2014082204_01_1.html,ai_seeded,archived,source_docs\source_archive\S251\raw.html,6435dfc152e5c24202bcb0fe9d6223a6cabbe912ee9408a24488bfdbb0d83f23,200,,no,no,,no,Provisional source-log index only: metadata is not human-reviewed; archive failure does not withdraw the provisional S ID; actor/relation/alliance/funding/causal/legal/electoral claims remain unapproved and must not be used as formal relationship findings.
NW2FS005,S252,provisional_source_log_new,NW2-B_R09:R9EC_S005,,https://www.jcp.or.jp/akahata/aik14/2014-10-11/2014101104_01_1.html,ai_seeded,archived,source_docs\source_archive\S252\raw.html,a29447be9dd751578be105341107c6a5edc87f958755f67ed1bc502e31f78db4,200,,no,no,,no,Provisional source-log index only: metadata is not human-reviewed; archive failure does not withdraw the provisional S ID; actor/relation/alliance/funding/causal/legal/electoral claims remain unapproved and must not be used as formal relationship findings.
NW2FS006,S253,provisional_source_log_new,NW2-B_R09:R9EC_S006,,https://www.magazine9.jp/article/yuntacrew/18975,ai_seeded,archived,source_docs\source_archive\S253\raw.html,dc7d3a834e6fbd47e27190c17afb9dce85ee807c2f8c82f46c2a3fafde714638,200,,yes,no,HR030-S253-NW2FS006,no,Provisional source-log index only: metadata is not human-reviewed; archive failure does not withdraw the provisional S ID; actor/relation/alliance/funding/causal/legal/electoral claims remain unapproved and must not be used as formal relationship findings.
NW2FS007,S254,provisional_source_log_new,NW2-B_R09:R9EC_S007;NW2-C_registry_gate:RV2SP015,RV2C003,https://www.shinfujin.gr.jp/2943,ai_seeded,archived,source_docs\source_archive\S254\raw.html,3ad9a7e9a0efce2744351368e4349f299086cf9f4a36dfefe412a35fba3de203,200,,yes,no,HR030-S254-NW2FS007,no,Provisional source-log index only: metadata is not human-reviewed; archive failure does not withdraw the provisional S ID; actor/relation/alliance/funding/causal/legal/electoral claims remain unapproved and must not be used as formal relationship findings.
NW2FS008,S255,provisional_source_log_new,NW2-B_R09:R9EC_S008,,https://www.pref.okinawa.jp/kensei/senkyo/1005009/1023802/1021246.html,ai_seeded,archived,source_docs\source_archive\S255\raw.html,f40e623077f0b5ba72d850be8032a7d3f238a191706fea0499e670768c4d1a58,200,,no,no,,no,Provisional source-log index only: metadata is not human-reviewed; archive failure does not withdraw the provisional S ID; actor/relation/alliance/funding/causal/legal/electoral claims remain unapproved and must not be used as formal relationship findings.
NW2FS009,S256,provisional_source_log_new,NW2-B_R09:R9EC_S009,,https://ryukyushimpo.jp/news/entry-770040.html,ai_seeded,archived,source_docs\source_archive\S256\raw.html,66121635657ddda46cfaba188ff456c1260ac78c6bb5fab075697554609a48cb,200,,no,no,,no,Provisional source-log index only: metadata is not human-reviewed; archive failure does not withdraw the provisional S ID; actor/relation/alliance/funding/causal/legal/electoral claims remain unapproved and must not be used as formal relationship findings.
NW2FS010,S257,provisional_source_log_new,NW2-B_R09:R9EC_S010,,https://all-okinawa.jp/492,ai_seeded,archived,source_docs\source_archive\S257\raw.html,c21184ad50e3b62517bcaf3022cacb0b4e0f54080e1efd5b220856cfa76f88d6,200,,no,no,,no,Provisional source-log index only: metadata is not human-reviewed; archive failure does not withdraw the provisional S ID; actor/relation/alliance/funding/causal/legal/electoral claims remain unapproved and must not be used as formal relationship findings.
