stratum_id,graph_object,stratum_type,stratum_label,actor_count,x_measure,y_measure,spearman_rho,minimum_n_rule,research_status,display_tier,claim_status,review_status,frontend_eligibility,interpretation_limit
H1S001,actor_issue_bipartite,overall,ALL CURRENT ACTORS,121,linked_source_count,active_actor_issue_degree,0.331,n>=5; small strata are descriptive,research_only,research,candidate,ai_seeded,not_frontend_ready,"Within-family descriptive association in the actor--issue evidence graph only; family composition, issue coding and shared sources remain uncontrolled."
H1S002,actor_issue_bipartite,overall,ALL CURRENT ACTORS,121,linked_source_count,active_actor_issue_betweenness,0.215,n>=5; small strata are descriptive,research_only,research,candidate,ai_seeded,not_frontend_ready,"Within-family descriptive association in the actor--issue evidence graph only; family composition, issue coding and shared sources remain uncontrolled."
H1S003,actor_issue_bipartite,analysis_family,冲绳本地公民行动,53,linked_source_count,active_actor_issue_degree,0.365,n>=5; small strata are descriptive,research_only,research,candidate,ai_seeded,not_frontend_ready,"Within-family descriptive association in the actor--issue evidence graph only; family composition, issue coding and shared sources remain uncontrolled."
H1S004,actor_issue_bipartite,analysis_family,冲绳本地公民行动,53,linked_source_count,active_actor_issue_betweenness,0.167,n>=5; small strata are descriptive,research_only,research,candidate,ai_seeded,not_frontend_ready,"Within-family descriptive association in the actor--issue evidence graph only; family composition, issue coding and shared sources remain uncontrolled."
H1S005,actor_issue_bipartite,analysis_family,劳工／教育组织,6,linked_source_count,active_actor_issue_degree,0.775,n>=5; small strata are descriptive,research_only,research,candidate,ai_seeded,not_frontend_ready,"Within-family descriptive association in the actor--issue evidence graph only; family composition, issue coding and shared sources remain uncontrolled."
H1S006,actor_issue_bipartite,analysis_family,劳工／教育组织,6,linked_source_count,active_actor_issue_betweenness,0.775,n>=5; small strata are descriptive,research_only,research,candidate,ai_seeded,not_frontend_ready,"Within-family descriptive association in the actor--issue evidence graph only; family composition, issue coding and shared sources remain uncontrolled."
H1S007,actor_issue_bipartite,analysis_family,基地社区服务／慈善,9,linked_source_count,active_actor_issue_degree,0.531,n>=5; small strata are descriptive,research_only,research,candidate,ai_seeded,not_frontend_ready,"Within-family descriptive association in the actor--issue evidence graph only; family composition, issue coding and shared sources remain uncontrolled."
H1S008,actor_issue_bipartite,analysis_family,基地社区服务／慈善,9,linked_source_count,active_actor_issue_betweenness,0.531,n>=5; small strata are descriptive,research_only,research,candidate,ai_seeded,not_frontend_ready,"Within-family descriptive association in the actor--issue evidence graph only; family composition, issue coding and shared sources remain uncontrolled."
H1S009,actor_issue_bipartite,analysis_family,日本国内 NGO／声援,11,linked_source_count,active_actor_issue_degree,-0.167,n>=5; small strata are descriptive,research_only,research,candidate,ai_seeded,not_frontend_ready,"Within-family descriptive association in the actor--issue evidence graph only; family composition, issue coding and shared sources remain uncontrolled."
H1S010,actor_issue_bipartite,analysis_family,日本国内 NGO／声援,11,linked_source_count,active_actor_issue_betweenness,-0.244,n>=5; small strata are descriptive,research_only,research,candidate,ai_seeded,not_frontend_ready,"Within-family descriptive association in the actor--issue evidence graph only; family composition, issue coding and shared sources remain uncontrolled."
H1S011,actor_issue_bipartite,analysis_family,法律／制度程序,5,linked_source_count,active_actor_issue_degree,-0.323,n>=5; small strata are descriptive,research_only,research,candidate,ai_seeded,not_frontend_ready,"Within-family descriptive association in the actor--issue evidence graph only; family composition, issue coding and shared sources remain uncontrolled."
H1S012,actor_issue_bipartite,analysis_family,法律／制度程序,5,linked_source_count,active_actor_issue_betweenness,-0.229,n>=5; small strata are descriptive,research_only,research,candidate,ai_seeded,not_frontend_ready,"Within-family descriptive association in the actor--issue evidence graph only; family composition, issue coding and shared sources remain uncontrolled."
H1S013,actor_issue_bipartite,analysis_family,资助／赞助／公共机构,6,linked_source_count,active_actor_issue_degree,-0.548,n>=5; small strata are descriptive,research_only,research,candidate,ai_seeded,not_frontend_ready,"Within-family descriptive association in the actor--issue evidence graph only; family composition, issue coding and shared sources remain uncontrolled."
H1S014,actor_issue_bipartite,analysis_family,资助／赞助／公共机构,6,linked_source_count,active_actor_issue_betweenness,,n>=5; small strata are descriptive,research_only,research,candidate,ai_seeded,not_frontend_ready,"Within-family descriptive association in the actor--issue evidence graph only; family composition, issue coding and shared sources remain uncontrolled."
H1S015,actor_issue_bipartite,analysis_family,跨国 NGO／国际倡议,23,linked_source_count,active_actor_issue_degree,0.39,n>=5; small strata are descriptive,research_only,research,candidate,ai_seeded,not_frontend_ready,"Within-family descriptive association in the actor--issue evidence graph only; family composition, issue coding and shared sources remain uncontrolled."
H1S016,actor_issue_bipartite,analysis_family,跨国 NGO／国际倡议,23,linked_source_count,active_actor_issue_betweenness,0.236,n>=5; small strata are descriptive,research_only,research,candidate,ai_seeded,not_frontend_ready,"Within-family descriptive association in the actor--issue evidence graph only; family composition, issue coding and shared sources remain uncontrolled."
