flow_id,source_name,target_name,scope,flow_type,amount,value_text,currency,date_start,date_end,period_semantics,purpose,in_kind_detail,sponsor_tier,source_receipt_ids,exact_locator,existing_crosswalk,claim_status,prohibited_inference,review_status,package_scope,frontend_status,central_writeback,notes
W2B2-SP001,Matson,USO Indo-Pacific,regional,current_sponsor_roster,,amount not stated,,2026-08-21,2026-08-21,current_page_snapshot,general sponsorship,,Mission Partner,W2B2-SR002,Sponsors section,,official_current_roster_bounded,"Sponsor tier does not disclose amount, start date, governance or political position.",ai_seeded,research_only,not_frontend_ready,no,
W2B2-SP002,University of Maryland Global Campus,USO Indo-Pacific,regional,current_sponsor_roster,,amount not stated,,2026-08-21,2026-08-21,current_page_snapshot,general sponsorship,,Mission Partner,W2B2-SR002,Sponsors section,,official_current_roster_bounded,"Sponsor tier does not disclose amount, start date, governance or political position.",ai_seeded,research_only,not_frontend_ready,no,
W2B2-SP003,AIG Auto Insurance,USO Indo-Pacific,regional,current_sponsor_roster,,amount not stated,,2026-08-21,2026-08-21,current_page_snapshot,general sponsorship,,Community Partner,W2B2-SR002,Sponsors section,,official_current_roster_bounded,"Sponsor tier does not disclose amount, start date, governance or political position.",ai_seeded,research_only,not_frontend_ready,no,
W2B2-SP004,Mediatti Broadband Communications,USO Okinawa,local_area,current_sponsor_roster,,amount not stated,,2026-08-21,2026-08-21,current_page_snapshot,general sponsorship,,Platinum Sponsor,W2B2-SR002,Sponsors section,,official_current_roster_bounded,"Sponsor tier does not disclose amount, start date, governance or political position.",ai_seeded,research_only,not_frontend_ready,no,
W2B2-SP005,American Engineering Corporation,USO Okinawa,local_area,current_sponsor_roster,,amount not stated,,2026-08-21,2026-08-21,current_page_snapshot,general sponsorship,,Silver Sponsor,W2B2-SR002,Sponsors section,,official_current_roster_bounded,"Sponsor tier does not disclose amount, start date, governance or political position.",ai_seeded,research_only,not_frontend_ready,no,
W2B2-SP006,Billabong,USO Okinawa,local_area,current_sponsor_roster,,amount not stated,,2026-08-21,2026-08-21,current_page_snapshot,general sponsorship,,Bronze Sponsor,W2B2-SR002,Sponsors section,,official_current_roster_bounded,"Sponsor tier does not disclose amount, start date, governance or political position.",ai_seeded,research_only,not_frontend_ready,no,
W2B2-SP007,Mediatti Broadband Communications Okinawa,USO Okinawa,local_area,cash_sponsorship,40000,"USD 40,000",USD,2018-02-09,2018-02-09,dated_publication_and_2018_sponsorship,2018 sponsorship,,,W2B2-SR017,Page title and first body paragraph,,official_self_report_exact_amount,Do not treat this as a recurring annual amount or add it to another year.,ai_seeded,research_only,not_frontend_ready,no,
W2B2-SP008,American Engineering Corporation,USO Okinawa,local_area,cash_sponsorship,18000,"USD 18,000",USD,2018-03-01,2018-03-01,dated_2018_sponsorship,"Service Salute, Color Run and Kadena golf event",,Silver Sponsorship,W2B2-SR018,First body paragraph,,official_self_report_exact_amount,"This is distinct from the 2024 USD 18,000 story; identical amounts must not be deduplicated solely by value.",ai_seeded,research_only,not_frontend_ready,no,
W2B2-SP009,CHUBB Insurance Japan,USO Okinawa,local_area,cash_donation,1000000,"JPY 1,000,000",JPY,2018-03-15,2018-03-15,dated_donation,general USO mission,,,W2B2-SR019,Page title and body,,official_self_report_exact_amount,Do not convert currency without an explicit rate/date or infer recurring support.,ai_seeded,research_only,not_frontend_ready,no,
W2B2-SP010,American Welfare & Works Association,USO Kinser,center_project,grant_or_project_support,,amount not stated,,2020-08-01,2020-08-31,month_bounded_story,indoor/outdoor kitchen refresh,project materials/support not itemized,,W2B2-SR033,August 2020 grant story,S077; existing research relation,official_self_report_no_amount,"Do not infer the full AWWA grant program, amount or annual continuity.",ai_seeded,research_only,not_frontend_ready,no,
W2B2-SP011,American Engineering Corporation,USO Okinawa,local_area,cash_sponsorship,18000,"USD 18,000",USD,2024-10-16,2024-10-16,publication_date_snapshot,general center and program support,,Silver Sponsorship,W2B2-SR014,Single article body,,official_self_report_exact_amount,"Do not merge with the separate 2018 USD 18,000 sponsorship.",ai_seeded,research_only,not_frontend_ready,no,
W2B2-SP012,AK Kogyo,USO Okinawa,local_area,cash_donation,1000000,"JPY 1,000,000",JPY,2025-03-12,2025-03-12,publication_date_snapshot,center operations and outreach,,Proud Supporter,W2B2-SR015,First body paragraph,,official_self_report_exact_amount,Do not convert currency or infer an annual series from the statement of support since 2020.,ai_seeded,research_only,not_frontend_ready,no,
