role_id,actor_id_or_candidate,actor_name,person_name,role_title,valid_from,valid_to,date_basis,url,locator,excerpt,source_date,evidence_level,claim_status,identity_confidence,observed_at,review_status,package_scope,frontend_eligibility,interpretation_limit
PR001,X001,USO Okinawa,Henry Hughes,Area Director,2026 observation,,current office page,https://okinawa.uso.org/oao,Okinawa Area Office staff,Henry Hughes is listed as Area Director.,current page; accessed 2026-08-19,E4,candidate_current_role,high,2026-08-19,ai_seeded,research_only,excluded_research_only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence."
PR002,X001,USO Okinawa,Tim Adams,Area Operations Manager,2026 observation,,current office page,https://okinawa.uso.org/oao,Okinawa Area Office staff,Tim Adams is listed as Area Operations Manager.,current page; accessed 2026-08-19,E4,candidate_current_role,high,2026-08-19,ai_seeded,research_only,excluded_research_only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence."
PR003,X001,USO Okinawa,Abbie Matherne,Area Operations Specialist,2026 observation,,current office page,https://okinawa.uso.org/oao,Okinawa Area Office staff,Abbie Matherne is listed as Area Operations Specialist.,current page; accessed 2026-08-19,E4,candidate_current_role,high,2026-08-19,ai_seeded,research_only,excluded_research_only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence."
PR004,X004,AWWA,Amber Tracy,President,FY2024,,Form 990-EZ tax period,https://projects.propublica.org/nonprofits/organizations/980227149,FY2024 officers,Amber Tracy is listed as President for the filing period.,FY ending 2024-05,E4,candidate_filing_period_role,high,2026-08-19,ai_seeded,research_only,excluded_research_only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence."
PR005,X004,AWWA,Brooke Epps,Financial Officer,FY2024,,Form 990-EZ tax period,https://projects.propublica.org/nonprofits/organizations/980227149,FY2024 officers,Brooke Epps is listed as Financial Officer for the filing period.,FY ending 2024-05,E4,candidate_filing_period_role,high,2026-08-19,ai_seeded,research_only,excluded_research_only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence."
PR006,X004,AWWA,Jen Yapsing,Administrative Coordinator,FY2024,,Form 990-EZ tax period,https://projects.propublica.org/nonprofits/organizations/980227149,FY2024 officers,Jen Yapsing is listed as Administrative Coordinator.,FY ending 2024-05,E4,candidate_filing_period_role,high,2026-08-19,ai_seeded,research_only,excluded_research_only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence."
PR007,X005,NOSCO,Lindsey Richardson,President,FY2025,,Form 990 tax period,https://projects.propublica.org/nonprofits/organizations/980210979,FY2025 officers,Lindsey Richardson is listed as NOSCO President.,FY ending 2025-06,E4,candidate_filing_period_role,high,2026-08-19,ai_seeded,research_only,excluded_research_only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence."
PR008,X005,NOSCO,Kristin Kerekgyarto,Vice President of Charities,FY2025,,Form 990 tax period,https://projects.propublica.org/nonprofits/organizations/980210979,FY2025 officers,Kristin Kerekgyarto is listed as Vice President of Charities.,FY ending 2025-06,E4,candidate_filing_period_role,high,2026-08-19,ai_seeded,research_only,excluded_research_only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence."
PR009,X005,NOSCO,Maria Rendon,Fleet Gift Shop Bookkeeper,FY2025,,Form 990 tax period,https://projects.propublica.org/nonprofits/organizations/980210979,FY2025 officers,Maria Rendon is listed as Fleet Gift Shop Bookkeeper.,FY ending 2025-06,E4,candidate_filing_period_role,high,2026-08-19,ai_seeded,research_only,excluded_research_only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence."
PR010,X006,KOSC,Hannah Schaffer,Incoming President,FY2025,,Form 990 tax period,https://projects.propublica.org/nonprofits/organizations/980214323,FY2025 officers,Hannah Schaffer is listed as Incoming President.,FY ending 2025-05,E4,candidate_filing_period_role,high,2026-08-19,ai_seeded,research_only,excluded_research_only,"This is a source-bounded observation. It does not by itself establish political stance, public acceptance, durable alliance, or a legitimating effect on the U.S. military presence."
