mediation_step_id,channel_family,source_actor_id,source_actor_name,target_id,target_name,period_start,period_end,event_date,amount_usd,source_receipt_ids,review_status,transaction_closure,interpretation,prohibited_inference,fact_status
MS001,awwa_outbound,X004,American Welfare & Works Association (AWWA),AGG_JAPAN_ORGS,Japanese organizations,2022-06-01,2023-05-31,,91838,W2A-SR001,ai_seeded,bucket_only,AWWA reports this outward bucket or named descriptor.,No earmarking connects a particular inbound dollar to a downstream recipient; periods differ and components must not be summed as one annual total.,research_only
MS002,awwa_outbound,X004,American Welfare & Works Association (AWWA),AGG_BASE_ORGS,U.S.-military-base-affiliated organizations,2022-06-01,2023-05-31,,33320,W2A-SR001,ai_seeded,bucket_only,AWWA reports this outward bucket or named descriptor.,No earmarking connects a particular inbound dollar to a downstream recipient; periods differ and components must not be summed as one annual total.,research_only
MS003,awwa_outbound,X004,American Welfare & Works Association (AWWA),AGG_JAPAN_ORGS,Japanese organizations,2023-06-01,2024-05-31,,64077,W2A-SR002,ai_seeded,bucket_only,AWWA reports this outward bucket or named descriptor.,No earmarking connects a particular inbound dollar to a downstream recipient; periods differ and components must not be summed as one annual total.,research_only
MS004,awwa_outbound,X004,American Welfare & Works Association (AWWA),AGG_BASE_ORGS,U.S.-military-base-affiliated organizations,2023-06-01,2024-05-31,,30812,W2A-SR002,ai_seeded,bucket_only,AWWA reports this outward bucket or named descriptor.,No earmarking connects a particular inbound dollar to a downstream recipient; periods differ and components must not be summed as one annual total.,research_only
MS005,awwa_outbound,X004,American Welfare & Works Association (AWWA),RECIP_DESC_A070,Children Kana-san Okinawa,2022-06-01,2023-05-31,,15287,W2A-SR001,ai_seeded,provider_filing_only,AWWA reports this outward bucket or named descriptor.,No earmarking connects a particular inbound dollar to a downstream recipient; periods differ and components must not be summed as one annual total.,research_only
MS006,awwa_outbound,X004,American Welfare & Works Association (AWWA),RECIP_DESC_A071,Okinawa Nanbu Rehabilitation and Medical Center,2022-06-01,2023-05-31,,14870,W2A-SR001,ai_seeded,provider_filing_only,AWWA reports this outward bucket or named descriptor.,No earmarking connects a particular inbound dollar to a downstream recipient; periods differ and components must not be summed as one annual total.,research_only
MS007,awwa_outbound,X004,American Welfare & Works Association (AWWA),RECIP_DESC_A072,NPO ARU,2022-06-01,2023-05-31,,13986,W2A-SR001,ai_seeded,provider_filing_only,AWWA reports this outward bucket or named descriptor.,No earmarking connects a particular inbound dollar to a downstream recipient; periods differ and components must not be summed as one annual total.,research_only
MS008,awwa_outbound,X004,American Welfare & Works Association (AWWA),RECIP_DESC_A073,Ambitious,2023-06-01,2024-05-31,,13423,W2A-SR002,ai_seeded,provider_filing_only,AWWA reports this outward bucket or named descriptor.,No earmarking connects a particular inbound dollar to a downstream recipient; periods differ and components must not be summed as one annual total.,research_only
MS009,awwa_outbound,X004,American Welfare & Works Association (AWWA),RECIP_DESC_A074,Himawari Day Care on Ishigaki Island,2023-06-01,2024-05-31,,13378,W2A-SR002,ai_seeded,provider_filing_only,AWWA reports this outward bucket or named descriptor.,No earmarking connects a particular inbound dollar to a downstream recipient; periods differ and components must not be summed as one annual total.,research_only
MS010,awwa_outbound,X004,American Welfare & Works Association (AWWA),RECIP_DESC_A075,Okinawa Southern Medical Center,2023-06-01,2024-05-31,,13072,W2A-SR002,ai_seeded,provider_filing_only,AWWA reports this outward bucket or named descriptor.,No earmarking connects a particular inbound dollar to a downstream recipient; periods differ and components must not be summed as one annual total.,research_only
MS011,inbound_to_awwa,X007,Okinawa Enlisted Spouses' Club (OESC),X004,AMERICAN WELFARE AND WORKS ASSOCIATION,2022-07-01,2023-06-30,,16308,W2A-SR012,human_checked,provider_filing_named_recipient,AWWA receives repeated organization-level flows and reports onward allocations.,No earmarking connects a particular inbound dollar to a downstream recipient; periods differ and components must not be summed as one annual total.,research_only
MS012,inbound_to_awwa,X007,Okinawa Enlisted Spouses' Club (OESC),X004,AMERICAN WELFARE AND WORKS ASSOCIATION,2023-07-01,2024-06-30,,14371,W2A-SR013,human_checked,provider_filing_named_recipient,AWWA receives repeated organization-level flows and reports onward allocations.,No earmarking connects a particular inbound dollar to a downstream recipient; periods differ and components must not be summed as one annual total.,research_only
MS013,inbound_to_awwa,X007,Okinawa Enlisted Spouses' Club (OESC),X004,AMERICAN WELFARE AND WORKS ASSOCIATION,2024-07-01,2025-06-30,,8479,W2A-SR014,human_checked,provider_filing_named_recipient,AWWA receives repeated organization-level flows and reports onward allocations.,No earmarking connects a particular inbound dollar to a downstream recipient; periods differ and components must not be summed as one annual total.,research_only
MS014,inbound_to_awwa,X018,Marine Thrift Shop Okinawa,X004,AMERICAN WELFARE AND WORKS ASSOCIATION,2023-01-01,2023-12-31,,41183,W2A2-SR001,ai_seeded,provider_filing_named_recipient,AWWA receives repeated organization-level flows and reports onward allocations.,No earmarking connects a particular inbound dollar to a downstream recipient; periods differ and components must not be summed as one annual total.,research_only
MS015,inbound_to_awwa,X018,Marine Thrift Shop Okinawa,X004,AMERICAN WELFARE AND WORKS ASSOCIATION,2024-01-01,2024-12-31,,19669,W2A2-SR002,ai_seeded,provider_filing_named_recipient,AWWA receives repeated organization-level flows and reports onward allocations.,No earmarking connects a particular inbound dollar to a downstream recipient; periods differ and components must not be summed as one annual total.,research_only
MS016,bypass_via_lions,X018,Marine Thrift Shop Okinawa,LIONS_OKINAWA,"Lions Clubs International, Okinawa intermediary",,,2024-02-22,10000,W2A2-SR018;W2A2-SR019,ai_seeded,provider_to_intermediary_only,"MTS also reports a route outside AWWA, so AWWA is not the only channel.",No earmarking connects a particular inbound dollar to a downstream recipient; periods differ and components must not be summed as one annual total.,research_only
