candidate_id,observation_id,current_venue_id,current_venue_label,role,entry_mode,proposed_venue_resolution,requires_human_review,hr_item_id,reason,interpretation_limit
SF0445,OBS_R10R017,R10_VENUE,JICA/international-cooperation event,event_collaboration,administrative_event_collaboration,V015,yes,HR029-025,"International-cooperation event may fit public_policy_meeting_or_forum, but event versus administrative venue needs a human choice.",共同参与活动不是资金关系或稳定联盟。
SF0446,OBS_R10R019,R10_VENUE,USO/base-community service venue,sponsorship,service_sponsorship,V016,no,,USO service sponsorship is observed at a service/charity program venue.,赞助与捐赠可确认；不据此推断企业或 USO 的基地政策立场。
SF0447,OBS_R10R022,R10_VENUE,USO/base-community service venue,donation,charitable_donation,V016,no,,Donation to USO is observed in the service/charity program field.,直接慈善捐赠，不代表政治立场或运动关系。
SF0448,OBS_R10R023,R10_VENUE,USO/base-community service venue,grant,charitable_grant,V016,no,,USO kitchen grant is a service/charity program-site observation.,只确认这项 grant，不外推完整年度 recipient 网络。
SF0449,OBS_R10R024,R10_VENUE,military-spouse umbrella network,network_membership,service_network_coordination,no_applicable_venue_or_V016,yes,HR029-026,"Umbrella membership is a relation, not necessarily a venue occurrence.",成员关系不构成资助。
SF0450,OBS_R10R025,R10_VENUE,military-spouse umbrella network,network_membership,service_network_coordination,no_applicable_venue_or_V016,yes,HR029-027,"Umbrella membership is a relation, not necessarily a venue occurrence.",成员关系不构成资助。
SF0451,OBS_R10R026,R10_VENUE,military-spouse umbrella network,network_membership,service_network_coordination,no_applicable_venue_or_V016,yes,HR029-028,"Umbrella membership is a relation, not necessarily a venue occurrence.",成员关系不构成资助。
SF0452,OBS_R10R027,R10_VENUE,military-spouse umbrella network,network_membership,service_network_coordination,no_applicable_venue_or_V016,yes,HR029-029,"Umbrella membership is a relation, not necessarily a venue occurrence.",成员关系不构成资助。
SF0453,OBS_R10R035,R10_VENUE,U.S. public-diplomacy opportunity,grant_opportunity,public_diplomacy_opportunity,new_public_diplomacy_program_channel_or_no_venue,yes,HR029-030,"A grant opportunity is a program channel, not an awarded relation or obvious existing venue.",不得写成已拨款、已有 recipient 或与 TOFU 项目相同。
SF0454,OBS_R10R001,R10_VENUE,JICA commissioned-program venue,commission,administrative_commission,V011_or_V015,yes,HR029-037,A JICA commissioned program may be coded by the commissioning agency or by a bounded policy-program forum; relation review did not settle venue semantics.,无公开合同金额；不写资金规模
SF0455,OBS_R10R004,R10_VENUE,Okinawa City public-facility commission,commission,administrative_commission,V010,yes,HR029-038,"Okinawa City public-facility commission is a local-government administrative channel, subject to human venue confirmation.",18.858m 是总事业费；2.196m recipient 未在该支路点名；16.040m 是组织侧事业费
SF0456,OBS_R10R005,R10_VENUE,Okinawa Prefecture multicultural-policy venue,commission,administrative_commission_and_secretariat,V010,yes,HR029-039,"Okinawa Prefecture multicultural-policy commission is a local-government administrative channel, subject to human venue confirmation.",5.140m 与 5.530234m 都不是合同／付款额；两种期间口径分别保留
SF0457,OBS_R10R006,R10_VENUE,MOFA NGO consultation commission,commission,administrative_commission,V011,yes,HR029-040,"MOFA NGO consultation commission is a national-ministry administrative channel, subject to human venue confirmation.",2.894630m 仅为组织侧事业分类成本
SF0458,OBS_R10R007,R10_VENUE,MOFA annual designation list,designated_role,annual_designated_public_service_role,V011,yes,HR029-041,"MOFA annual designation is a national-ministry administrative channel, subject to human venue confirmation.",名单不含金额，也不证明 recipient 网络
SF0459,OBS_R10R008,R10_VENUE,Okinawa Prefecture advocacy-administration boundary,commission,proposal_selected_public_contract,V010,yes,HR029-042,"The Okinawa Prefecture proposal-selected symposium contract is a local-government administrative channel, not government endorsement.",12.843m 是取整项目费；不是 grant、政治支持或运动资金
SF0460,OBS_R10R018,R10_VENUE,USO/base-community service venue,service_presence,service_presence,V016,no,,USO Okinawa service presence is observed at a service/charity program site.,不生成资金、政治立场或八条组织关系
SF0461,OBS_R10R020,R10_VENUE,USO Okinawa direct sponsor layer,sponsorship,service_sponsorship,V016,no,,A direct USO Okinawa sponsor tier is observed in the service/charity program layer.,Platinum 层级和支持类型不能换算金额；赞助不证明基地政策立场。
SF0462,OBS_R10R021,R10_VENUE,USO Indo-Pacific regional sponsor perimeter,sponsorship,regional_service_sponsorship_context,V016_or_no_applicable_venue,yes,HR029-043,A regional USO Indo-Pacific sponsor perimeter is not necessarily an Okinawa program-site occurrence.,不写成 Matson 对 USO Okinawa 的本地定向资助；无金额、无本地 allocation、无政治立场推断。
