corpus_source_id,existing_source_id,place,title,url,source_type,speaker_or_owner,date_or_period,locator,excerpt_short,paraphrase_zh,frame_candidates,evidence_level,coding_status,human_review_note,qa_disposition,qa_reason,review_status,interpretation_limit
R4S001,,Miyako,宮古島市新市施策：水源保护条例,https://www.city.miyakojima.lg.jp/gyosei/kihonkeikaku/kensetsu/shisaku2.html,local_official,Miyakojima City,undated,页面“水道水源地域”段落,飲料水を守るために,市政府把地下水源保护表述为岛民守护饮用水的共同意志,groundwater_life_safety,E4,ai_seeded_candidate,这是一般水政策背景；不得自动归因于自卫队部署,safe_with_correction,一般地下水政策可作宫古背景；没有部署连接，删除 environment_deployment,qa_safe_online_source,这是一般水政策背景；不得自动归因于自卫队部署
R4S002,,Miyako,沖縄県議会土木環境委員会记录,https://www.pref.okinawa.jp/_res/projects/default_project/_page_/001/016/966/doboku310319.pdf,official_legislative_record,Okinawa Prefecture Environment Department government response,2019,印刷 p.6／委员会记录第165–175行；环境部长宣读陈情处理方针,地下水の環境保全について注視,县环境部对陆自部署陈情宣读地下水监测与环境保护处理方针,groundwater_life_safety;environment_deployment,E4,human_reviewed,Government response only; does not establish A013 wording or identity.,human_revised,行政处理方针；不是陈情者原文，不回指 A013。,human_revised,Government response only; does not establish A013 wording or identity.
R4S003,S020,Miyako,陸自配備阻止訴え 宮古で集会,https://ryukyushimpo.jp/news/entry-296563.html,local_news,civic participants,2016,正文第140-147行／集会主办者与地下水诉求,地下水保全求め,新闻记录参与者把反部署与地下水保护并置,groundwater_life_safety;environment_deployment,E3,ai_seeded_candidate,需回查正文确认具名actor及原话,safe_with_correction,正文明确具名 6・11 市民集会実行委員会及地下水诉求；与 A012 的稳定 actor 身份仍需 crosswalk,qa_safe_online_source,需回查正文确认具名actor及原话
R4S004,S114,Miyako,宮古島環境クラブ,https://www.npo-mec.net/,organization_site,Miyakojima Environment Club,current,首页组织介绍,水辺の自然と環境の保護,组织自述持续从事水边环境保护与环境教育,environment_background_not_deployment,E4,ai_seeded_candidate,只能证明环境功能；不能推断反部署立场,safe_with_correction,官网只支持水边自然保护和环境教育；既非地下水证据也非部署争议证据,qa_safe_online_source,只能证明环境功能；不能推断反部署立场
R4S005,S115,Miyako,宮古島海の環境ネットワーク,https://econet.jpn.org/,organization_site,Miyakojima Marine Environment Network,current,首页三项事业介绍,海岸清掃・海洋調査・環境教育,组织以海岸清扫、海洋调查和环境教育界定其持续活动,environment_background_not_deployment,E4,ai_seeded_candidate,作为地方环境生态背景；未证明军事争议参与,safe_with_correction,官网只支持海岸清扫、海洋调查与环境教育；不得编码 environment_deployment,qa_safe_online_source,作为地方环境生态背景；未证明军事争议参与
R4S006,,Miyako,宮古島市国民保護計画,https://www.city.miyakojima.lg.jp/kurashi/bousai/bousaijyouhou/2019-0613-1126-269.html,local_official,Miyakojima City,2019,页面开头计划说明,武力攻撃や大規模テロ,市政府以武力攻击和大规模恐怖事件为国民保护计划的法定情境,frontline_taiwan_evacuation;life_safety,E4,ai_seeded_candidate,法定规划不等于冲突将发生,safe_merge,法定国民保护计划情境定位准确,qa_safe_online_source,法定规划不等于冲突将发生
R4S007,,Miyako,宮古島市避難実施要領のパターン,https://www.city.miyakojima.lg.jp/kurashi/bousai/bousaijyouhou/files/hinanjissi.pdf,local_official,Miyakojima City,2019,印刷 pp.27–29；Pattern 1 摘要 p.27，正文 p.28，实施要领记载例 p.29,市全域の住民及び観光客,方案以全市居民及游客撤离作为一种武力攻击情境,frontline_taiwan_evacuation;life_safety,E4,human_reviewed,Scenario/pattern/plan example; not an actual evacuation or capacity test.,human_checked,稳定印刷页码已人工确认。,human_checked,Scenario/pattern/plan example; not an actual evacuation or capacity test.
R4S008,,Miyako,令和7年宮古島市議会会議録,https://www.city.miyakojima.lg.jp/gyosei/gikai/files/kaigiroku0706.pdf,official_legislative_record,久貝美奈子（一般質問）／総務部長 上地俊暢（行政答弁）,2025,印刷 pp.139–140／久貝美奈子一般質問与総務部長上地俊暢答弁,久貝美奈子一般質問／総務部長上地俊暢答弁（逐段）,具名议员的问题化与市行政的制度答复分别支持自治参与、撤离和生活安全框架,frontline_taiwan_evacuation;life_safety;local_autonomy_referendum,E4,human_reviewed,Named councillor question and municipal response remain separate observations.,human_revised,个人质询与市行政答复逐段分离；不生成市议会机构立场。,human_revised,Named councillor question and municipal response remain separate observations.
R4S009,,Miyako,国民保護共同訓練住民意見と回答,https://www.city.miyakojima.lg.jp/soshiki/shityo/soumubu/bousaikikikannri/oshirase/2026-0513-1044-269.html,local_official,Miyakojima City and residents,2025-2026,页面第53行起“各機関の回答”／第188-190行问答,空港や港湾などで混乱が生じないよう,公开问答说明撤离推演以港口机场仍可使用为前提,frontline_taiwan_evacuation;procedural_fairness,E4,ai_seeded_candidate,应人工编码居民疑问与政府回答的不同立场,safe_with_correction,原摘录“空港や港湾などのインフラ”在页面及两份附件中未找到；原“基础设施仍可用”释义也不受该问答支持,qa_safe_online_source,应人工编码居民疑问与政府回答的不同立场
R4S010,S137,Ishigaki,石垣市住民投票实施义务请求事件判决,https://www.courts.go.jp/assets/hanrei/hanrei-pdf-89731.pdf,court_record,Naha District Court,2020,p.4（PDF P3）前提事实（2）,１万４２６３名の有効署名,法院认定请求代表收集14263份有效签名并提出自卫队部署住民投票条例请求,local_autonomy_referendum;procedural_fairness,E4,ai_seeded_candidate,判决驳回诉求；事实认定与法律结论须分开,safe_with_correction,判决日期为 2020-08-27；事实链和签名数成立，但判决不具名 A011；本行工作 URL 可用而 S137 source-log 旧 URL 为 404，合并前须统一回指,qa_safe_online_source,判决驳回诉求；事实认定与法律结论须分开
R4S011,S138,Ishigaki,住民投票条例议会审议结果,https://www.city.ishigaki.okinawa.jp/jieiteikannrenn/news/3615.html,local_official,Ishigaki City,2019-2020,页面标题 H31.2.4；更新日 2020-03-30,条例案を２度にわたり否決,市政府记录议会两次否决住民投票条例案,local_autonomy_referendum;procedural_fairness,E4,ai_seeded_candidate,需核页面更新日期与具体表决时间,safe_with_correction,不能写 current；页面给出事件日期和更新日期,qa_safe_online_source,需核页面更新日期与具体表决时间
R4S013,,Ishigaki,石垣市避難実施要領概要,https://www.city.ishigaki.okinawa.jp/soshiki/1/kokuminhogokankei/10812.html,local_official,Ishigaki City,2022-2026,页面第84-98行 R4-R7 年度 PDF 链接区,避難実施要領（案）,石垣市连续公开年度撤离实施要领概要,frontline_taiwan_evacuation;life_safety,E4,ai_seeded_candidate,需下载各年度PDF比较变化,safe_merge,年度链接与页面更新时间 2026-02-27 可复核,qa_safe_online_source,需下载各年度PDF比较变化
