"table_id","proposed_file","purpose","row_grain","primary_key","required_fields","evidence_gate","graph_eligibility","network_layer","time_semantics","prohibited_inference","central_writeback","frontend_status"
"USN00","selection_frames_v1.csv","Freeze the universe and denominator for each comparison or negative search","one declared selection frame","selection_frame_id","selection_frame_id;research_question;unit_of_analysis;actor_universe_rule;relation_families;period_start;period_end;place_scope;source_family_scope;inclusion_rule;exclusion_rule;search_completion_status;owner;version","Principal approval of scope; machine validation that every included observation resolves to the frame; a negative finding additionally requires symmetric search documentation","aggregate_observation","method_scope","Exact bounded period; unknown endpoints and open years remain explicit","No claim that the frame is a census; no conversion of missing rows into real-world absence; no denominator borrowed from another frame","prohibited_in_v1","not_frontend_ready"
"USN01","function_observations_v1.csv","Attach an observable function to a dated fact record without assigning an actor stance","one function assignment to one underlying action role or relation observation","function_observation_id","function_observation_id;selection_frame_id;underlying_record_type;underlying_record_id;subject_endpoint_id;us_presence_link_type;function_code;functional_evidence_basis;mechanism_status;effect_target;period_start;period_end;time_precision;evidence_level;review_status;human_decision;review_scope;reviewed_fields;claim_status;confirmed_scope;missing_scope;interpretation_limit;source_ids;package_scope;frontend_eligibility","Underlying fact must exist; function_code requires principal review; legitimation must pass L1-L3 basis gate; mixed requires component_function_codes; unknown requires missing_scope","aggregate_observation","functional_overlay","Inherits the underlying fact period; function must not be projected beyond that period","No actor-level pro/anti-U.S. label; no success inference from intended constraint; no legitimation from donation/service alone; no causality from category counts","prohibited_in_v1","not_frontend_ready"
"USN02","money_flows_v1.csv","Record a monetary transfer or formal award with typed amount semantics","one transfer or one step in a multi-step transaction chain","money_flow_id","money_flow_id;selection_frame_id;provider_endpoint_id;recipient_endpoint_id;flow_type;direction_basis;purpose_text;amount;currency;amount_semantics;period_start;period_end;time_precision;source_ids;evidence_level;review_status;human_decision;reviewed_fields;claim_status;confirmed_scope;missing_scope;interpretation_limit;graph_eligibility;package_scope;frontend_eligibility","Official award/contract/financial filing/organization financial report or equivalent primary record for confirmed flow; provider recipient direction and amount fields reviewed separately; opportunity-only records excluded","dyadic_relation only when both endpoints resolve to registry actors and the transfer is reviewed; otherwise administrative_record aggregate_observation or research_lead","money_flow","Exact transaction date filing year fiscal year or bounded period; filing year is not automatically payment date","No award from NOFO; no direct payment from project cost; no recipient allocation from aggregate amount; no funding chain collapsed across intermediaries; no influence or control from payment alone","prohibited_in_v1","not_frontend_ready"
"USN03","person_actor_time_v1.csv","Record public person-to-organization roles with identity and temporal uncertainty","one person role observation in one actor at one observed date or bounded period","person_actor_role_id","person_actor_role_id;selection_frame_id;person_source_label;person_research_id;person_identity_status;actor_id;role_source_label;role_family;period_start;period_end;time_precision;period_semantics;source_ids;evidence_level;review_status;human_decision;reviewed_fields;claim_status;missing_scope;interpretation_limit;graph_eligibility;package_scope;frontend_eligibility","Named public role in official filing/organization roster/government or court record; same-person crosswalk requires human review; both role and identity have independent reviewed_fields","administrative_record for general person-role observations and case_role for case-specific roles; never dyadic_relation under current v1; a dedicated research-only bipartite renderer requires later schema/adapter approval","person_actor_time","Roster or filing year is observed_at unless source states tenure; open-ended and last-observed bounds remain explicit","No same-person merge from name similarity; no continuous tenure from annual sightings; no shared-organization alliance; no actor-actor bridge without reviewed identity and overlapping periods","prohibited_in_v1","not_frontend_ready"
"USN04","service_recipient_v1.csv","Record services goods equipment relief scholarships referrals or welfare grants to a named or unresolved recipient","one provider-recipient service or resource episode","service_observation_id","service_observation_id;selection_frame_id;provider_endpoint_id;recipient_label_source;recipient_endpoint_id;recipient_resolution_status;service_type;item_or_function;program_or_event;value_amount;value_currency;value_semantics;period_start;period_end;time_precision;source_ids;evidence_level;review_status;human_decision;reviewed_fields;claim_status;confirmed_scope;missing_scope;interpretation_limit;graph_eligibility;package_scope;frontend_eligibility","Provider material must name the recipient or a formal program; recipient identity is a separate gate; recurring relation requires multiple dated observations or explicit continuing program evidence","dyadic_relation only when both reviewed endpoints resolve to registry actors; administrative_record for a reviewed typed non-actor recipient; aggregate_observation for unresolved/multi-recipient scope; never generic alliance graph","service_recipient","One-off event recurring cycle and ongoing program are distinct; undated roster is observed_at access/publication date only","No political support alliance dependency or legitimation from receiving a service; no automatic actor creation; no recurring tie from one episode; no monetary amount from in-kind item without valuation basis","prohibited_in_v1","not_frontend_ready"
"USN05","affiliation_control_v1.csv","Separate membership branch operation fiscal sponsorship governance and control relations","one structural relation between two typed endpoints","affiliation_control_id","affiliation_control_id;selection_frame_id;source_endpoint_id;target_endpoint_id;relation_type;source_role;target_role;direction_basis;control_dimension;period_start;period_end;time_precision;source_ids;evidence_level;review_status;human_decision;reviewed_fields;claim_status;confirmed_scope;missing_scope;interpretation_limit;graph_eligibility;package_scope;frontend_eligibility","Official charter/bylaws/legal filing/organization structure page or equivalent primary record; control type additionally requires explicit appointment ownership veto budget or operational authority","dyadic_relation only when both endpoints resolve to registry actors and relation type/direction are reviewed; otherwise administrative_record","affiliation_control","Effective dates if stated; observed_at otherwise; current webpage does not prove uninterrupted historical membership","No control from membership partnership sponsorship or co-presence; no funding from affiliation; no political alignment from shared umbrella; no present relation projected backward","prohibited_in_v1","not_frontend_ready"
"USN06","action_institution_v1.csv","Record how an actor or person enters a case event program or institution and what formal output follows","one actor/person role in one action episode and institutional scope","action_institution_id","action_institution_id;selection_frame_id;subject_endpoint_id;action_type;role;scope_kind;scope_id;institution_endpoint_id;target_endpoint_id;entry_date;period_start;period_end;time_precision;intermediate_output;substantive_change_status;source_ids;evidence_level;review_status;human_decision;reviewed_fields;claim_status;confirmed_scope;missing_scope;interpretation_limit;graph_eligibility;package_scope;frontend_eligibility","Official case caption/judgment/filing/ordinance/program record/dated organization submission or equivalent source; role and outcome reviewed separately","case_role event_participation or administrative_record according to scope; only an independently evidenced legal-counsel/structural relation may also be dyadic","action_institution","Entry output and substantive change each use their own date/period; event order does not imply causation","No actor-actor edge from co-participation or same case; no plaintiff role transferred from person to organization; non_party creates no relation; no project change from intermediate output","prohibited_in_v1","not_frontend_ready"
"USN07","official_site_crosswalk_v1.csv","Provide a verifiable NGO directory and distinguish official sites from other identity pages","one actor-to-site claim at one checked date","official_site_crosswalk_id","official_site_crosswalk_id;selection_frame_id;actor_id;url;site_type;officiality_basis;organization_scope;language;access_status;checked_at;archive_status;source_id;identity_support_scope;review_status;human_decision;reviewed_fields;claim_status;missing_scope;interpretation_limit;package_scope;frontend_eligibility","URL opened or archived; officiality supported by site ownership self-identification parent organization government/legal directory or approved equivalent; site type human-reviewed for public release","excluded","directory","checked_at is access observation only; archive date and page publication date remain separate","No activity continuity influence capacity or independence from website presence; no news page labeled as official site; no parent page treated as organization-owned site","prohibited_in_v1","not_frontend_ready"
"USN08","research_endpoint_crosswalk_v1.csv","Type and resolve non-registry people institutions installations cases programs and recipient labels without actor inflation","one source endpoint label to one research endpoint candidate or resolved entity","endpoint_crosswalk_id","endpoint_crosswalk_id;selection_frame_id;source_label;normalized_label;endpoint_kind;research_endpoint_id;registry_actor_id;identity_status;identity_basis;valid_from;valid_to;time_precision;source_ids;review_status;human_decision;reviewed_fields;claim_status;missing_scope;interpretation_limit;package_scope;frontend_eligibility","Exact identity requires primary or authoritative crosswalk and human review; candidate/ambiguous endpoints retain separate IDs and labels","excluded","endpoint_resolution","Validity period applies to the label/identity mapping not automatically to organizational existence","No provisional endpoint promoted to actor; no government program treated as NGO; no facility/locality merge; no name similarity merge; no endpoint role inferred from label","prohibited_in_v1","not_frontend_ready"
"USN09","record_source_evidence_v1.csv","Normalize record-to-source support at field and locator level","one record-source-locator support assertion","record_source_evidence_id","record_source_evidence_id;record_table_id;record_id;source_id;source_family;source_locator;supported_fields;support_role;source_independence_cluster;archival_status;evidence_level;review_status;human_decision;reviewed_fields;claim_status;interpretation_limit;package_scope;frontend_eligibility","Source ID resolves; locator is precise enough to re-find claim; supported_fields nonempty; independence cluster reviewed when used as second source","excluded","evidence_provenance","Source publication date access date archive date and event date remain separate","No whole-row approval from one supported field; no multiple pages on same underlying publication counted as independent sources; no archived status treated as claim approval","prohibited_in_v1","not_frontend_ready"
