relation_observation_id,source_record_ids,fiscal_year,period_start,period_end,source_entity_id,source_entity_name,source_entity_kind,target_entity_id,target_entity_name,target_entity_kind,program_name,relation_type,official_mechanism_code,mechanism_label,mechanism_detail,financial_semantics,relation_scope,source_refs,source_locators,evidence_level,review_status,merge_disposition,interpretation_limit,human_decision,human_reviewer,review_date,decision_source_report,review_scope
R10R001,R10A001,2019,2019-06,2020-03,X011,JICA沖縄,public_institution_partner,X010,沖縄NGOセンター,registered_actor,JICA教師海外研修（九州・沖縄）,commission,,委託,官方项目报告将 ONC 列为本事业及报告书受托者,commission_role_amount_not_public,public_to_actor,S100,PDF p.103,E4,human_checked,propose_new_relation,无公开合同金额；不写资金规模,accept,项目负责人,2026-07-20,docs/human_review_return_HR018_relations_batch19_v1.md,ONC 是该事业及报告书受托者；边界：无公开合同金额；不写资金规模
R10R002,R10A002,2019,2019-04-01,2020-03-31,PUB_OKINAWA_CITY,冲绳市,public_authority_provisional,X010,沖縄NGOセンター,registered_actor,Koza International Plaza 运营,commission,,委託,市级交付金检证表点名 ONC 为委托费接收者,named_recipient_commission_flow,public_to_actor,R10S05,"PDF pp.9-10, 国际交流事業资金流",E4,human_checked,propose_new_relation,公共设施运营委托，不是 grant 或运动资金,accept,项目负责人,2026-07-20,docs/human_review_return_HR018_relations_batch19_v1.md,"官方资金流点名委托料 17,157,000 円；边界：公共设施运营委托，不是 grant 或运动资金"
R10R003,R10A003,2020,2020-04-01,2021-03-31,PUB_OKINAWA_CITY,冲绳市,public_authority_provisional,X010,沖縄NGOセンター,registered_actor,Koza International Plaza 运营,commission,,委託,市级交付金检证表点名 ONC 为委托费接收者,named_recipient_commission_flow,public_to_actor,R10S06,"PDF pp.9-10, 国际交流事業资金流",E4,human_checked,propose_new_relation,公共国际交流设施运营委托，不属于运动资金。,accept,项目负责人,2026-07-20,docs/human_review_return_HR018_relations_batch19_v1.md,"官方资金流点名委托料 16,970,000 円；边界：同上"
R10R004,R10A004;R10A005;R10A020;F033,2024,2024-04-01,2025-03-31,PUB_OKINAWA_CITY,冲绳市,public_authority_provisional,X010,沖縄NGOセンター,registered_actor,Koza International Plaza 管理运营,commission,,委託,同一 FY2024 关系折叠市侧资金流、ONC 事业费与服务说明,named_recipient_flow_plus_parallel_costs,public_to_actor,R10S07;S099;R10S09;R10S10,R10S07 PDF pp.5-6; S099 PDF pp.1-2,E4,human_checked,update_existing_F033,18.858m 是总事业费；2.196m recipient 未在该支路点名；16.040m 是组织侧事业费,accept,项目负责人,2026-07-20,docs/human_review_return_HR018_relations_batch19_v1.md,"16,662,000 円是点名 ONC 的交付对象部分委托流；边界：18.858m 是总事业费；2.196m recipient 未在该支路点名；16.040m 是组织侧事业费"
R10R005,R10A006;R10A007;R10A019;F032,2024,2024-07-04,2025-03-31,PUB_OKINAWA_PREF,冲绳县,public_authority_provisional,X010,沖縄NGOセンター,registered_actor,多文化共生社会の構築に関する万国津梁会議运营支援,commission,C1,委託,官方 C=1；会议事务局功能附着于同一关系,commission_relation_project_costs_only,public_to_actor,S002;S099;R10S08;R10S12,"S002 PDF p.59 row 431; S099 PDF pp.3,8; R10S12 PDF p.2",E4,human_checked,update_existing_F032,5.140m 与 5.530234m 都不是合同／付款额；两种期间口径分别保留,accept,项目负责人,2026-07-20,docs/human_review_return_HR018_relations_batch19_v1.md,县表确认 C1 委托关系；会议纪要确认事务局功能；边界：5.140m 与 5.530234m 都不是合同／付款额；两种期间口径分别保留
R10R006,R10A008;F031,2024,2024-04,2025-03,PUB_MOFA,外务省,public_authority_provisional,X010,沖縄NGOセンター,registered_actor,NGO相談員（外務省委託）,commission,,委託,ONC 法定报告明确写外务省委托,commission_relation_organization_cost_only,public_to_actor,S099,"PDF pp.2,8",E4,human_checked,update_existing_F031,2.894630m 仅为组织侧事业分类成本,accept,项目负责人,2026-07-20,docs/human_review_return_HR018_relations_batch19_v1.md,ONC 法定年报确认外务省委托；边界：2.894630m 仅为组织侧事业分类成本
R10R007,R10A009;F031,2026,2026-04-01,2027-03-31,PUB_MOFA,外务省,public_authority_provisional,X010,沖縄NGOセンター,registered_actor,令和8年度 NGO相談員,institutional_designation,,指定角色,官方名单确认年度指定延续,designation_no_amount,public_to_actor,S101,"official list, FY2026",E4,human_checked,update_existing_F031_time_extension,名单不含金额，也不证明 recipient 网络,accept,项目负责人,2026-07-20,docs/human_review_return_HR018_relations_batch19_v1.md,外务省确认 FY2026 指定角色与服务范围；边界：名单不含金额，也不证明 recipient 网络
R10R008,R10A010;R10V008,2024,2024-05-16,2025-03-31,PUB_OKINAWA_PREF,冲绳县,public_authority_provisional,A066,新外交イニシアティブ（ND）,registered_actor,在冲美军基地问题研讨会举办业务,commission,C2,提案型公募委託,修正原 generic administrative collaboration 错分,confirmed_contract,public_to_actor,S002;R10S11;R10S12,S002 PDF p.1 row 1; R10S11 PDF p.1 row 2; R10S12 PDF p.2,E4,human_checked,propose_new_relation_after_human_review,12.843m 是取整项目费；不是 grant、政治支持或运动资金,accept,项目负责人,2026-07-20,docs/human_review_return_HR018_relations_batch19_v1.md,"实际合同 12,842,500 円；C2 提案型公募委托；边界：12.843m 是取整项目费；不是 grant、政治支持或运动资金"
R10R009,R10A011;R10V009,2024,2024-06-12,2025-03-14,PUB_OKINAWA_PREF,冲绳县,public_authority_provisional,A088,特定非营利活动法人冲绳和平协力中心,registered_actor,“和平之思”传播·交流·传承事业,commission,C2,提案型公募委託,修正原 non-funding relation 错分,confirmed_contract,public_to_actor,S002;R10S11;R10S12,S002 PDF p.2 row 10; R10S11 PDF p.2 row 11; R10S12 PDF p.2,E4,human_checked,propose_new_relation_after_human_review,25.547m 是事业费；与 HR-018-10 是两份独立合同,accept,项目负责人,2026-07-20,docs/human_review_return_HR018_relations_batch20_v1.md,"C2 委托；实际合同 26,439,000 円；边界：25.547m 是事业费；与 HR-018-10 是两份独立合同"
R10R010,R10A012;R10V010,2024,2024-06-12,2025-03-14,PUB_OKINAWA_PREF,冲绳县,public_authority_provisional,A088,特定非营利活动法人冲绳和平协力中心,registered_actor,冲绳战讲述者培养事业,commission,C2,提案型公募委託,修正原 non-funding relation 错分,confirmed_contract,public_to_actor,S002;R10S11;R10S12,S002 PDF p.2 row 11; R10S11 PDF p.2 row 12; R10S12 PDF p.2,E4,human_checked,propose_new_relation_after_human_review,6.496m 是事业费；与 HR-018-09 是两份独立合同,accept,项目负责人,2026-07-20,docs/human_review_return_HR018_relations_batch20_v1.md,"C2 委托；实际合同 8,479,000 円；边界：6.496m 是事业费；与 HR-018-09 是两份独立合同"
