review_item_id,edge_id,source_id,source_title,source_url,source_type,source_year,source_evidence_level,source_review_status,what_it_supports,support_scope,locator,archive_status,local_path
HR035-B01-AI021,AI021,S009,Earthjustice dugong litigation explainer,https://earthjustice.org/article/fighting-to-protect-the-dugongs-of-japan-s-henoko-bay,legal_international,2014,E4,human_revised,legal/international route,,,archived,source_docs\source_archive\S009\raw.html
HR035-B01-AI021,AI021,S128,Center for Biological Diversity v. Mattis No. 15-15695 opinion,https://cdn.ca9.uscourts.gov/datastore/opinions/2017/08/21/15-15695.pdf,court_record,2017,E4,ai_seeded,R8-01 R8C01: party list NHPA posture and 2017 remand,,,archived,source_docs\source_archive\S128\raw.pdf
HR035-B01-AI025,AI025,S018,石垣市 住民投票条例案 市議会で否決,https://www.qab.co.jp/news/20190202110874.html,local_news,2019,E3,ai_seeded,Ishigaki referendum movement; A011 actor baseline,,,archived,source_docs\source_archive\S018\raw.html
HR035-B01-AI025,AI025,S019,有効署名１万４千筆超　２０日に条例制定請求　住民投票、来月の議会で審議　石垣陸自配備,https://www.yaeyama-nippo.co.jp/archives/4232,local_news,2018,E2,human_revised,"报道的选管公告、署名活动、事件期组织名称和会长身份；14,263当时仍待最终确定。","报道的选管公告、署名活动、事件期组织名称和会长身份；14,263当时仍待最终确定。","2018-12-14；正文第1–4段；14,263、15,132、纵览/最终确定、直接请求计划和金城发言",archived,source_docs\source_archive\S019\raw.html
HR035-B01-AI027,AI027,S018,石垣市 住民投票条例案 市議会で否決,https://www.qab.co.jp/news/20190202110874.html,local_news,2019,E3,ai_seeded,Ishigaki referendum movement; A011 actor baseline,,,archived,source_docs\source_archive\S018\raw.html
HR035-B01-AI027,AI027,S019,有効署名１万４千筆超　２０日に条例制定請求　住民投票、来月の議会で審議　石垣陸自配備,https://www.yaeyama-nippo.co.jp/archives/4232,local_news,2018,E2,human_revised,"报道的选管公告、署名活动、事件期组织名称和会长身份；14,263当时仍待最终确定。","报道的选管公告、署名活动、事件期组织名称和会长身份；14,263当时仍待最终确定。","2018-12-14；正文第1–4段；14,263、15,132、纵览/最终确定、直接请求计划和金城发言",archived,source_docs\source_archive\S019\raw.html
HR035-B01-AI048,AI048,S061,JELF Okinawa Dugong NHPA lawsuit plaintiff material,https://www.jelf-justice.org/base_issue/post-1430/,legal_source,2018,E4,human_verified,JELF plaintiff material for Okinawa Dugong NHPA lawsuit,,,archived,source_docs\source_archive\S061\raw.html
HR035-B01-AI048,AI048,S128,Center for Biological Diversity v. Mattis No. 15-15695 opinion,https://cdn.ca9.uscourts.gov/datastore/opinions/2017/08/21/15-15695.pdf,court_record,2017,E4,ai_seeded,R8-01 R8C01: party list NHPA posture and 2017 remand,,,archived,source_docs\source_archive\S128\raw.pdf
HR035-B01-AI048,AI048,S142,第2次泡瀬干潟埋立住民訴訟の上告棄却に関する原告と弁護団の声明,https://www.jelf-justice.org/?p=1114,legal_source,2017,E4,ai_seeded,R8-01 R8C06: second-wave claimant and counsel roles appellate and Supreme Court outcomes,,,archived,source_docs\source_archive\S142\raw.html
HR035-B01-AI049,AI049,S006,OEJP 71 organizations MMC request,https://okinawaejp.blogspot.com/2020/07/,international_advocacy,2020,E4,ai_seeded,transnational advocacy; dugong; MMC,,,archived,source_docs\source_archive\S006\raw.html
HR035-B01-AI049,AI049,S007,The Plight of the Okinawa Dugong,https://apjjf.org/2020/16/yoshikawaoejp,academic_article,2020,E3,ai_seeded,OEJP; 71 groups; civil society report,,,manual_archived,source_docs/source_archive/S007/raw.pdf
HR035-B01-AI050,AI050,S061,JELF Okinawa Dugong NHPA lawsuit plaintiff material,https://www.jelf-justice.org/base_issue/post-1430/,legal_source,2018,E4,human_verified,JELF plaintiff material for Okinawa Dugong NHPA lawsuit,,,archived,source_docs\source_archive\S061\raw.html
HR035-B01-AI050,AI050,S128,Center for Biological Diversity v. Mattis No. 15-15695 opinion,https://cdn.ca9.uscourts.gov/datastore/opinions/2017/08/21/15-15695.pdf,court_record,2017,E4,ai_seeded,R8-01 R8C01: party list NHPA posture and 2017 remand,,,archived,source_docs\source_archive\S128\raw.pdf
