review_item_id,proposal_row_id,main_source_id,support_modules,module_source_refs,url,archive_status,current_title,current_source_type,current_year_or_period,current_evidence_level,metadata_conflicts,review_boundary,human_review_prerequisite,decision,revised_title,revised_source_type,revised_year_or_period,revised_evidence_level,revised_support_scope,reviewer,review_date,review_note,revised_year,revised_locator,archive_resolution,source_report
HR022-001,SMC001,S115,R4,R4:R4S005,https://econet.jpn.org/,archived,宮古島海の環境ネットワーク,organization_site,2026,E4,,作为地方环境生态背景；未证明军事争议参与 | 官网只支持海岸清扫、海洋调查与环境教育；不得编码 environment_deployment,confirm_year_or_period,accept_with_revision,特定非営利活動法人 宮古島 海の環境ネットワーク,organization_site,2026,E4,组织身份及组织自述的海岸清扫、海洋调查和环境教育；不支持军事争议参与或environment_deployment。,项目负责人,2026-07-20,补正式法人名；2026仅为访问/快照年。,,组织官网的法人名、活动介绍及公开项目栏目；2026访问快照,archived_verified,docs/human_review_return_HR022_metadata_batch28_v1.md
HR022-002,SMC002,S071,R9,R9:R9S005,https://greenaccess.law.osaka-u.ac.jp/archives/7214,archived,greenaccess 与那国町住民投票条例資料,legal_database,2015,E3,,不是町公报或议会原件；需当地交叉。,retain_usable_with_limit_boundary,accept_with_revision,与那国町住民投票条例（平成26年与那国町条例第25号／平成27年条例第1号改正、失効）,legal_database,2014–2015,E3,条例文本、制定/修订信息和失效标识；数据库副本不是町政府原件，关键结果仍需官方或独立材料。,项目负责人,2026-07-20,使用含失效标识的原题；制定年与修订年分开。,,条例正文、2014制定、2015修订及页面失效标识,archived_verified,docs/human_review_return_HR022_metadata_batch28_v1.md
HR022-003,SMC005,S011,R9,R9:R9S007,https://ryukyushimpo.jp/news/prentry-239307.html,archived,与那国住民投票 陸自配備を容認,local_news,2015,E3,,需町选管原表升级为E4。,retain_usable_with_limit_boundary,accept_with_revision,与那国住民投票 陸自配備を容認　賛成632票、反対445票,local_news,2015,E3,新闻报道的投票结果、部署背景和具名争议内容；健康担忧不是已证实健康损害。,项目负责人,2026-07-20,补全含票数的新闻原题；町选管原始结果出现前不升E4。,,2015-02-23页面标题、首段和健康担忧段,archived_verified,docs/human_review_return_HR022_metadata_batch28_v1.md
HR022-004,SMC006,S160,R9,R9:R9S027,https://www.call4.jp/file/pdf/202407/5f499d29696072751d0d60cc3a9077f5.pdf,archived,令和5年行コ第6号判決,court_record,2024,E3,,CALL4托管而非法院官网；需官方裁判书。,approve_new_source_metadata_and_scope;retain_usable_with_limit_boundary,accept_with_revision,福岡高等裁判所那覇支部 令和5年（行コ）第6号 地位確認請求控訴事件判決（2024年3月12日）,court_record,2024,E3,案号、法院、自然人当事人、日期、主文和判决理由；CALL4托管链不是法院官网。,项目负责人,2026-07-20,判决正本影印可用，但不得据此把组织编码为法院确认原告。,,PDF p.1案件/当事人/主文；pp.5–13判断与结论；p.14正本认证,archived_verified,docs/human_review_return_HR022_metadata_batch28_v1.md
HR022-005,SMC007,S161,R9,R9:R9S029,https://www.call4.jp/search.php?items_id=I0000141&items_id_PAL%5B%5D=match+comp&run=true&type=action,archived,石垣市住民投票を求める裁判 CALL4案件页,court_record,2024,E3,,组织侧材料不等于法院确认组织原告身份。,approve_new_source_metadata_and_scope;retain_usable_with_limit_boundary,accept_with_revision,石垣市住民投票を求める裁判,legal_source,2024,E3,CALL4上的案件进展及组织自述的2018结成、主办/诉讼支持角色和当时解散计划；不是法院确认的组织原告身份。,项目负责人,2026-07-20,改为legal_source；组织侧案件页与法院裁判书分层。,,CALL4案件页的案件公开呈现、原告栏、これまでの経緯、裁判の状況及2024具日期更新,archived_verified,docs/human_review_return_HR022_metadata_batch28_v1.md
HR022-006,SMC008,S138,R4;R9,R9:R9S014;R4:R4S011,https://www.city.ishigaki.okinawa.jp/jieiteikannrenn/news/3615.html,archived,石垣市平得大俣地域への陸上自衛隊配備計画の賛否を問う住民投票条例に係る議会審議の結果,local_official,2020,E4,source_type=local_news/official_legislative_record;year=2019/2020,"需核页面更新日期与具体表决时间 | 不能写 current；页面给出事件日期和更新日期 | Process/source fact only; do not infer organization continuity, alliance, or later authorization.",resolve_metadata_or_URL_conflict,accept_with_revision,石垣市平得大俣地域への陸上自衛隊配備計画の賛否を問う住民投票条例に係る議会審議の結果について H31.2.4,local_official,2019（事件/正式文件）；page updated 2020-03-30,E4,直接请求被受理、条例案进入议会并被否决的程序事实。,项目负责人,2026-07-20,事件日与页面更新日分开；不写成current状态。,,网页标题与更新日；链接PDF p.1全文,archived_verified,docs/human_review_return_HR022_metadata_batch28_v1.md
HR022-007,SMC009,S162,R4,R4:R4S014,https://www.city.ishigaki.okinawa.jp/material/files/group/33/iinkai2024-1.pdf,archived,国民保护计划改正要请决议,official_legislative_record,2024,E4,,决议是政策要求不是已落实措施 | 市议会决议文字和制度角色清楚；不得写成已落实,approve_new_source_metadata_and_scope,accept_with_revision,国民保護計画の改正等を求める意見書,official_legislative_record,2024,E4,市议会提出的制度与生活安全要求；政策要求不等于已经执行。,项目负责人,2026-07-20,改用正式决议题名并冻结pp.1–3。,,PDF p.1议案身份/日期/提出者；pp.2–3七项请求、决议和宛先,archived_verified,docs/human_review_return_HR022_metadata_batch28_v1.md
HR022-008,SMC010,S163,R9,R9:R9S025,https://www.city.ishigaki.okinawa.jp/material/files/group/33/r3-6-28gijinittei.pdf,archived,令和3年第5回石垣市議会定例会議事日程,official_legislative_record,2021,E4,,"Process/source fact only; do not infer organization continuity, alliance, or later authorization.",approve_new_source_metadata_and_scope,accept_with_revision,令和3年第4回石垣市議会定例会議事日程,official_legislative_record,2021,E4,2021-06-28修正议案通过的程序事实；删除条款内容须与其他官方资料合用。,项目负责人,2026-07-20,原第5回修正为第4回。,,PDF p.2第19项，议员提出议案第15号，可決,archived_verified,docs/human_review_return_HR022_metadata_batch28_v1.md
HR022-009,SMC011,S164,R9,R9:R9S018,https://www.city.ishigaki.okinawa.jp/material/files/group/9/r71zitikihon_siryou1-3.pdf,archived,石垣市自治基本条例 これまでの見直し・改正,local_official,2025,E4,,"Process/source fact only; do not infer organization continuity, alliance, or later authorization.",approve_new_source_metadata_and_scope,accept_with_revision,石垣市自治基本条例の見直しについて（令和7年度第1回審議会資料）,local_official,2025,E4,官方对2021修法内容的2025制度回顾及当年审议程序；不支持删除动机或最终结果。,项目负责人,2026-07-20,使用父页面正式资料名。,,父页面第1回会议资料栏；PDF p.2/资料1印刷p.2,archived_verified,docs/human_review_return_HR022_metadata_batch28_v1.md
HR022-010,SMC012,S165,R4,R4:R4S013,https://www.city.ishigaki.okinawa.jp/soshiki/1/kokuminhogokankei/10812.html,archived,石垣市避難実施要領概要,local_official,2022,E4,,需下载各年度PDF比较变化 | 年度链接与页面更新时间 2026-02-27 可复核,approve_new_source_metadata_and_scope,accept_with_revision,石垣市避難実施要領（案）概要,local_official,2022–2025（annual documents）；page updated 2026-02-27,E4,令和4至令和7年度避难实施要领（案）概要/训练材料的公开与版本存在；不证明实际撤离或能力。,项目负责人,2026-07-20,补“（案）”；版本比较须另建数据与解释门。,,网页年度链接；R4 PDF pp.1–2限制语；R5/R6/R7各PDF首页及页数,archived_verified,docs/human_review_return_HR022_metadata_batch28_v1.md
HR022-011,SMC013,S166,R9,R9:R9S023,https://www.city.ishigaki.okinawa.jp/soshiki/gikai/teireikairinnjikai/teisyutugianntokekka/reiwagannnenndo/1310.html,archived,令和元年第1回石垣市議会臨時会提出議案と議決結果,official_legislative_record,2019,E4,,"Process/source fact only; do not infer organization continuity, alliance, or later authorization.",approve_new_source_metadata_and_scope,accept_with_revision,平成31年 第2回石垣市議会(臨時会)の提出議案とその結果,official_legislative_record,2019,E4,2019-02-01的议案身份和否决结果。,项目负责人,2026-07-20,原第1回改为平成31年第2回；页面更新2020-03-02。,,会期栏；市长提出议案表中平成30年议案第85号修正案及本案,archived_verified,docs/human_review_return_HR022_metadata_batch29_v1.md
HR022-012,SMC014,S167,R9,R9:R9S024,https://www.city.ishigaki.okinawa.jp/soshiki/gikai/teireikairinnjikai/teisyutugianntokekka/reiwagannnenndo/1314.html,archived,令和元年第4回石垣市議会定例会提出議案と議決結果,official_legislative_record,2019,E4,,"Process/source fact only; do not infer organization continuity, alliance, or later authorization.",approve_new_source_metadata_and_scope,accept_with_revision,令和元年 第4回石垣市議会(定例会)の提出議案とその結果,official_legislative_record,2019,E4,本次定例会的议员提出议案程序和表决结果。,项目负责人,2026-07-20,补会期和页面更新2020-03-02。,,2019-06-17–2019-07-01会期；〈議員提出議案〉表，議案第2号，6月17日，否決,archived_verified,docs/human_review_return_HR022_metadata_batch29_v1.md
HR022-013,SMC015,S168,R4,R4:R4S001,https://www.city.miyakojima.lg.jp/gyosei/kihonkeikaku/kensetsu/shisaku2.html,archived,宮古島市新市施策：水源保护条例,local_official,undated,E4,,这是一般水政策背景；不得自动归因于自卫队部署 | 一般地下水政策可作宫古背景；没有部署连接，删除 environment_deployment,approve_new_source_metadata_and_scope;confirm_year_or_period,accept_with_revision,新しい島づくり計画（新市建設計画）第５章 新市の施策（後半）,local_official,2005（最终五市町村版；2005-08）,E4,合并时的一般地下水政策、条例遵守、污水处理、水源涵养和居民协作背景；删除部署连接。,项目负责人,2026-07-20,一般水政策不得自动连接自卫队部署。,,5-3→(1)→1.かけがえのない地下水の保全；合册PDF pp.45–46附近/印刷页44起,archived_verified,docs/human_review_return_HR022_metadata_batch29_v1.md
