role_id,case_id,stage_id,actor_id,actor_name,entity_type,role_type,role_scope,source_id,evidence_level,review_status,interpretation_limit,notes
R9R001,R9C_NAGO_1997,R9ST001,A068,名護市民投票推進協議会（existing A068 name: 名護市民投票の会）,registry_actor_candidate_mapping,initiative_and_signature_organizer,1997 process,R9S001,E4,needs_human_review,A068 canonical name/alias may conflate variants,Official source names 宮城康博 as representative; registry alias update requires human decision.
R9R002,R9C_NAGO_1997,R9ST002,,名護市選挙管理委員会,public_institution_counterpart,signature_verifier_and_vote_administrator,signature and vote stages,R9S001,E4,ai_seeded,"Institutional role, not civic actor",
R9R003,R9C_NAGO_1997,R9ST003,,名護市議会,public_institution_counterpart,ordinance_decision_body,council stage,R9S001,E4,ai_seeded,Council vote does not imply a single organizational stance beyond the recorded decision,
R9R004,R9C_NAGO_1997,R9ST006,,比嘉鉄也,individual_counterpart,mayor_and_post_result_decision_maker,ordinance and post-result,R9S002,E4,ai_seeded,Individual should not be added as organization actor,
R9R005,R9C_YONAGUNI_2015,R9ST009,A014,住民投票を成功させるための実行委員会,registry_actor_candidate,opposition_campaign_committee,campaign stage,R9S008,E2,needs_human_review,"Exact formal name, representative and continuity unresolved",Needs local newspaper/advertisement/committee material.
R9R006,R9C_YONAGUNI_2015,R9ST007,,与那国町議会,public_institution_counterpart,ordinance_decision_body,ordinance and amendment,R9S005,E3,needs_human_review,University legal database is not original council record,
R9R007,R9C_YONAGUNI_2015,R9ST010,,与那国町選挙管理委員会,public_institution_counterpart,vote_administrator,vote stage,R9S005,E3,ai_seeded,Institutional role only,
R9R008,R9C_YONAGUNI_2015,R9ST012,,外間守吉,individual_counterpart,mayor_and_post_result_interpreter,post-result,R9S006,E4,ai_seeded,Mayor’s interpretation is not whole-community consensus,
R9R009,R9C_PREF_2019,R9ST013,A051,「辺野古」県民投票の会,registry_actor_candidate,initiative_and_signature_organizer,initiative through direct request,R9S021,E3,needs_human_review,"Official sources confirm request, but group-to-request representative mapping relies on later secondary material",Existing A051 source_refs do not currently document full role.
R9R010,R9C_PREF_2019,R9ST013,,元山仁士郎,individual_counterpart,organization_representative,initiative/signature,R9S021,E3,needs_human_review,Individual role should not substitute for organization evidence,Needs primary organization record.
R9R011,R9C_PREF_2019,R9ST016,,沖縄県議会,public_institution_counterpart,ordinance_decision_body,ordinance/amendment,R9S010,E4,ai_seeded,"Assembly is a decision venue, not a civic ally",
R9R012,R9C_PREF_2019,R9ST018,,沖縄県知事・県民投票事務局,public_institution_counterpart,executive_and_vote_administrator,implementation/result notification,R9S012,E4,ai_seeded,Administrative execution distinct from civic initiation,
R9R013,R9C_PREF_2019,R9ST014,,県内市町村選挙管理委員会,public_institution_collective,signature_verification_and_local_execution,signature/vote,R9S013,E4,ai_seeded,Collective institutional layer; municipalities differed during implementation dispute,
R9R014,R9C_ISHIGAKI_2018_2024,R9ST020,A011,石垣市住民投票を求める会,registry_actor_candidate,signature_and_referendum_campaign_organizer,2018–2024,R9S020,E3,needs_human_review,Current official-site URL and local archive are unrelated travel content,Use court facts plus recovered historical pages/Web Archive before human approval.
R9R015,R9C_ISHIGAKI_2018_2024,R9ST021,,27名の実施請求代表者,resident_collective,formal_request_representatives,direct request,R9S015,E4,ai_seeded,Court-anonymized collective; not automatically identical to A011 membership,
R9R016,R9C_ISHIGAKI_2018_2024,R9ST021,,中山義隆・石垣市長,individual_counterpart,request_receiver_and_bill_submitter,administrative/council stage,R9S015,E4,ai_seeded,Procedural role only; do not infer stance beyond sourced action,
R9R017,R9C_ISHIGAKI_2018_2024,R9ST022,,石垣市議会,public_institution_counterpart,ordinance_decision_body,two council rejections and 2021 amendment,R9S015,E4,ai_seeded,"Record decisions, not stable alignment with any civic actor",
R9R018,R9C_ISHIGAKI_2018_2024,R9ST024,,住民原告（請求代表者・署名者）,resident_plaintiff_collective,judicial_plaintiffs,district-court litigation,R9S015,E4,ai_seeded,Court record anonymizes individuals,
R9R019,R9C_ISHIGAKI_2018_2024,R9ST024,,石垣市,municipal_defendant,judicial_defendant,district-court litigation,R9S015,E4,ai_seeded,Legal party role distinct from policy actor classification,
R9R020,R9C_ISHIGAKI_2018_2024,R9ST027,A011,石垣市住民投票を求める会,registry_actor_candidate,litigation_support_and_public_advocacy,follow-on litigation,R9S019,E3,needs_human_review,Exact party/support role across two lawsuits is not closed,"Need judgments, case numbers and original group statements."
