anchor_id,work_package,case_id,metric,level,period_start,period_end,period_semantics,value,value_text,unit,currency,definition,denominator_id,source_receipt_ids,exact_locator,anchor_status,observed_local,gap_type,null_model,allowed_claim,prohibited_inference,review_status,package_scope,frontend_eligibility,central_writeback
W2A-A001,W2-A,AWWA,total_revenue_usd,organization_filing,2022-06-01,2023-05-31,organization tax period; one filing snapshot,118696,"USD 118,696",USD,USD,Total revenue; EIN 980227149; Form 990EZ; IRS object 202410619349200461,,W2A-SR001,XML local-name XPath /Return/ReturnData/IRS990EZ/TotalRevenueAmt,official_irs_bulk_xml_verified,official filing for AWWA,,,"The AWWA filing reports total revenue of USD 118,696 for this tax period.","Do not extrapolate one filing into a trend, an annual five-organization ecology total, Okinawa-wide welfare spending, political alignment, or recipient-level flow.",ai_seeded,research_only,not_frontend_ready,no
W2A-A002,W2-A,AWWA,total_expenses_usd,organization_filing,2022-06-01,2023-05-31,organization tax period; one filing snapshot,128830,"USD 128,830",USD,USD,Total expenses; EIN 980227149; Form 990EZ; IRS object 202410619349200461,,W2A-SR001,XML local-name XPath /Return/ReturnData/IRS990EZ/TotalExpensesAmt,official_irs_bulk_xml_verified,official filing for AWWA,,,"The AWWA filing reports total expenses of USD 128,830 for this tax period.","Do not extrapolate one filing into a trend, an annual five-organization ecology total, Okinawa-wide welfare spending, political alignment, or recipient-level flow.",ai_seeded,research_only,not_frontend_ready,no
W2A-A003,W2-A,AWWA,grants_and_similar_paid_usd,organization_filing,2022-06-01,2023-05-31,organization tax period; one filing snapshot,125158,"USD 125,158",USD,USD,Grants and similar amounts paid; EIN 980227149; Form 990EZ; IRS object 202410619349200461,,W2A-SR001,XML local-name XPath /Return/ReturnData/IRS990EZ/GrantsAndSimilarAmountsPaidAmt,official_irs_bulk_xml_verified,official filing for AWWA,,,"The AWWA filing reports grants and similar amounts paid of USD 125,158 for this tax period.","Do not extrapolate one filing into a trend, an annual five-organization ecology total, Okinawa-wide welfare spending, political alignment, or recipient-level flow.",ai_seeded,research_only,not_frontend_ready,no
W2A-A004,W2-A,AWWA,net_assets_or_fund_balances_eoy_usd,organization_filing,2022-06-01,2023-05-31,organization tax period; one filing snapshot,12694,"USD 12,694",USD,USD,End-of-period net assets or fund balances; EIN 980227149; Form 990EZ; IRS object 202410619349200461,,W2A-SR001,XML local-name XPath /Return/ReturnData/IRS990EZ/NetAssetsOrFundBalancesEOYAmt,official_irs_bulk_xml_verified,official filing for AWWA,,,"The AWWA filing reports end-of-period net assets or fund balances of USD 12,694 for this tax period.","Do not extrapolate one filing into a trend, an annual five-organization ecology total, Okinawa-wide welfare spending, political alignment, or recipient-level flow.",ai_seeded,research_only,not_frontend_ready,no
W2A-A005,W2-A,AWWA,total_revenue_usd,organization_filing,2023-06-01,2024-05-31,organization tax period; one filing snapshot,97211,"USD 97,211",USD,USD,Total revenue; EIN 980227149; Form 990EZ; IRS object 202443189349200514,,W2A-SR002,XML local-name XPath /Return/ReturnData/IRS990EZ/TotalRevenueAmt,official_irs_bulk_xml_verified,official filing for AWWA,,,"The AWWA filing reports total revenue of USD 97,211 for this tax period.","Do not extrapolate one filing into a trend, an annual five-organization ecology total, Okinawa-wide welfare spending, political alignment, or recipient-level flow.",ai_seeded,research_only,not_frontend_ready,no
W2A-A006,W2-A,AWWA,total_expenses_usd,organization_filing,2023-06-01,2024-05-31,organization tax period; one filing snapshot,99725,"USD 99,725",USD,USD,Total expenses; EIN 980227149; Form 990EZ; IRS object 202443189349200514,,W2A-SR002,XML local-name XPath /Return/ReturnData/IRS990EZ/TotalExpensesAmt,official_irs_bulk_xml_verified,official filing for AWWA,,,"The AWWA filing reports total expenses of USD 99,725 for this tax period.","Do not extrapolate one filing into a trend, an annual five-organization ecology total, Okinawa-wide welfare spending, political alignment, or recipient-level flow.",ai_seeded,research_only,not_frontend_ready,no
W2A-A007,W2-A,AWWA,grants_and_similar_paid_usd,organization_filing,2023-06-01,2024-05-31,organization tax period; one filing snapshot,94889,"USD 94,889",USD,USD,Grants and similar amounts paid; EIN 980227149; Form 990EZ; IRS object 202443189349200514,,W2A-SR002,XML local-name XPath /Return/ReturnData/IRS990EZ/GrantsAndSimilarAmountsPaidAmt,official_irs_bulk_xml_verified,official filing for AWWA,,,"The AWWA filing reports grants and similar amounts paid of USD 94,889 for this tax period.","Do not extrapolate one filing into a trend, an annual five-organization ecology total, Okinawa-wide welfare spending, political alignment, or recipient-level flow.",ai_seeded,research_only,not_frontend_ready,no
W2A-A008,W2-A,AWWA,net_assets_or_fund_balances_eoy_usd,organization_filing,2023-06-01,2024-05-31,organization tax period; one filing snapshot,10180,"USD 10,180",USD,USD,End-of-period net assets or fund balances; EIN 980227149; Form 990EZ; IRS object 202443189349200514,,W2A-SR002,XML local-name XPath /Return/ReturnData/IRS990EZ/NetAssetsOrFundBalancesEOYAmt,official_irs_bulk_xml_verified,official filing for AWWA,,,"The AWWA filing reports end-of-period net assets or fund balances of USD 10,180 for this tax period.","Do not extrapolate one filing into a trend, an annual five-organization ecology total, Okinawa-wide welfare spending, political alignment, or recipient-level flow.",ai_seeded,research_only,not_frontend_ready,no
W2A-A009,W2-A,KOSC,total_revenue_usd,organization_filing,2022-06-01,2023-05-31,organization tax period; one filing snapshot,203544,"USD 203,544",USD,USD,Current-year total revenue; EIN 980214323; Form 990; IRS object 202430969349301028,,W2A-SR003,XML local-name XPath /Return/ReturnData/IRS990/CYTotalRevenueAmt,official_irs_bulk_xml_verified,official filing for KOSC,,,"The KOSC filing reports current-year total revenue of USD 203,544 for this tax period.","Do not extrapolate one filing into a trend, an annual five-organization ecology total, Okinawa-wide welfare spending, political alignment, or recipient-level flow.",ai_seeded,research_only,not_frontend_ready,no
W2A-A010,W2-A,KOSC,total_expenses_usd,organization_filing,2022-06-01,2023-05-31,organization tax period; one filing snapshot,168806,"USD 168,806",USD,USD,Current-year total expenses; EIN 980214323; Form 990; IRS object 202430969349301028,,W2A-SR003,XML local-name XPath /Return/ReturnData/IRS990/CYTotalExpensesAmt,official_irs_bulk_xml_verified,official filing for KOSC,,,"The KOSC filing reports current-year total expenses of USD 168,806 for this tax period.","Do not extrapolate one filing into a trend, an annual five-organization ecology total, Okinawa-wide welfare spending, political alignment, or recipient-level flow.",ai_seeded,research_only,not_frontend_ready,no
