"namespace","owner_table","format","reserved_or_existing","allocation_rule","collision_gate","notes"
"registry_actor","actor registry","A### or X###","X001-X017 existing; X018-X023 conditional reserve","Allocate only after central hash and maximum-ID check","abort if any reserved ID exists with a different actor","AER and AFAS are national actors; local presences do not get actor IDs"
"legacy_relation","legacy relation sample","F###","F001-F043 existing","Never renumber or copy","43 IDs must remain unique and byte-identical","Typed semantics live in overlay"
"selection_frame","selection_frames","USF-*","USF-US-ORIGIN17-2026-08-19; USF-EXISTING43-2026-08-19","Versioned immutable frame ID","same ID must have byte-identical scope fields","Successor frames get new IDs"
"money_flow","money_flows","USNMF-####","none","Assign after accepted row projection","unique within table and natural-key dedupe","Transaction-chain steps use a separate chain ID"
"accounting_observation","resource_accounting_observations","USNRA-####","none","Assign to non-flow financial records","cannot share a money-flow natural key","Court award and payment mechanism stay separate"
"person","person identity crosswalk","USNPER-####","none","Assign after name identity crosswalk","no P### prefix","P### is reserved for place nodes"
"person_role","person_actor_time","USNPR-####","none","One person actor role time observation","natural key includes person actor role observed date source","No automatic continuous tenure"
"service_recipient","service_recipient","USNSR-####","none","One service or resource recipient observation","recipient endpoint type required","Aggregate recipient classes stay non-actor"
"affiliation","affiliation_control","USNAF-####","none","One typed structural relation","relation family and direction required","Membership channel and control are separate rows"
"action_institution","action_institution","USNAI-####","none","One action role to one institution case program place or event","endpoint type required","Event-only endpoints remain off actor graph"
"research_endpoint","research_endpoint_crosswalk","USNEP-####","none","Assign to non-registry endpoints","must not collide with A X P F S IDs","Raw labels can remain unresolved"
"source_proposal","source admission planner","USNSRC-P####","SP001-SP038 and USAP001-USAP007 retained upstream","Use proposal ID until URL freeze","no S-ID before dedupe","Final S-ID assigned centrally only after approval"
"source","source log","S###","S001-S295 existing","Allocate contiguous IDs after frozen source plan","abort on baseline hash drift","Every new source starts relation_or_claim_approved=no"
