metric,old_value,current_value,compatibility_status,impact,research_status,claim_status,review_status,frontend_eligibility,central_writeback,interpretation_limit
accountability_active_issue_edge_count,189,231,recompute_required,high,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,A changed project comparison set does not estimate the population size of either ecology.
accountability_anchor_issue_ids,"[""I001"", ""I002"", ""I003"", ""I004"", ""I006"", ""I007"", ""I008"", ""I010"", ""I017"", ""I018"", ""I021"", ""I025""]","[""I001"", ""I002"", ""I003"", ""I004"", ""I006"", ""I007"", ""I008"", ""I010"", ""I017"", ""I018"", ""I021"", ""I025""]",invariant,none,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,A changed project comparison set does not estimate the population size of either ecology.
accountability_candidate_only_anchor_actor_count,47,42,recompute_required,high,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,A changed project comparison set does not estimate the population size of either ecology.
accountability_comparison_actor_count,65,77,recompute_required,high,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,A changed project comparison set does not estimate the population size of either ecology.
accountability_human_reviewed_anchor_actor_count,18,35,recompute_required,high,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,A changed project comparison set does not estimate the population size of either ecology.
accountability_issue_source_id_count,96,125,recompute_required,medium,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,A changed project comparison set does not estimate the population size of either ecology.
accountability_non_source_ref_count,0,0,invariant,none,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,A changed project comparison set does not estimate the population size of either ecology.
accountability_unique_place_count,12,12,invariant,none,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,A changed project comparison set does not estimate the population size of either ecology.
active_registry_actors,121,121,invariant,none,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,A changed project comparison set does not estimate the population size of either ecology.
actor_set_overlap_count,0,0,invariant,none,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,A changed project comparison set does not estimate the population size of either ecology.
as_of_date,"""2026-07-20""","""2026-07-20""",invariant,none,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,A changed project comparison set does not estimate the population size of either ecology.
base_production_causal_status,"""hypothesis_only""","""hypothesis_only""",invariant,none,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,A changed project comparison set does not estimate the population size of either ecology.
candidate_dyadic_relation_count,8,8,invariant,none,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,A changed project comparison set does not estimate the population size of either ecology.
case_role_count,27,27,invariant,none,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,A changed project comparison set does not estimate the population size of either ecology.
complete_recipient_network_status,"""not_measured_incomplete_records""","""not_measured_incomplete_records""",invariant,none,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,A changed project comparison set does not estimate the population size of either ecology.
cross_ecology_dyadic_observed_count,0,0,invariant,none,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,A changed project comparison set does not estimate the population size of either ecology.
cross_ecology_event_observed_count,0,0,invariant,none,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,A changed project comparison set does not estimate the population size of either ecology.
dyadic_relation_categories,"{""accountability_internal"": 11, ""outside_two_group_comparison"": 1, ""service_ecology_internal"": 10}","{""accountability_internal"": 11, ""outside_two_group_comparison"": 1, ""service_ecology_internal"": 10}",invariant,none,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,A changed project comparison set does not estimate the population size of either ecology.
frontend_eligibility,"""excluded_research_only""","""excluded_research_only""",invariant,none,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,A changed project comparison set does not estimate the population size of either ecology.
package_claim_status,"""candidate_analysis""","""candidate_analysis""",invariant,none,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,A changed project comparison set does not estimate the population size of either ecology.
package_scope,"""research_only""","""research_only""",invariant,none,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,A changed project comparison set does not estimate the population size of either ecology.
public_person_overlap_status,"""not_measured_no_person_role_table""","""not_measured_no_person_role_table""",invariant,none,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,A changed project comparison set does not estimate the population size of either ecology.
publication_status,"""not_publication_ready_requires_human_review""","""not_publication_ready_requires_human_review""",invariant,none,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,A changed project comparison set does not estimate the population size of either ecology.
r10_cross_ecology_observed_count,0,0,invariant,none,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,A changed project comparison set does not estimate the population size of either ecology.
r10_identity_crosswalked_service_core_row_count,0,0,invariant,none,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,A changed project comparison set does not estimate the population size of either ecology.
r10_official_source_universe_row_count,616,616,invariant,none,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,A changed project comparison set does not estimate the population size of either ecology.
r10_purposive_relation_count,35,35,invariant,none,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,A changed project comparison set does not estimate the population size of either ecology.
r10_relation_categories,"{""accountability_to_other_interface"": 1, ""outside_two_group_comparison"": 18, ""service_ecology_internal"": 8, ""service_to_other_interface"": 8}","{""accountability_to_other_interface"": 1, ""outside_two_group_comparison"": 18, ""service_ecology_internal"": 8, ""service_to_other_interface"": 8}",invariant,none,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,A changed project comparison set does not estimate the population size of either ecology.
registry_history_rows,122,122,invariant,none,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,A changed project comparison set does not estimate the population size of either ecology.
reviewed_dyadic_relation_count,14,14,invariant,none,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,A changed project comparison set does not estimate the population size of either ecology.
service_active_issue_edge_count,11,11,invariant,none,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,A changed project comparison set does not estimate the population size of either ecology.
service_active_issue_ids,"[""I014"", ""I016""]","[""I014"", ""I016""]",invariant,none,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,A changed project comparison set does not estimate the population size of either ecology.
service_anchor_issue_edge_count,0,0,invariant,none,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,A changed project comparison set does not estimate the population size of either ecology.
