queue_id,audit_row_id,suggested_source_id_if_merged,proposal_refs,normalized_url,issue_codes,review_question,relation_or_claim_approved
NW2FW001,NW2FS012,S259,NW2-B_R09:R9EC_S012,https://www.jstage.jst.go.jp/article/isvsjapan/19/0/19_45/_pdf/-char/en,verify_pdf_content_type_for_extensionless_jstage_endpoint,"Open/fetch the final URL, confirm displayed title/date/locator and content type, and record the archive outcome. A failed archive may retain a provisional S ID but cannot support formal claim use.",no
NW2FW002,NW2FS018,S265,NW2-B_R09:R9EC_S018,https://www.okinawatimes.co.jp/articles/-/1000372,verify_accessible_text_and_paywall_boundary,"Open/fetch the final URL, confirm displayed title/date/locator and content type, and record the archive outcome. A failed archive may retain a provisional S ID but cannot support formal claim use.",no
NW2FW003,NW2FS024,S269,NW2-C_registry_gate:RV2SP003,https://miyakojima-tikasui.com/crisis.html,snapshot_current_page_and_record_access_date,"Open/fetch the final URL, confirm displayed title/date/locator and content type, and record the archive outcome. A failed archive may retain a provisional S ID but cannot support formal claim use.",no
NW2FW004,NW2FS030,S275,NW2-C_registry_gate:RV2SP009,https://www.asahi.com/articles/ASQ9S5J0LQ96TPOB004.html,preserve_visible_locator_under_paywall_boundary,"Open/fetch the final URL, confirm displayed title/date/locator and content type, and record the archive outcome. A failed archive may retain a provisional S ID but cannot support formal claim use.",no
NW2FW005,NW2FS033,S278,NW2-C_registry_gate:RV2SP012,https://newsdig.tbs.co.jp/articles/-/2642471?display=1,verify_dynamic_query_page_and_final_url,"Open/fetch the final URL, confirm displayed title/date/locator and content type, and record the archive outcome. A failed archive may retain a provisional S ID but cannot support formal claim use.",no
NW2FW006,NW2FS035,S280,NW2-C_registry_gate:RV2SP014,https://www.shinfujin.gr.jp/about/organization,snapshot_current_page_and_record_access_date,"Open/fetch the final URL, confirm displayed title/date/locator and content type, and record the archive outcome. A failed archive may retain a provisional S ID but cannot support formal claim use.",no
NW2FW007,NW2FS037,S282,NW2-C_registry_gate:RV2SP017,https://www.pref.okinawa.lg.jp/_res/projects/default_project/_page_/001/014/905/h20gyouseikiroku.pdf,domain_archive_history_has_material_failure_share,"Open/fetch the final URL, confirm displayed title/date/locator and content type, and record the archive outcome. A failed archive may retain a provisional S ID but cannot support formal claim use.",no
NW2FW008,NW2FS040,S285,NW2-C_registry_gate:RV2SP020,https://www.pref.okinawa.lg.jp/shigoto/koyorodo/1012030/1012056.html,snapshot_rolling_official_page;domain_archive_history_has_material_failure_share,"Open/fetch the final URL, confirm displayed title/date/locator and content type, and record the archive outcome. A failed archive may retain a provisional S ID but cannot support formal claim use.",no
NW2FW009,NW2FS043,S288,NW2-C_registry_gate:RV2SP023,https://kokkai.ndl.go.jp/simple/detail?minId=121315359X00520240524,verify_dynamic_query_page_and_final_url,"Open/fetch the final URL, confirm displayed title/date/locator and content type, and record the archive outcome. A failed archive may retain a provisional S ID but cannot support formal claim use.",no
NW2FW010,NW2FS045,S290,NW2-C_registry_gate:RV2SP025,https://yaimatime.com/schedule/archive/2302/12/23,verify_unusual_archive_path_against_displayed_event_date,"Open/fetch the final URL, confirm displayed title/date/locator and content type, and record the archive outcome. A failed archive may retain a provisional S ID but cannot support formal claim use.",no
NW2FW011,NW2FS049,S294,NW2-C_registry_gate:RV2SP029,https://researchmap.jp/teppy/presentations/10378736/attachment_file.pdf,verify_attachment_date_and_parent_presentation_metadata,"Open/fetch the final URL, confirm displayed title/date/locator and content type, and record the archive outcome. A failed archive may retain a provisional S ID but cannot support formal claim use.",no
