edge_id,source_actor_id,target_actor_id,relation_type,event_or_program,place,evidence_level,funding_relation_confidence,source_ref,review_status,needs_local_retrieval,notes,human_decision,review_task_id,human_reviewer,review_date,review_scope,reviewed_fields,claim_status,confirmed_scope,missing_scope,graph_eligibility,source_role,target_role,amount,currency,amount_semantics,event_date,publication_date,interpretation_limit
F001,X002,X001,donation,Phoenix Park Hotel donation to USO Okinawa,Okinawa,E4,confirmed_sponsorship,X002,ai_seeded,no,Source reports JPY 1000000 donation.,,,,,,,,,,,,,,,,,,
F002,X003,X001,sponsorship,AEC longstanding USO Okinawa corporate sponsor,Okinawa,E4,confirmed_sponsorship,S097;S098,human_checked,no,LR-T1B: AEC (Silver sponsor) 52-year partner; built USO Camp Schwab center (2022) and Indo-Pacific office relocation; latest 16000 USD donation (Stripes S098).,,,,,,,,,,,,,,,,,,
F003,X001,P006,site_presence,USO Okinawa base center,Camp Schwab,E3,confirmed_service_role,X001,ai_seeded,yes,Service presence; not funding.,,,,,,,,,,,,,,,,,,
F004,X001,P007,site_presence,USO Okinawa/related service ecosystem,Camp Foster,E3,confirmed_service_role,X001,ai_seeded,yes,Service presence; exact center/program needs source refinement.,,,,,,,,,,,,,,,,,,
F005,X001,P005,site_presence,USO Okinawa Kadena presence,Kadena,E3,confirmed_service_role,X001,ai_seeded,yes,Service presence; exact center/program needs source refinement.,,,,,,,,,,,,,,,,,,
F006,X004,X005,network_membership,NOSCO as AWWA member club,Okinawa bases,E4,not_funding_relation,S041;S055;S072,human_checked,no,HR-005: upgraded from coordination to membership; proves umbrella/member structure only and not specific recipient funding.,accept,HR-033,project_principal_user,2026-07-20,endpoint_identity;relation_existence;direction;time_period;interpretation_boundary,source_actor_id;target_actor_id;relation_type;source_role;target_role;source_ref;evidence_level;date_or_period;interpretation_limit,supported,AWWA is an umbrella coordination association and NOSCO is a named member club; the relation is visible in 2012 material and the current NOSCO page.,"Formal charter terms, legal control, and exact effective or termination dates were not reviewed.",dyadic_relation,umbrella_coordination_association,member_club,,,not_applicable_membership,,,"The structural arrow does not show control, funding, political alliance, common policy position, or influence direction; this row does not establish a current fixed total of five clubs."
F007,X004,X006,network_membership,KOSC as AWWA member club,Okinawa bases,E4,not_funding_relation,S041;S055;S072;S075,human_checked,no,HR-005: upgraded from coordination to membership; proves umbrella/member structure only and not specific recipient funding.,accept,HR-033,project_principal_user,2026-07-20,endpoint_identity;relation_existence;direction;time_period;interpretation_boundary,source_actor_id;target_actor_id;relation_type;source_role;target_role;source_ref;evidence_level;date_or_period;interpretation_limit,supported,AWWA is an umbrella coordination association and KOSC is a named member club or participating club.,"Formal charter terms, representative-seat count, and exact membership period were not reviewed.",dyadic_relation,umbrella_coordination_association,member_club,,,not_applicable_membership,,,Membership is not funding; KOSC→AWWA financial contribution is separately encoded in F025; this relation does not show political alliance or control.
F008,X004,X007,duplicate_replaced_by_F022,OESC as AWWA member club duplicate,Okinawa bases,E0,not_funding_relation,S041;S055,rejected,no,HR-005: duplicate of F022; do not use. F022 remains sole X004-X007 membership edge.,,,,,,,,,,,,,,,,,,
F009,X008,P007,service,Red Cross volunteer program,U.S. Naval Hospital Okinawa / Camp Foster,E4,confirmed_service_role,X008,ai_seeded,no,Service role confirmed by official military health page.,,,,,,,,,,,,,,,,,,
F010,X009,P007,service,Emergency assistance / relief society office,Camp Foster,E4,confirmed_service_role,X009,ai_seeded,no,Service role confirmed by Military OneSource.,,,,,,,,,,,,,,,,,,
F011,X010,X011,event_collaboration,ONC and JICA Okinawa international-cooperation festival collaboration,Okinawa,E4,confirmed_collaboration,S095;X011,human_checked,no,MT-006: JICA Okinawa pages list ONC; event/organizational collaboration on the international-cooperation festival not a funding chain; administrative not movement network.,,,,,,,,,,,,,,,,,,
F012,X013,unknown_recipient,grant_opportunity,Okinawa Youth Council Program,Okinawa,E4,no_public_evidence,S056;S082;S083;S084,needs_local_retrieval,yes,HR-007: opportunity/NOFO exists and closed 2024-04-15 but no public award or recipient found; maintain no_public_evidence and do not infer funding to any Okinawa NGO. TOFU is a separate Naha/JICE project.,,,,,,,,,,,,,,,,,,
F013,A047,A019,co_presence_lead,Peace Movement Center and Henoko protest field co-presence lead,Henoko; Okinawa,E2,not_funding_relation,S031,needs_second_source,yes,HR-004: downgrade from coordination; S031 is inferred/insufficient for named A047-A019 coordination. Do not use as stable coordination edge without direct source naming both actors.,,,,,,,,,,,,,,,,,,
F014,A047,A048,coordination,Peace Movement Center and anti-war landowner coordination,Okinawa,E3,not_funding_relation,S031,ai_seeded,no,Movement coordination relation.,,,,,,,,,,,,,,,,,,
F015,A059,A047,coordination,All-island conference and Peace Movement Center coordination,Okinawa,E3,not_funding_relation,S029;S031,ai_seeded,yes,Verify specific coordination mechanism.,,,,,,,,,,,,,,,,,,
F016,A066,A050,partnership,ND and Okinawa Bar Association joint policy events,Okinawa; Tokyo,E3,not_funding_relation,S032,ai_seeded,yes,Verify specific joint activities.,,,,,,,,,,,,,,,,,,
