scenario_id,scenario_label,scenario_family,paired_group,dropped_source_ids,dropped_actor_ids,evidence_gate,edge_count,observed_actor_count,remaining_registry_actor_count,registry_isolated_actor_count,issue_count,cross_frame_actor_count,ecology_international_bridge_count,ecology_base_bridge_count,legal_base_bridge_count,component_count,largest_component_actor_count,largest_component_total_node_count,edge_retention_pct,actor_retention_pct,retention_reference,selection_rule,source_host_mapping_status,research_status,display_tier,claim_status,review_status,interpretation_limit
BASE_CURRENT_ACTIVE_ALL,"Current active edges, all evidence levels",baseline,,,,all_current,238,103,121,18,26,67,9,17,8,4,88,110,100.0,100.0,BASE_CURRENT_ACTIVE_ALL,analysis_inclusion=active; no evidence-level restriction,not_applicable,research_only,research,candidate,ai_seeded,"Research-only sensitivity of documented actor-issue visibility; it does not establish social-network centrality, alliance, influence, activity strength, organizational lifespan, or a causal documentation effect."
BASE_CURRENT_E3PLUS,Current active E3/E4 baseline,baseline,,,,E3;E4,234,101,121,20,26,65,9,17,8,4,86,108,100.0,100.0,BASE_CURRENT_E3PLUS,analysis_inclusion=active and evidence_level in E3/E4,not_applicable,research_only,research,candidate,ai_seeded,"Research-only sensitivity of documented actor-issue visibility; it does not establish social-network centrality, alliance, influence, activity strength, organizational lifespan, or a causal documentation effect."
SOURCE_DROP_S003,Remove support exhausted by S003,source_support_deletion,S003_A005,S003,,E3;E4,227,97,121,24,26,64,9,16,8,4,82,104,97.0,96.0,BASE_CURRENT_E3PLUS,remove edge only if every stated source_ref is in S003,proposal_not_human_reviewed,research_only,research,candidate,ai_seeded,"Research-only sensitivity of documented actor-issue visibility; it does not establish social-network centrality, alliance, influence, activity strength, organizational lifespan, or a causal documentation effect."
SOURCE_DROP_S004,Remove support exhausted by S004,source_support_deletion,S004_A004,S004,,E3;E4,193,76,121,45,26,52,5,11,8,4,61,83,82.5,75.2,BASE_CURRENT_E3PLUS,remove edge only if every stated source_ref is in S004,proposal_not_human_reviewed,research_only,research,candidate,ai_seeded,"Research-only sensitivity of documented actor-issue visibility; it does not establish social-network centrality, alliance, influence, activity strength, organizational lifespan, or a causal documentation effect."
SOURCE_DROP_S006,Remove support exhausted by S006,source_support_deletion,S006_A001,S006,,E3;E4,234,101,121,20,26,65,9,17,8,4,86,108,100.0,100.0,BASE_CURRENT_E3PLUS,remove edge only if every stated source_ref is in S006,proposal_not_human_reviewed,research_only,research,candidate,ai_seeded,"Research-only sensitivity of documented actor-issue visibility; it does not establish social-network centrality, alliance, influence, activity strength, organizational lifespan, or a causal documentation effect."
SOURCE_DROP_BIG3,Remove support exhausted by S003/S004/S006,source_support_deletion,BIG3,S003;S004;S006,,E3;E4,185,71,121,50,26,51,5,10,8,4,56,78,79.1,70.3,BASE_CURRENT_E3PLUS,remove edge only if every stated source_ref is in S003/S004/S006,proposal_not_human_reviewed,research_only,research,candidate,ai_seeded,"Research-only sensitivity of documented actor-issue visibility; it does not establish social-network centrality, alliance, influence, activity strength, organizational lifespan, or a causal documentation effect."
ACTOR_DROP_A005,Remove actor node A005,actor_node_deletion,S003_A005,,A005,E3;E4,232,100,120,20,26,65,9,17,8,4,85,107,99.1,99.0,BASE_CURRENT_E3PLUS,remove actor endpoint A005; retain all other stated support,not_applicable_to_node_deletion,research_only,research,candidate,ai_seeded,"Research-only sensitivity of documented actor-issue visibility; it does not establish social-network centrality, alliance, influence, activity strength, organizational lifespan, or a causal documentation effect."
ACTOR_DROP_A004,Remove actor node A004,actor_node_deletion,S004_A004,,A004,E3;E4,232,100,120,20,26,64,9,16,8,4,85,107,99.1,99.0,BASE_CURRENT_E3PLUS,remove actor endpoint A004; retain all other stated support,not_applicable_to_node_deletion,research_only,research,candidate,ai_seeded,"Research-only sensitivity of documented actor-issue visibility; it does not establish social-network centrality, alliance, influence, activity strength, organizational lifespan, or a causal documentation effect."
ACTOR_DROP_A001,Remove actor node A001,actor_node_deletion,S006_A001,,A001,E3;E4,231,100,120,20,26,64,8,16,8,4,85,107,98.7,99.0,BASE_CURRENT_E3PLUS,remove actor endpoint A001; retain all other stated support,not_applicable_to_node_deletion,research_only,research,candidate,ai_seeded,"Research-only sensitivity of documented actor-issue visibility; it does not establish social-network centrality, alliance, influence, activity strength, organizational lifespan, or a causal documentation effect."
ACTOR_DROP_BIG3,Remove actor nodes A001/A004/A005,actor_node_deletion,BIG3,,A001;A004;A005,E3;E4,227,98,118,20,26,63,8,15,8,4,83,105,97.0,97.0,BASE_CURRENT_E3PLUS,remove actor endpoints A001/A004/A005; retain all other stated support,not_applicable_to_node_deletion,research_only,research,candidate,ai_seeded,"Research-only sensitivity of documented actor-issue visibility; it does not establish social-network centrality, alliance, influence, activity strength, organizational lifespan, or a causal documentation effect."
