review_item_id,task_id,batch_id,workstream,batch_order,edge_id,actor_id,actor_name,issue_id,issue_label,relation_basis,evidence_level_current,review_status_current,source_ref,source_titles,source_urls,source_archive_paths,source_archive_statuses,existing_scope_kind,existing_scope_claim_status,existing_scope_approved_formulation,existing_scope_boundary,existing_scope_decision_source_report,attention_flag,precise_fact_question,required_review_scope,allowed_decisions,human_decision,revised_review_status,evidence_level_final,approved_formulation,review_scope_final,reviewed_fields,claim_status,confirmed_scope,missing_scope,interpretation_limit,scope_revision_required,human_reviewer,review_date,review_note
HR035-B01-AI021,HR-035,B01_case_referendum_procedure,factual_actor_issue_review,1,AI021,A009,Earthjustice,I012,international_advocacy,U.S. legal NGO involvement,E4,ai_seeded,S009,S009 Earthjustice dugong litigation explainer,https://earthjustice.org/article/fighting-to-protect-the-dugongs-of-japan-s-henoko-bay,source_docs\source_archive\S009\raw.html,S009:archived,institutional_or_case_role,supported_bounded,严格限于冲绳儒艮案的美国法律渠道；Earthjustice 是律师，不是原告,A009 Earthjustice—international_advocacy；按已批时间／案件／事件边界解释；共同出现不生成联盟，风险主张不升级为已证因果。,docs/human_review_return_HR019_edge_scope_batch11_v1.md,只审儒艮案中的美国法律渠道；Earthjustice 是 counsel，不是 plaintiff。,现有来源是否足以确认 Earthjustice 与 international_advocacy 的关系，且只支持到既有范围：严格限于冲绳儒艮案的美国法律渠道；Earthjustice 是律师，不是原告？,relation_existence;interpretation_boundary,accept;revise;defer_second_source;defer_local;reject,,,,,,,,,,,,,,
HR035-B01-AI025,HR-035,B01_case_referendum_procedure,factual_actor_issue_review,2,AI025,A011,石垣市住民投票を求める会,I010,referendum,Ishigaki referendum campaign,E4,ai_seeded,S018;S019,S018 石垣市 住民投票条例案 市議会で否決 || S019 有効署名１万４千筆超　２０日に条例制定請求　住民投票、来月の議会で審議　石垣陸自配備,https://www.qab.co.jp/news/20190202110874.html || https://www.yaeyama-nippo.co.jp/archives/4232,source_docs\source_archive\S018\raw.html || source_docs\source_archive\S019\raw.html,S018:archived || S019:archived,institutional_or_case_role,supported_bounded,住民投票直接请求及后续程序的核心角色，不是无限期组织定位,A011 石垣市住民投票を求める会—referendum；按已批时间／案件／事件边界解释；共同出现不生成联盟，风险主张不升级为已证因果。,docs/human_review_return_HR019_edge_scope_batch11_v1.md,只审石垣住民投票请求／程序角色；requester 不等于诉讼 plaintiff。,现有来源是否足以确认 石垣市住民投票を求める会 与 referendum 的关系，且只支持到既有范围：住民投票直接请求及后续程序的核心角色，不是无限期组织定位？,relation_existence;interpretation_boundary,accept;revise;defer_second_source;defer_local;reject,,,,,,,,,,,,,,
HR035-B01-AI027,HR-035,B01_case_referendum_procedure,factual_actor_issue_review,3,AI027,A011,石垣市住民投票を求める会,I002,anti_military,Referendum on JSDF deployment,E4,ai_seeded,S018;S019,S018 石垣市 住民投票条例案 市議会で否決 || S019 有効署名１万４千筆超　２０日に条例制定請求　住民投票、来月の議会で審議　石垣陸自配備,https://www.qab.co.jp/news/20190202110874.html || https://www.yaeyama-nippo.co.jp/archives/4232,source_docs\source_archive\S018\raw.html || source_docs\source_archive\S019\raw.html,S018:archived || S019:archived,institutional_or_case_role,supported_bounded,仅限该公投程序所针对的石垣陆自部署，不泛化为所有反军事议题,A011—anti_military；按已批时间／案件／事件边界解释；共同出现不生成联盟，风险主张不升级为已证因果。,docs/human_review_return_HR019_edge_scope_batch11_v1.md,只审石垣陆自部署公投语境，不外推为一般性反军事定位。,现有来源是否足以确认 石垣市住民投票を求める会 与 anti_military 的关系，且只支持到既有范围：仅限该公投程序所针对的石垣陆自部署，不泛化为所有反军事议题？,relation_existence;interpretation_boundary,accept;revise;defer_second_source;defer_local;reject,,,,,,,,,,,,,,
HR035-B01-AI048,HR-035,B01_case_referendum_procedure,factual_actor_issue_review,4,AI048,A020,日本環境法律家連盟（JELF）,I011,legal,JELF legal/environmental channel,E4,ai_seeded,S006;S007,S006 OEJP 71 organizations MMC request || S007 The Plight of the Okinawa Dugong,https://okinawaejp.blogspot.com/2020/07/ || https://apjjf.org/2020/16/yoshikawaoejp,source_docs\source_archive\S006\raw.html || source_docs/source_archive/S007/raw.pdf,S006:archived || S007:manual_archived,institutional_or_case_role,supported_bounded,冲绳议题中的法律角色须逐案确定，不由律师组织身份无限外推,A020 JELF—legal；按已批时间／案件／事件边界解释；共同出现不生成联盟，风险主张不升级为已证因果。,docs/human_review_return_HR019_edge_scope_batch11_v1.md,JELF 角色逐案变化：Dugong 案为 plaintiff，泡瀬材料中为 supporter／host。,现有来源是否足以确认 日本環境法律家連盟（JELF） 与 legal 的关系，且只支持到既有范围：冲绳议题中的法律角色须逐案确定，不由律师组织身份无限外推？,relation_existence;interpretation_boundary,accept;revise;defer_second_source;defer_local;reject,,,,,,,,,,,,,,
HR035-B01-AI049,HR-035,B01_case_referendum_procedure,factual_actor_issue_review,5,AI049,A020,日本環境法律家連盟（JELF）,I005,biodiversity,Environmental law/dugong report context,E4,ai_seeded,S006;S007,S006 OEJP 71 organizations MMC request || S007 The Plight of the Okinawa Dugong,https://okinawaejp.blogspot.com/2020/07/ || https://apjjf.org/2020/16/yoshikawaoejp,source_docs\source_archive\S006\raw.html || source_docs/source_archive/S007/raw.pdf,S006:archived || S007:manual_archived,event_specific,supported_bounded,当前 S006/S007 只闭合 2020 MMC 儒艮请求／报告语境，不能支撑一般长期 biodiversity 定位,A020—biodiversity；按已批时间／案件／事件边界解释；共同出现不生成联盟，风险主张不升级为已证因果。,docs/human_review_return_HR019_edge_scope_batch11_v1.md,现有材料最多支持 2020 MMC 事件语境，不支持长期 biodiversity 定位。,现有来源是否足以确认 日本環境法律家連盟（JELF） 与 biodiversity 的关系，且只支持到既有范围：当前 S006/S007 只闭合 2020 MMC 儒艮请求／报告语境，不能支撑一般长期 biodiversity 定位？,relation_existence;interpretation_boundary,accept;revise;defer_second_source;defer_local;reject,,,,,,,,,,,,,,
HR035-B01-AI050,HR-035,B01_case_referendum_procedure,factual_actor_issue_review,6,AI050,A020,日本環境法律家連盟（JELF）,I004,dugong,JELF/OEJP dugong report context,E4,ai_seeded,S006;S007,S006 OEJP 71 organizations MMC request || S007 The Plight of the Okinawa Dugong,https://okinawaejp.blogspot.com/2020/07/ || https://apjjf.org/2020/16/yoshikawaoejp,source_docs\source_archive\S006\raw.html || source_docs/source_archive/S007/raw.pdf,S006:archived || S007:manual_archived,institutional_or_case_role,supported_bounded,以冲绳儒艮案具名原告角色为主；2020 MMC 共同请求是另一个事件，不是联盟,A020—dugong；按已批时间／案件／事件边界解释；共同出现不生成联盟，风险主张不升级为已证因果。,docs/human_review_return_HR019_edge_scope_batch11_v1.md,Dugong 诉讼角色与 2020 MMC 请求是两个事件，不得合并成稳定联盟。,现有来源是否足以确认 日本環境法律家連盟（JELF） 与 dugong 的关系，且只支持到既有范围：以冲绳儒艮案具名原告角色为主；2020 MMC 共同请求是另一个事件，不是联盟？,relation_existence;interpretation_boundary,accept;revise;defer_second_source;defer_local;reject,,,,,,,,,,,,,,
HR035-B01-AI106,HR-035,B01_case_referendum_procedure,factual_actor_issue_review,7,AI106,A045,Center for Biological Diversity,I011,legal,Center for Biological Diversity legal/environmental actor,E4,ai_seeded,S004,S004 辺野古の海を守れ NGO 31団体が緊急共同声明,https://www.nacsj.or.jp/statement/50827/,source_docs\source_archive\S004\raw.html,S004:archived,institutional_or_case_role,supported_bounded,严格限于冲绳儒艮案具名组织原告角色,A045 Center for Biological Diversity—legal；按已批时间／案件／事件边界解释；共同出现不生成联盟，风险主张不升级为已证因果。,docs/human_review_return_HR019_edge_scope_batch12_v1.md,当前 source_ref=S004 不足以单独证明诉讼法律角色；须核 R8C01 caption 并修订来源。,现有来源是否足以确认 Center for Biological Diversity 与 legal 的关系，且只支持到既有范围：严格限于冲绳儒艮案具名组织原告角色？,relation_existence;interpretation_boundary,accept;revise;defer_second_source;defer_local;reject,,,,,,,,,,,,,,
HR035-B01-AI126,HR-035,B01_case_referendum_procedure,factual_actor_issue_review,8,AI126,A051,「辺野古」県民投票の会,I003,Henoko,Referendum specifically about Henoko base,E4,ai_seeded,S025,S025 辺野古米軍基地建設のための埋立ての賛否を問う県民投票 結果,https://www.city.nago.okinawa.jp/kurashi/2019020300029/,source_docs\source_archive\S025\raw.html,S025:archived,institutional_or_case_role,supported_bounded,严格限于 2018–2019 边野古填海县民投票过程；组织已解散,A051 「辺野古」県民投票の会—Henoko；按已批时间／案件／事件边界解释；共同出现不生成联盟，风险主张不升级为已证因果。,docs/human_review_return_HR019_edge_scope_batch12_v1.md,限定 2018–2019 辺野古县民投票；临时组织的解散／存续不得省略。,现有来源是否足以确认 「辺野古」県民投票の会 与 Henoko 的关系，且只支持到既有范围：严格限于 2018–2019 边野古填海县民投票过程；组织已解散？,relation_existence;interpretation_boundary,accept;revise;defer_second_source;defer_local;reject,,,,,,,,,,,,,,
HR035-B01-AI127,HR-035,B01_case_referendum_procedure,factual_actor_issue_review,9,AI127,A051,「辺野古」県民投票の会,I009,local_autonomy,Local self-determination via referendum,E4,ai_seeded,S025,S025 辺野古米軍基地建設のための埋立ての賛否を問う県民投票 結果,https://www.city.nago.okinawa.jp/kurashi/2019020300029/,source_docs\source_archive\S025\raw.html,S025:archived,institutional_or_case_role,supported_bounded,地方自治通过直接请求／县民投票程序表达，不是无限期一般自治组织,A051—local_autonomy；按已批时间／案件／事件边界解释；共同出现不生成联盟，风险主张不升级为已证因果。,docs/human_review_return_HR019_edge_scope_batch12_v1.md,地方自治只通过该次直接请求／投票程序表达，不是无限期组织定位。,现有来源是否足以确认 「辺野古」県民投票の会 与 local_autonomy 的关系，且只支持到既有范围：地方自治通过直接请求／县民投票程序表达，不是无限期一般自治组织？,relation_existence;interpretation_boundary,accept;revise;defer_second_source;defer_local;reject,,,,,,,,,,,,,,
HR035-B01-AI129,HR-035,B01_case_referendum_procedure,factual_actor_issue_review,10,AI129,A052,嘉手納基地爆音差止訴訟原告団,I007,life_safety,Noise damage and daily life impact,E4,ai_seeded,S026,S026 嘉手納爆音訴訟 第三次 那覇地裁沖縄支部判決,https://www.qab.co.jp/news/2017022388152.html,source_docs\source_archive\S026\raw.html,S026:archived,institutional_or_case_role,supported_bounded,噪音、睡眠与日常生活损害进入各轮诉讼；轮次成员不得假定相同,A052 嘉手纳爆音诉讼原告团—life_safety；按已批时间／案件／事件边界解释；共同出现不生成联盟，风险主张不升级为已证因果。,docs/human_review_return_HR019_edge_scope_batch12_v1.md,限定嘉手纳各轮噪音诉讼；认赔不等于运行停止或差止获准。,现有来源是否足以确认 嘉手納基地爆音差止訴訟原告団 与 life_safety 的关系，且只支持到既有范围：噪音、睡眠与日常生活损害进入各轮诉讼；轮次成员不得假定相同？,relation_existence;interpretation_boundary,accept;revise;defer_second_source;defer_local;reject,,,,,,,,,,,,,,
