review_sensitivity_id,subset,actor_count,actor_issue_layer,edge_count_in_subset,x_measure,y_measure,spearman_rho,diagnostic_role,layer_review_boundary,proxy_boundary,crosswalk_boundary,research_status,display_tier,claim_status,review_status,frontend_eligibility,interpretation_limit
H1R001,all_current_actors,121,active_238,238,linked_source_count,active_actor_issue_degree,0.331,construction_diagnostic,65 reviewed + 173 candidate edges,includes sources used by the actor-issue outcome,9 unresolved legacy-token actors retained,research_only,research,candidate,ai_seeded,not_frontend_ready,"Review-layer sensitivity of the encoded actor--issue object only; neither proxy measures staff capacity, and review selection is endogenous."
H1R002,all_current_actors,121,active_238,238,registry_source_count,active_actor_issue_degree,0.284,primary_registry_proxy,65 reviewed + 173 candidate edges,identity-layer S-source refs only,9 unresolved legacy-token actors retained,research_only,research,candidate,ai_seeded,not_frontend_ready,"Review-layer sensitivity of the encoded actor--issue object only; neither proxy measures staff capacity, and review selection is endogenous."
H1R003,all_current_actors,121,active_238,238,non_issue_linked_source_count,active_actor_issue_degree,-0.135,primary_outcome_excluded_proxy,65 reviewed + 173 candidate edges,all linked S-sources minus actor-issue support sources,9 unresolved legacy-token actors retained,research_only,research,candidate,ai_seeded,not_frontend_ready,"Review-layer sensitivity of the encoded actor--issue object only; neither proxy measures staff capacity, and review selection is endogenous."
H1R004,all_current_actors,121,reviewed_65,65,linked_source_count,reviewed_actor_issue_degree,0.547,construction_diagnostic,61 human_checked + 4 human_revised edges,includes sources used by the actor-issue outcome,9 unresolved legacy-token actors retained,research_only,research,candidate,ai_seeded,not_frontend_ready,"Review-layer sensitivity of the encoded actor--issue object only; neither proxy measures staff capacity, and review selection is endogenous."
H1R005,all_current_actors,121,reviewed_65,65,registry_source_count,reviewed_actor_issue_degree,0.509,primary_registry_proxy,61 human_checked + 4 human_revised edges,identity-layer S-source refs only,9 unresolved legacy-token actors retained,research_only,research,candidate,ai_seeded,not_frontend_ready,"Review-layer sensitivity of the encoded actor--issue object only; neither proxy measures staff capacity, and review selection is endogenous."
H1R006,all_current_actors,121,reviewed_65,65,non_issue_linked_source_count,reviewed_actor_issue_degree,0.265,primary_outcome_excluded_proxy,61 human_checked + 4 human_revised edges,all linked S-sources minus actor-issue support sources,9 unresolved legacy-token actors retained,research_only,research,candidate,ai_seeded,not_frontend_ready,"Review-layer sensitivity of the encoded actor--issue object only; neither proxy measures staff capacity, and review selection is endogenous."
H1R007,all_current_actors,121,candidate_173,173,linked_source_count,candidate_actor_issue_degree,-0.112,construction_diagnostic,143 ai_seeded + 25 needs_second_source + 5 needs_local_retrieval edges,includes sources used by the actor-issue outcome,9 unresolved legacy-token actors retained,research_only,research,candidate,ai_seeded,not_frontend_ready,"Review-layer sensitivity of the encoded actor--issue object only; neither proxy measures staff capacity, and review selection is endogenous."
H1R008,all_current_actors,121,candidate_173,173,registry_source_count,candidate_actor_issue_degree,-0.145,primary_registry_proxy,143 ai_seeded + 25 needs_second_source + 5 needs_local_retrieval edges,identity-layer S-source refs only,9 unresolved legacy-token actors retained,research_only,research,candidate,ai_seeded,not_frontend_ready,"Review-layer sensitivity of the encoded actor--issue object only; neither proxy measures staff capacity, and review selection is endogenous."
H1R009,all_current_actors,121,candidate_173,173,non_issue_linked_source_count,candidate_actor_issue_degree,-0.313,primary_outcome_excluded_proxy,143 ai_seeded + 25 needs_second_source + 5 needs_local_retrieval edges,all linked S-sources minus actor-issue support sources,9 unresolved legacy-token actors retained,research_only,research,candidate,ai_seeded,not_frontend_ready,"Review-layer sensitivity of the encoded actor--issue object only; neither proxy measures staff capacity, and review selection is endogenous."
H1R010,resolved_reference_actors_only,112,active_238,228,linked_source_count,active_actor_issue_degree,0.313,construction_diagnostic,65 reviewed + 173 candidate edges,includes sources used by the actor-issue outcome,9 unresolved legacy-token actors excluded,research_only,research,candidate,ai_seeded,not_frontend_ready,"Review-layer sensitivity of the encoded actor--issue object only; neither proxy measures staff capacity, and review selection is endogenous."
