partner_display_label_id,partner_name_display_alias_machine,official_mechanism_code,official_mechanism_label,source_row_count,raw_source_literal_variant_count,department_count,department_names,issue_field_codes,source_row_numbers,edge_semantics,identity_status,human_gate,interpretation_limit
S002PL009,公益財団法人沖縄県平和祈念財団,1,委託,1,1,1,知事公室,10,9,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL010,特定非営利活動法人沖縄平和協力センター,1,委託,1,1,1,教育庁,11,501,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL011,一般社団法人宮古島観光協会,1,委託,1,1,1,総務部,4,12,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL013,社会福祉法人みやこ福祉会,1,委託,4,2,3,土木建築部;生活福祉部;総務部,4;7;17,14;135;486;489,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL014,宇堅福祉会,1,委託,1,1,1,総務部,7,15,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL015,(一社)八重山ビジターズビューロー,1,委託,1,1,1,総務部,4,16,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL017,公益社団法人石垣市シルバー人材センター,1,委託,2,1,1,総務部,7,19;20,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL018,NPO法人キャリエイト,1,委託,1,1,1,企画部,5,21,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL019,公益社団法人沖縄県不動産鑑定士協会,1,委託,1,1,1,企画部,16,22,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL020,公益財団法人沖縄県建設技術センター,1,委託,7,2,2,企画部;土木建築部,3;7;14;16,26;441;442;443;478;479;480,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL021,公益財団法人沖縄科学技術振興センター,1,委託,1,1,1,商工労働部,16,348,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL026,一般財団法人沖縄県公衆衛生協会,1,委託,1,1,1,環境部,7,40,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL027,公益社団法人沖縄県緑化推進委員会,1,委託,9,3,2,土木建築部;環境部,4;7;19,37;38;39;458;470;477;481;488;490,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL029,一般社団法人沖縄リサイクル運動市民の会,1,委託,1,1,1,環境部,7,43,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL038,どうぶつたちの病院沖縄・南西環境研究所・野生鳥獣対策連携センター共同企業体,1,委託,1,1,1,環境部,7,52,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL039,公益社団法人沖縄県獣医師会,1,委託,1,1,1,環境部,7,53,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
S002PL040,NPO法人どうぶつたちの病院沖縄,1,委託,1,1,1,環境部,7,54,source_label_x_official_mechanism_cooccurrence,machine_display_alias_only_not_actor_identity,none_for_source_label_aggregation__HR032_only_for_identity_or_member_crosswalk,"Bimode edge is an aggregation of official table rows, not an approved actor-resource relation."
