receipt_id,publisher,title,source_family,url,retrieved_at,artifact_path,sha256,mime_type,exact_locator,supports_anchor_ids,archive_status,notes
W2B-SR001,United Service Organizations,"Financial Statements",official_website,https://www.uso.org/about/financial-statements,2026-08-21T17:37:10Z,outputs/us_presence_network_wave2_w2_00_uso_v1/artifacts/uso_financial_statements_index.html,70ecdd3fb6b1388eb1016b1012dab22feb5b7f8358768fe4f121c3685b73a338,text/html,"2024 section: links to 2024 Form 990 and 2024 Financial Statement",,local_frozen_research_only,"Provenance index for the two official financial downloads; no central S-ID assigned."
W2B-SR002,United Service Organizations,"United Service Organizations, Inc. Consolidated Financial Statements and Independent Auditor's Report, December 31, 2024",official_audited_financial_statement,https://www.uso.org/document/513,2026-08-21T17:36:46Z,outputs/us_presence_network_wave2_w2_00_uso_v1/artifacts/uso_2024_financial_statement.pdf,7506d5d27ca7bf6cc513ccf0b2250062c966743c59f08eda33bffce767024021,application/pdf,"PDF pp.5-8; especially p.6 Consolidated Statement of Activities and p.8 Functional Expenses",W2B-A001;W2B-A002;W2B-A003;W2B-A004;W2B-A005,local_frozen_research_only,"Grant Thornton audited consolidated statement; figures are in thousands in the source."
W2B-SR003,United Service Organizations,"2024 Form 990 with USO 2024 Financial Report wrapper",official_tax_filing,https://www.uso.org/document/591,2026-08-21T17:36:55Z,outputs/us_presence_network_wave2_w2_00_uso_v1/artifacts/uso_2024_form990.pdf,6967386faab0a47e249305e12bf824e6c393094757f7fae8db3f9660505a21b3,application/pdf,"Wrapper pp.2-6; IRS Form 990 begins PDF p.7; Part I p.7; Part IX p.18",W2B-A001;W2B-A003;W2B-A004;W2B-A006;W2B-A007;W2B-A008;W2B-A009;W2B-A010;W2B-A011;W2B-A012;W2B-A013,local_frozen_research_only,"The first six pages are USO's financial-report wrapper. The IRS return has a narrower entity/reporting perimeter than the consolidated statement."
W2B-SR004,United Service Organizations,"2024 Global Impact Report",official_impact_report,https://myimpact.uso.org/wp-content/uploads/sites/95/2025/08/USO-Impact-Report.pdf,2026-08-21T17:37:09Z,outputs/us_presence_network_wave2_w2_00_uso_v1/artifacts/uso_2024_global_impact_report.pdf,94496574e12fc77c3fdc62058f98ab46deb0e868075ac1f2fa39a7431daa581b,application/pdf,"PDF pp.12-14: operations, 2024 metrics and five-region structure",W2B-A010;W2B-A011;W2B-A012;W2B-A013;W2B-A014,local_frozen_research_only,"Impact counts are organization-reported program metrics, not audited financial indicators."
W2B-SR005,USAspending.gov,"Award overview API: ASST_NON_HQ00342310002_097",official_federal_award_api,https://api.usaspending.gov/api/v2/awards/ASST_NON_HQ00342310002_097/,2026-08-21T17:38:16Z,outputs/us_presence_network_wave2_w2_00_uso_v1/artifacts/usaspending_award_overview.json,0fb07fc3ffcfad1720c4158293718da4ac74c4d5848bbda15c990e46686024d1,application/json,"JSON root; exact JSON paths are recorded in anchor_candidates_v1.csv",W2B-A021;W2B-A022;W2B-A023;W2B-A024;W2B-A025;W2B-A026;W2B-A027;W2B-A028;W2B-A030;W2B-A031;W2B-A032,local_frozen_research_only,"Official award API response; award-level fields and account-linked fields remain separately typed."
W2B-SR006,USAspending.gov,"Transaction history API response for ASST_NON_HQ00342310002_097",official_federal_award_api,https://api.usaspending.gov/api/v2/transactions/,2026-08-21T17:38:17Z,outputs/us_presence_network_wave2_w2_00_uso_v1/artifacts/usaspending_transactions_response.json,a59509475f7c0663024ec2321940b2b5463f6418761ef4c664fda018026dc21a,application/json,"POST request saved as artifacts/usaspending_transactions_request.json; response $.results",W2B-A024;W2B-A029;W2B-A032,local_frozen_research_only,"Five actions: three positive USD 24m obligations and two zero-dollar revisions."
W2B-SR007,USAspending.gov,"Bounded subaward search response for FAIN HQ00342310002",official_federal_award_api,https://api.usaspending.gov/api/v2/search/spending_by_award/,2026-08-21T17:38:19Z,outputs/us_presence_network_wave2_w2_00_uso_v1/artifacts/usaspending_subawards_response.json,dfba40606c2c13eb717076624daa9b62107b189d753e76813d33ee626d6188a6,application/json,"POST request saved as artifacts/usaspending_subawards_request.json; response $.results and $.page_metadata",W2B-A028;W2B-A032,local_frozen_research_only,"Empty public result for the bounded search is not evidence of zero internal allocation or transfer."
W2B-SR008,United Service Organizations,"USO Okinawa homepage and location directory",official_website,https://okinawa.uso.org/,2026-08-21T17:37:17Z,outputs/us_presence_network_wave2_w2_00_uso_v1/artifacts/uso_okinawa_homepage.html,0ffbc5e4c629afffb9e841e6cbdc6cabf1eb4cebf4a1ea5c24488db373647ca3,text/html,"Locations section; Area Contact Information",W2B-A020;W2B-A032,local_frozen_research_only,"Snapshot lists eight presences: six operating centers named in SR009 plus an AMC terminal and an area office."
W2B-SR009,United Service Organizations,"Volunteer Spotlight: USO Okinawa",official_website,https://pacific.uso.org/stories/800,2026-08-21T17:37:19Z,outputs/us_presence_network_wave2_w2_00_uso_v1/artifacts/uso_pacific_volunteer_spotlight_okinawa.html,67c6f953d34844f08eea14e608e4c7e7fa999e1964c5d8bdbc0c65b3758506e1,text/html,"Published 2025-04-24; section 'USO Okinawa'",W2B-A016;W2B-A017;W2B-A018;W2B-A019,local_frozen_research_only,"Official narrative names the six operating centers and gives dated staff, served-population and volunteer counts."
W2B-SR010,United Service Organizations,"Scott P. Maskery, Regional Vice President",official_website,https://pacific.uso.org/about/scott-p-maskery-regional-vice-president,2026-08-21T17:37:21Z,outputs/us_presence_network_wave2_w2_00_uso_v1/artifacts/uso_pacific_regional_vp.html,72f42d9b71564a4e8d82ec3206bb4c51a416e3c540715427bb8aa0ab5f2f6042,text/html,"First biography paragraph",W2B-A015;W2B-A032,local_frozen_research_only,"Current page describes the Indo-Pacific scope as 24 centers in Alaska, Hawaii, Guam, mainland Japan, Okinawa and Korea."
W2B-SR011,United Service Organizations,"USO Japan homepage and location directory",official_website,https://japan.uso.org/,2026-08-21T17:37:31Z,outputs/us_presence_network_wave2_w2_00_uso_v1/artifacts/uso_japan_homepage.html,19a784265df99f9e1abdc6e9d0fd3f50256cc0f2ab9bc2efc731ab53c3b8d48b,text/html,"Site title; Locations section; Japan Area Office contact",,local_frozen_research_only,"Supports the sibling-area distinction between mainland USO Japan and USO Okinawa under the Indo-Pacific region."
