asset,old_row_count,current_row_count,row_content_equal,compatibility_status,impact,research_status,claim_status,review_status,frontend_eligibility,central_writeback,interpretation_limit
outputs/research_wave_h2_two_ecologies_v1/service_core_actors_v1.csv,9,9,yes,invariant,none,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Row equality is a deterministic package comparison, not human approval of identities, relations, or claims."
outputs/research_wave_h2_two_ecologies_v1/accountability_comparison_actors_v1.csv,65,77,no,recompute_required,high,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Row equality is a deterministic package comparison, not human approval of identities, relations, or claims."
outputs/research_wave_h2_two_ecologies_v1/issue_ecology_profile_v1.csv,24,25,no,recompute_required,high,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Row equality is a deterministic package comparison, not human approval of identities, relations, or claims."
outputs/research_wave_h2_two_ecologies_v1/dyadic_relation_ecology_audit_v1.csv,22,22,no,recompute_required,medium,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Row equality is a deterministic package comparison, not human approval of identities, relations, or claims."
outputs/research_wave_h2_two_ecologies_v1/case_role_ecology_audit_v1.csv,27,27,yes,invariant,none,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Row equality is a deterministic package comparison, not human approval of identities, relations, or claims."
outputs/research_wave_h2_two_ecologies_v1/typed_event_ecology_audit_v1.csv,4,4,yes,invariant,none,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Row equality is a deterministic package comparison, not human approval of identities, relations, or claims."
outputs/research_wave_h2_two_ecologies_v1/r10_interface_audit_v1.csv,35,35,no,recompute_required,medium,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Row equality is a deterministic package comparison, not human approval of identities, relations, or claims."
outputs/research_wave_h2_two_ecologies_v1/place_overlap_v1.csv,17,17,no,recompute_required,medium,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Row equality is a deterministic package comparison, not human approval of identities, relations, or claims."
outputs/research_wave_h2_two_ecologies_v1/source_overlap_v1.csv,108,137,no,recompute_required,medium,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Row equality is a deterministic package comparison, not human approval of identities, relations, or claims."
outputs/research_wave_h2_two_ecologies_v1/coverage_gaps_v1.csv,5,5,yes,invariant,none,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Row equality is a deterministic package comparison, not human approval of identities, relations, or claims."
outputs/research_wave_h2_two_ecologies_v1/human_review_queue_v1.csv,7,7,yes,invariant,none,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Row equality is a deterministic package comparison, not human approval of identities, relations, or claims."
outputs/research_wave_h2_two_ecologies_v1/further_search_queue_v1.csv,9,9,yes,invariant,none,research_only,candidate_analysis,ai_seeded,not_frontend_ready,no,"Row equality is a deterministic package comparison, not human approval of identities, relations, or claims."
