observation_id,participant_id,hypothesis_id,observation_kind,source_id,source_ids,event_id,event_date,entity_name_as_listed,actor_id,canonical_name,entity_status,participation_role,prior_issue_family,locator,archive_gate_status,data_layer,claim_status,review_status,frontend_eligibility,central_writeback,stable_alliance_claim,interpretation_limit
H3P001,H3P001,H3c,event_participation_or_endorsement,S036,S036,H3EV2017_CROSS_ISLAND_GOV_NEGOTIATION,2017-02-28,宮古島市民会議,,,provisional_event_entity,named co-participant,local anti-deployment,raw.html:L491,candidate_source_metadata_correction_needed,research_only,candidate,ai_seeded,not_frontend_ready,no,no,"Event-specific named participation/endorsement only; not membership, stable alliance, funding, agreement with every event claim, or repeated mobilization."
H3P002,H3P002,H3c,event_participation_or_endorsement,S036,S036,H3EV2017_CROSS_ISLAND_GOV_NEGOTIATION,2017-02-28,南西諸島ピースネット,A065,南西諸島ピースネット,registry_actor,named co-participant,frontline/anti-military,raw.html:L491,candidate_source_metadata_correction_needed,research_only,candidate,ai_seeded,not_frontend_ready,no,no,"Event-specific named participation/endorsement only; not membership, stable alliance, funding, agreement with every event claim, or repeated mobilization."
H3P003,H3P003,H3c,event_participation_or_endorsement,S036,S036,H3EV2017_CROSS_ISLAND_GOV_NEGOTIATION,2017-02-28,八重山大地会,,,deferred_candidate_entity,named co-participant,local anti-deployment,raw.html:L491,candidate_source_metadata_correction_needed,research_only,candidate,ai_seeded,not_frontend_ready,no,no,"Event-specific named participation/endorsement only; not membership, stable alliance, funding, agreement with every event claim, or repeated mobilization."
H3P004,H3P004,H3c,event_participation_or_endorsement,S036,S036,H3EV2017_CROSS_ISLAND_GOV_NEGOTIATION,2017-02-28,てぃだぬふぁ島の子の平和な未来をつくる会,,,event_only_entity,named co-participant,peace/life-safety,raw.html:L491,candidate_source_metadata_correction_needed,research_only,candidate,ai_seeded,not_frontend_ready,no,no,"Event-specific named participation/endorsement only; not membership, stable alliance, funding, agreement with every event claim, or repeated mobilization."
H3P005,H3P005,H3c,event_participation_or_endorsement,S246,S246,H3EV2023_A101_LECTURE_1,2023-11-12,泡瀬干潟を守る連絡会,A055,泡瀬干潟を守る連絡会,registry_actor,listed endorser,environment/legal,raw.html:L361,candidate_archived_input,research_only,candidate,ai_seeded,not_frontend_ready,no,no,"Event-specific named participation/endorsement only; not membership, stable alliance, funding, agreement with every event claim, or repeated mobilization."
H3P006,H3P006,H3c,event_participation_or_endorsement,S246,S246,H3EV2023_A101_LECTURE_1,2023-11-12,沖縄環境ネットワーク,A056,沖縄環境ネットワーク,registry_actor,listed endorser,environment,raw.html:L361,candidate_archived_input,research_only,candidate,ai_seeded,not_frontend_ready,no,no,"Event-specific named participation/endorsement only; not membership, stable alliance, funding, agreement with every event claim, or repeated mobilization."
H3P007,H3P007,H3c,event_participation_or_endorsement,S246,S246,H3EV2023_A101_LECTURE_1,2023-11-12,沖縄平和市民連絡会,,,provisional_event_entity,listed endorser,peace,raw.html:L361,candidate_archived_input,research_only,candidate,ai_seeded,not_frontend_ready,no,no,"Event-specific named participation/endorsement only; not membership, stable alliance, funding, agreement with every event claim, or repeated mobilization."
H3P008,H3P008,H3c,event_participation_or_endorsement,S246,S246,H3EV2023_A101_LECTURE_1,2023-11-12,嘉手納ピースアクション,,,provisional_event_entity,listed endorser,peace/noise,raw.html:L361,candidate_archived_input,research_only,candidate,ai_seeded,not_frontend_ready,no,no,"Event-specific named participation/endorsement only; not membership, stable alliance, funding, agreement with every event claim, or repeated mobilization."
H3P009,H3P009,H3c,event_participation_or_endorsement,S246,S246,H3EV2023_A101_LECTURE_1,2023-11-12,基地・軍隊を許さない行動する女たちの会,A049,基地・軍隊を許さない行動する女たちの会,registry_actor,listed endorser,women/human-rights/anti-base,raw.html:L361,candidate_archived_input,research_only,candidate,ai_seeded,not_frontend_ready,no,no,"Event-specific named participation/endorsement only; not membership, stable alliance, funding, agreement with every event claim, or repeated mobilization."
H3P010,H3P010,H3c,event_participation_or_endorsement,S246,S246,H3EV2023_A101_LECTURE_1,2023-11-12,ジュゴン保護キャンペーンセンター,A002,ジュゴン保護キャンペーンセンター（Save the Dugong Campaign Center）,registry_actor,listed endorser,environment/international,raw.html:L361,candidate_archived_input,research_only,candidate,ai_seeded,not_frontend_ready,no,no,"Event-specific named participation/endorsement only; not membership, stable alliance, funding, agreement with every event claim, or repeated mobilization."
