status_candidate_id,actor_id,actor_name,status_type,status_value_candidate,effective_date_start,effective_date_end,date_precision,source_candidate_ids,source_relationship,legal_status_semantics,competing_status_or_date,continuity_boundary,review_question,needs_local_retrieval,package_scope,claim_status,review_status,frontend_eligibility,central_writeback
NR05OS001,X010,沖縄NGOセンター,formation_and_legal_transition,1999-06 voluntary intermediary body; retrospective account places NPO/current-name transition in 2008; official certification date is 2009-05-14,1999-06,2009-05-14,month_start_to_day_end_with_disputed_2008_stage,NR05S005;NR05S006;NR05S007;NR05S031,retrospective,Formation date and NPO certification date are distinct.,2022 interview says NPO status/current-name transition in 2008; official portal records 設立認証年月日 2009-05-14. Internal resolution/application/name stage must be separated from legal certification.,Do not encode simple rename or unchanged membership without charter/certification records.,"How should 1999 formation, the 2008 retrospective transition claim and 2009-05-14 official certification be separated?",yes_new_primary,research_only,candidate,ai_seeded,not_frontend_ready,no
NR05OS002,A076,ジュゴン保護基金委員会（Save the Dugong Foundation）,formation_claim,informal Okinawa-based nonprofit formed in 1999,1999,1999,year,NR05S011;NR05S023,retrospective,The complaint's 'nonprofit' wording does not establish Japanese法人格.,A newspaper dictionary suggests October 1999; exact month remains unclosed.,"A party pleading supports self-description at filing, not present continuity.","Is 1999 sufficient as a bounded formation year, with legal form unresolved?",yes_local_charter,research_only,candidate,ai_seeded,not_frontend_ready,no
NR05OS003,A055,泡瀬干潟を守る連絡会,formation_claim,informal organization formed 2001-01,2001-01,2001-01,month,NR05S024,retrospective,Current institutional directory labels an organization; no法人格 claimed.,Contemporaneous charter/date not found online.,Formation does not make A055 an organizational plaintiff in Awase litigation.,Accept month-level formation while preserving supporter/plaintiff separation?,yes_local_charter,research_only,candidate,ai_seeded,not_frontend_ready,no
NR05OS004,A088,特定非営利活動法人沖縄平和協力センター,npo_certification,specified nonprofit corporation certified 2002-10-17,2002-10-17,2002-10-17,day,NR05S025,retrospective,"Certification is a legal-status event, not necessarily the organization's start.",Pre-certification organizational activity not established by the portal.,Current portal presence does not prove uninterrupted activity since certification.,Accept certification date while leaving formation/continuity blank?,yes_historical_annual_reports,research_only,candidate,ai_seeded,not_frontend_ready,no
NR05OS005,A069,沖縄ジュゴン環境アセスメント監視団,formation_claim,informal monitoring group formed 2003-09,2003-09,2003-09,month,NR05S014;NR05S026,secondary,Academic reconstruction/catalog locator does not establish法人格 or exact roster.,"A later chronology suggests 2003-09-23, but primary formation record is absent.",Do not infer activity after the sourced period from name persistence.,Keep month-level formation as E2/E3 candidate or defer to local primary material?,yes_local_charter,research_only,candidate,ai_seeded,not_frontend_ready,no
NR05OS006,C034_background,沖縄県サンゴ礁保全推進協議会,platform_formation,administrative-civic coral platform formed in 2008,2008-05-18,2008-06-28,two_documented_milestones,NR05S027;NR05S028,retrospective,Charter date and establishment-meeting date must be stored separately.,Prefecture page says May 2008; organization history identifies 2008-06-28 establishment meeting.,Administrative collaboration does not imply an anti-base stance.,"Which milestone should define formed_date, and should the other be an event anchor?",no_online_primary_report_available,research_only,candidate,ai_seeded,not_frontend_ready,no
NR05OS007,A052,嘉手納基地爆音差止訴訟原告団,case_round_label,third litigation round filed 2011-04-28,2011-04-28,2011-04-28,day,NR05S020,retrospective,"Round label is a nonidentity relation, not a new法人/actor.",Participant composition can change even when the public organization claims continuity.,Central HR-012 governs; NR-05 does not alter lifecycle or membership.,"Retain as a round anchor only, with no new actor?",yes_if_membership_change_is_studied,research_only,candidate,ai_seeded,not_frontend_ready,no
NR05OS008,A053,普天間基地爆音訴訟団,case_round_labels,first-round 2002-2003; second-round launch 2012 with related 2013 filings,2002,2013,year_ranges,NR05S008;NR05S009,retrospective,Round/case labels do not create separate actors or identical memberships.,Current site compresses chronology; court record distinguishes multiple filings/groups.,Central HR-012 governs; parallel cases remain visible.,Approve only the date/range correction without reopening the actor crosswalk?,yes_original_complaints,research_only,candidate,ai_seeded,not_frontend_ready,no
NR05OS009,A096,下地島空港の軍事利用に反対する会,minimum_active_date,publicly active by 2011-06-23,2011-06-23,2011-06-23,day_event_only,NR05S021,secondary,Event hosting is not a legal-status or formation record.,Group may predate the event or have been a temporary carrier.,No before/after continuity inferred.,Use as minimum_active_date only?,yes_local_materials,research_only,candidate,ai_seeded,not_frontend_ready,no
NR05OS010,A015,与那国島への自衛隊配備に反対する意見広告実行委員会,temporary_committee_formation_claim,reported founding press conference 2012-08-25,2012-08-25,2012-08-25,day,NR05S022,lead,Implementation committee presumed temporary until primary records show continuity.,Only one party-newspaper source; original ad unavailable online.,No merger with referendum body or later anti-deployment groups.,Defer identity/continuity until local newspaper and ad are retrieved?,yes_tier2,research_only,candidate,ai_seeded,not_frontend_ready,no
NR05OS011,A115,新日本婦人の会沖縄県本部,minimum_active_date,prefectural branch publicly active by 2008-02-14,2008-02-14,2008-02-14,day_event_only,NR05S018,contemporaneous_primary,"Branch action confirms local presence, not formation or independent法人格.",Earlier branch history may exist offline.,National actions are not transferred to the prefectural branch.,Use as minimum_active_date and request occurrence only?,yes_branch_archive,research_only,candidate,ai_seeded,not_frontend_ready,no
