r9_source_id,existing_source_id,case_id,source_tier,source_type,title,year,url,supports,source_locator,evidence_level,review_status,archive_status,notes
R9S001,,R9C_NAGO_1997,primary_official,official_prefecture_report,沖縄の米軍基地・基地問題の沿革（1997年部分）,2003,https://www.pref.okinawa.jp/kititaisaku/DP-08-13.pdf,名護の代表者証明、署名、直接請求、議会修正、条例公布、投票日設定,PDF pp.44–47; web extraction lines 2597–2741,E4,ai_seeded,online_only_not_in_main_archive,最も完整的な官方程序年表。
R9S002,S042,R9C_NAGO_1997,primary_official,municipal_timeline,移設問題の動向（年表）,2026,https://www.city.nago.okinawa.jp/kurashi/2018071900226/,1997投票、反对过半、投票后市长接受并辞职,1997年 entries,E4,ai_seeded,existing_archive,名护市官方。
R9S003,,R9C_NAGO_1997,primary_official,municipal_election_page,その他の選挙（県民投票・市民投票）,2026,https://www.city.nago.okinawa.jp/kurashi/2018071901216/,1997市民投票日期与官方结果文件入口,市民投票 section,E4,ai_seeded,online_only_not_in_main_archive,链接结果XLS。
R9S004,,R9C_NAGO_1997,secondary_local,local_news,「終わらせて」続く怒りや苦悩 名護市民投票20年,2017,https://ryukyushimpo.jp/news/entry-634713.html,市民投票推进协议会成立、签名与票数,article lines 150,E3,ai_seeded,online_only_not_in_main_archive,组织名称与票数的地方新闻回顾；需与原始资料复核。
R9S005,S071,R9C_YONAGUNI_2015,structured_legal_secondary,university_legal_database,与那国島への「自衛隊基地建設」の民意を問う住民投票に関する条例,2014,https://greenaccess.law.osaka-u.ac.jp/archives/7214,条例第23号及2015年两次修正、目的、执行与投票资格,ordinance text,E3,ai_seeded,existing_archive,非町官方，但保留条例全文；最终需对照町公报。
R9S006,,R9C_YONAGUNI_2015,primary_official,municipal_policy_statement,平成27年度 与那国町施政方針,2015,https://www.town.yonaguni.okinawa.jp/docs/2018041100076/file_contents/H27siseihousin.pdf,町长对投票结果的行政解释，承认约四成反对,政策开头相关段落,E4,ai_seeded,online_only_not_in_main_archive,官方立场，不替代完整结果表。
R9S007,S011,R9C_YONAGUNI_2015,secondary_local,local_news,与那国住民投票 陸自配備を容認 賛成632、反対445,2015,https://ryukyushimpo.jp/news/prentry-239307.html,投票结果与比例,article lead,E3,ai_seeded,existing_archive,结果数字需优先以选管原表替代。
R9S008,S069,R9C_YONAGUNI_2015,secondary_positioned,magazine_news,自衛隊配備賛否を問う与那国島住民投票――反対派は選挙過程も疑問視,2015,http://www.kinyobi.co.jp/kinyobinews/2015/03/11/,反对侧委员会及选举过程争议,article body,E2,needs_human_review,existing_archive,A014组织名、代表与持续性未由一手材料闭环。
R9S009,,R9C_PREF_2019,primary_official,prefectural_proposal,平成30年第6回沖縄県議会临时会 提案说明,2018,https://www.pref.okinawa.jp/kensei/kencho/1001519/1001591/1018974/1018988.html,9月5日直接请求、约9.3万签名、条例付议,proposal explanation,E4,ai_seeded,online_only_not_in_main_archive,県官方。
R9S010,,R9C_PREF_2019,primary_official,official_gazette,沖縄県公報号外第43号・県民投票条例第62号,2018,https://www.pref.okinawa.jp/kenkouhou/H30/10gatsu/181031gogai43.pdf,条例公布、目的、执行、结果尊重与通知制度,PDF pp.1–4,E4,ai_seeded,online_only_not_in_main_archive,県公报。
R9S011,,R9C_PREF_2019,primary_official,official_gazette,沖縄県公報号外第2号・県民投票条例一部改正,2019,https://www.pref.okinawa.jp/kenkouhou/H31/1gatsu/190131gogai2.pdf,加入“どちらでもない”第三选项,PDF p.1 onward,E4,ai_seeded,online_only_not_in_main_archive,2019-01-31公布。
