dimension,category,actor_count,official_site,official_subunit,official_registry,parent_org_page,not_found,url_coverage_pct,archived_selected,new_unarchived_candidate,interpretation_limit
overall,all_active_actors,121,48,7,1,9,56,53.7,48,11,"Directory coverage describes qualifying page discovery in the current bounded source set, not organizational activity, importance, or overall internet visibility."
origin_type,corporate,2,1,0,0,0,1,50.0,0,1,"Directory coverage describes qualifying page discovery in the current bounded source set, not organizational activity, importance, or overall internet visibility."
origin_type,international,13,1,0,1,0,11,15.4,2,0,"Directory coverage describes qualifying page discovery in the current bounded source set, not organizational activity, importance, or overall internet visibility."
origin_type,japan_domestic,26,15,0,0,1,10,61.5,15,0,"Directory coverage describes qualifying page discovery in the current bounded source set, not organizational activity, importance, or overall internet visibility."
origin_type,mixed_or_network,3,1,0,0,1,1,66.7,1,1,"Directory coverage describes qualifying page discovery in the current bounded source set, not organizational activity, importance, or overall internet visibility."
origin_type,okinawa_local,57,20,0,0,5,32,43.9,20,0,"Directory coverage describes qualifying page discovery in the current bounded source set, not organizational activity, importance, or overall internet visibility."
origin_type,public_institution,3,0,3,0,0,0,100.0,2,1,"Directory coverage describes qualifying page discovery in the current bounded source set, not organizational activity, importance, or overall internet visibility."
origin_type,us_origin,17,10,4,0,2,1,94.1,8,8,"Directory coverage describes qualifying page discovery in the current bounded source set, not organizational activity, importance, or overall internet visibility."
actor_class,base_community_service_actor,3,0,3,0,0,0,100.0,0,3,"Directory coverage describes qualifying page discovery in the current bounded source set, not organizational activity, importance, or overall internet visibility."
actor_class,base_spouse_charity_network,1,0,0,0,1,0,100.0,1,0,"Directory coverage describes qualifying page discovery in the current bounded source set, not organizational activity, importance, or overall internet visibility."
actor_class,base_spouse_club,5,4,0,0,0,1,80.0,2,2,"Directory coverage describes qualifying page discovery in the current bounded source set, not organizational activity, importance, or overall internet visibility."
actor_class,citizen_group,19,6,0,0,0,13,31.6,3,0,"Directory coverage describes qualifying page discovery in the current bounded source set, not organizational activity, importance, or overall internet visibility."
actor_class,citizen_network,23,9,0,0,1,13,43.5,8,0,"Directory coverage describes qualifying page discovery in the current bounded source set, not organizational activity, importance, or overall internet visibility."
actor_class,corporate_sponsor,1,1,0,0,0,0,100.0,0,1,"Directory coverage describes qualifying page discovery in the current bounded source set, not organizational activity, importance, or overall internet visibility."
actor_class,domestic_japan_ngo,11,5,0,0,0,6,45.5,5,0,"Directory coverage describes qualifying page discovery in the current bounded source set, not organizational activity, importance, or overall internet visibility."
actor_class,executive_committee,3,0,0,0,0,3,0.0,0,0,"Directory coverage describes qualifying page discovery in the current bounded source set, not organizational activity, importance, or overall internet visibility."
actor_class,funder_or_intermediary,1,1,0,0,0,0,100.0,1,0,"Directory coverage describes qualifying page discovery in the current bounded source set, not organizational activity, importance, or overall internet visibility."
actor_class,international_advocacy_actor,7,3,0,0,1,3,57.1,4,0,"Directory coverage describes qualifying page discovery in the current bounded source set, not organizational activity, importance, or overall internet visibility."
actor_class,international_ngo,16,6,0,1,0,9,43.8,4,3,"Directory coverage describes qualifying page discovery in the current bounded source set, not organizational activity, importance, or overall internet visibility."
actor_class,labor_union,6,5,0,0,1,0,100.0,6,0,"Directory coverage describes qualifying page discovery in the current bounded source set, not organizational activity, importance, or overall internet visibility."
actor_class,lawyers_network,5,3,0,0,2,0,100.0,4,0,"Directory coverage describes qualifying page discovery in the current bounded source set, not organizational activity, importance, or overall internet visibility."
actor_class,local_business_sponsor,1,0,0,0,0,1,0.0,0,0,"Directory coverage describes qualifying page discovery in the current bounded source set, not organizational activity, importance, or overall internet visibility."
actor_class,local_civic_actor,5,1,0,0,0,4,20.0,1,0,"Directory coverage describes qualifying page discovery in the current bounded source set, not organizational activity, importance, or overall internet visibility."
actor_class,local_international_cooperation_ngo,2,1,0,0,0,1,50.0,1,0,"Directory coverage describes qualifying page discovery in the current bounded source set, not organizational activity, importance, or overall internet visibility."
actor_class,local_npo,3,2,0,0,0,1,66.7,2,0,"Directory coverage describes qualifying page discovery in the current bounded source set, not organizational activity, importance, or overall internet visibility."
actor_class,public_diplomacy_grant_program,1,0,1,0,0,0,100.0,1,0,"Directory coverage describes qualifying page discovery in the current bounded source set, not organizational activity, importance, or overall internet visibility."
actor_class,public_diplomacy_or_exchange_actor,1,0,0,0,1,0,100.0,0,1,"Directory coverage describes qualifying page discovery in the current bounded source set, not organizational activity, importance, or overall internet visibility."
actor_class,public_institution_partner,3,0,3,0,0,0,100.0,2,1,"Directory coverage describes qualifying page discovery in the current bounded source set, not organizational activity, importance, or overall internet visibility."
actor_class,womens_organization,4,1,0,0,2,1,75.0,3,0,"Directory coverage describes qualifying page discovery in the current bounded source set, not organizational activity, importance, or overall internet visibility."
priority_focus,us_origin_17,17,10,4,0,2,1,94.1,8,8,"Directory coverage describes qualifying page discovery in the current bounded source set, not organizational activity, importance, or overall internet visibility."
