review_item_id,task_id,task_kind,upstream_table,record_id_field,object_id,object_label,field_name,current_value,affected_row_count,observed_context,review_question,allowed_review_status_values,required_boundary,decision,revised_review_status,human_reviewer,review_date,review_note
HR034-SRC-001,HR-034,row_crosswalk,data/interim/05_source_log_initial_v0.csv,source_id,S025,辺野古米軍基地建設のための埋立ての賛否を問う県民投票 結果,review_status,verified,1,evidence_level=E4; human_decision=(blank); reviewer=(blank); review_date=(blank),Which legal review_status follows from the actual reviewed fields and decision record for this source row?,ai_seeded;human_checked;human_revised;needs_local_retrieval;needs_second_source;rejected,"Source review never approves an actor, relation, funding flow or interpretive claim; do not map by string similarity alone.",,,,,
HR034-SRC-002,HR-034,row_crosswalk,data/interim/05_source_log_initial_v0.csv,source_id,S041,AWWA / OESC / NOSCO official sites and DVIDS reports,review_status,verified,1,evidence_level=E4; human_decision=(blank); reviewer=(blank); review_date=(blank),Which legal review_status follows from the actual reviewed fields and decision record for this source row?,ai_seeded;human_checked;human_revised;needs_local_retrieval;needs_second_source;rejected,"Source review never approves an actor, relation, funding flow or interpretive claim; do not map by string similarity alone.",,,,,
HR034-SRC-003,HR-034,row_crosswalk,data/interim/05_source_log_initial_v0.csv,source_id,S049,ヘリ基地反対協議会 公式サイト,review_status,verified,1,evidence_level=E4; human_decision=(blank); reviewer=(blank); review_date=(blank),Which legal review_status follows from the actual reviewed fields and decision record for this source row?,ai_seeded;human_checked;human_revised;needs_local_retrieval;needs_second_source;rejected,"Source review never approves an actor, relation, funding flow or interpretive claim; do not map by string similarity alone.",,,,,
HR034-SRC-004,HR-034,row_crosswalk,data/interim/05_source_log_initial_v0.csv,source_id,S050,ヘリ基地反対協議会 Wikipedia,review_status,verified,1,evidence_level=E3; human_decision=(blank); reviewer=(blank); review_date=(blank),Which legal review_status follows from the actual reviewed fields and decision record for this source row?,ai_seeded;human_checked;human_revised;needs_local_retrieval;needs_second_source;rejected,"Source review never approves an actor, relation, funding flow or interpretive claim; do not map by string similarity alone.",,,,,
HR034-SRC-005,HR-034,row_crosswalk,data/interim/05_source_log_initial_v0.csv,source_id,S051,石垣市住民投票を求める会 公式サイト,review_status,rejected_archive_mismatch,1,evidence_level=E0; human_decision=(blank); reviewer=(blank); review_date=(blank),Which legal review_status follows from the actual reviewed fields and decision record for this source row?,ai_seeded;human_checked;human_revised;needs_local_retrieval;needs_second_source;rejected,"Source review never approves an actor, relation, funding flow or interpretive claim; do not map by string similarity alone.",,,,,
HR034-SRC-006,HR-034,row_crosswalk,data/interim/05_source_log_initial_v0.csv,source_id,S052,与那国イソバの会 ブログ,review_status,verified,1,evidence_level=E3; human_decision=(blank); reviewer=(blank); review_date=(blank),Which legal review_status follows from the actual reviewed fields and decision record for this source row?,ai_seeded;human_checked;human_revised;needs_local_retrieval;needs_second_source;rejected,"Source review never approves an actor, relation, funding flow or interpretive claim; do not map by string similarity alone.",,,,,
HR034-SRC-007,HR-034,row_crosswalk,data/interim/05_source_log_initial_v0.csv,source_id,S053,OESC donates $3250 to USO Okinawa,review_status,verified,1,evidence_level=E4; human_decision=(blank); reviewer=(blank); review_date=(blank),Which legal review_status follows from the actual reviewed fields and decision record for this source row?,ai_seeded;human_checked;human_revised;needs_local_retrieval;needs_second_source;rejected,"Source review never approves an actor, relation, funding flow or interpretive claim; do not map by string similarity alone.",,,,,
HR034-SRC-008,HR-034,row_crosswalk,data/interim/05_source_log_initial_v0.csv,source_id,S054,OESC ProPublica Nonprofit Explorer,review_status,verified,1,evidence_level=E4; human_decision=(blank); reviewer=(blank); review_date=(blank),Which legal review_status follows from the actual reviewed fields and decision record for this source row?,ai_seeded;human_checked;human_revised;needs_local_retrieval;needs_second_source;rejected,"Source review never approves an actor, relation, funding flow or interpretive claim; do not map by string similarity alone.",,,,,
HR034-SRC-009,HR-034,row_crosswalk,data/interim/05_source_log_initial_v0.csv,source_id,S055,NOSCO AWWA page,review_status,verified,1,evidence_level=E4; human_decision=(blank); reviewer=(blank); review_date=(blank),Which legal review_status follows from the actual reviewed fields and decision record for this source row?,ai_seeded;human_checked;human_revised;needs_local_retrieval;needs_second_source;rejected,"Source review never approves an actor, relation, funding flow or interpretive claim; do not map by string similarity alone.",,,,,
HR034-SRC-010,HR-034,row_crosswalk,data/interim/05_source_log_initial_v0.csv,source_id,S056,U.S. Consulate Naha Okinawa Youth Council NOFO PDF,review_status,verified,1,evidence_level=E4; human_decision=(blank); reviewer=(blank); review_date=(blank),Which legal review_status follows from the actual reviewed fields and decision record for this source row?,ai_seeded;human_checked;human_revised;needs_local_retrieval;needs_second_source;rejected,"Source review never approves an actor, relation, funding flow or interpretive claim; do not map by string similarity alone.",,,,,
HR034-SRC-011,HR-034,row_crosswalk,data/interim/05_source_log_initial_v0.csv,source_id,S057,ジュゴン保護キャンペーンセンター公式サイト,review_status,human_verified,1,evidence_level=E4; human_decision=(blank); reviewer=(blank); review_date=(blank),Which legal review_status follows from the actual reviewed fields and decision record for this source row?,ai_seeded;human_checked;human_revised;needs_local_retrieval;needs_second_source;rejected,"Source review never approves an actor, relation, funding flow or interpretive claim; do not map by string similarity alone.",,,,,
HR034-SRC-012,HR-034,row_crosswalk,data/interim/05_source_log_initial_v0.csv,source_id,S058,IUCN member page: Save the Dugong Campaign Center,review_status,human_verified,1,evidence_level=E4; human_decision=(blank); reviewer=(blank); review_date=(blank),Which legal review_status follows from the actual reviewed fields and decision record for this source row?,ai_seeded;human_checked;human_revised;needs_local_retrieval;needs_second_source;rejected,"Source review never approves an actor, relation, funding flow or interpretive claim; do not map by string similarity alone.",,,,,
HR034-SRC-013,HR-034,row_crosswalk,data/interim/05_source_log_initial_v0.csv,source_id,S059,GEOC団体情報: ジュゴン保護キャンペーンセンター,review_status,human_verified,1,evidence_level=E4; human_decision=(blank); reviewer=(blank); review_date=(blank),Which legal review_status follows from the actual reviewed fields and decision record for this source row?,ai_seeded;human_checked;human_revised;needs_local_retrieval;needs_second_source;rejected,"Source review never approves an actor, relation, funding flow or interpretive claim; do not map by string similarity alone.",,,,,
HR034-SRC-014,HR-034,row_crosswalk,data/interim/05_source_log_initial_v0.csv,source_id,S060,Earthjustice 2003 Okinawa Dugong lawsuit press release,review_status,human_verified,1,evidence_level=E4; human_decision=(blank); reviewer=(blank); review_date=(blank),Which legal review_status follows from the actual reviewed fields and decision record for this source row?,ai_seeded;human_checked;human_revised;needs_local_retrieval;needs_second_source;rejected,"Source review never approves an actor, relation, funding flow or interpretive claim; do not map by string similarity alone.",,,,,
HR034-SRC-015,HR-034,row_crosswalk,data/interim/05_source_log_initial_v0.csv,source_id,S061,JELF Okinawa Dugong NHPA lawsuit plaintiff material,review_status,human_verified,1,evidence_level=E4; human_decision=(blank); reviewer=(blank); review_date=(blank),Which legal review_status follows from the actual reviewed fields and decision record for this source row?,ai_seeded;human_checked;human_revised;needs_local_retrieval;needs_second_source;rejected,"Source review never approves an actor, relation, funding flow or interpretive claim; do not map by string similarity alone.",,,,,
HR034-SRC-016,HR-034,row_crosswalk,data/interim/05_source_log_initial_v0.csv,source_id,S062,Earthjustice Okinawa Dugong case page,review_status,human_verified,1,evidence_level=E4; human_decision=(blank); reviewer=(blank); review_date=(blank),Which legal review_status follows from the actual reviewed fields and decision record for this source row?,ai_seeded;human_checked;human_revised;needs_local_retrieval;needs_second_source;rejected,"Source review never approves an actor, relation, funding flow or interpretive claim; do not map by string similarity alone.",,,,,
HR034-SRC-017,HR-034,row_crosswalk,data/interim/05_source_log_initial_v0.csv,source_id,S063,琉球新報 用語辞典 ジュゴン保護基金委員会,review_status,human_verified,1,evidence_level=E3; human_decision=(blank); reviewer=(blank); review_date=(blank),Which legal review_status follows from the actual reviewed fields and decision record for this source row?,ai_seeded;human_checked;human_revised;needs_local_retrieval;needs_second_source;rejected,"Source review never approves an actor, relation, funding flow or interpretive claim; do not map by string similarity alone.",,,,,
HR034-SRC-018,HR-034,row_crosswalk,data/interim/05_source_log_initial_v0.csv,source_id,S064,NGO非戦ネット 辺野古県民投票結果の尊重を求める声明,review_status,human_verified,1,evidence_level=E3; human_decision=(blank); reviewer=(blank); review_date=(blank),Which legal review_status follows from the actual reviewed fields and decision record for this source row?,ai_seeded;human_checked;human_revised;needs_local_retrieval;needs_second_source;rejected,"Source review never approves an actor, relation, funding flow or interpretive claim; do not map by string similarity alone.",,,,,
HR034-SRC-019,HR-034,row_crosswalk,data/interim/05_source_log_initial_v0.csv,source_id,S065,NGO非戦ネット 公式サイト,review_status,human_verified,1,evidence_level=E4; human_decision=(blank); reviewer=(blank); review_date=(blank),Which legal review_status follows from the actual reviewed fields and decision record for this source row?,ai_seeded;human_checked;human_revised;needs_local_retrieval;needs_second_source;rejected,"Source review never approves an actor, relation, funding flow or interpretive claim; do not map by string similarity alone.",,,,,
HR034-SRC-020,HR-034,row_crosswalk,data/interim/05_source_log_initial_v0.csv,source_id,S066,アーユス NGO非戦ネット 2015 活動紹介,review_status,human_verified,1,evidence_level=E3; human_decision=(blank); reviewer=(blank); review_date=(blank),Which legal review_status follows from the actual reviewed fields and decision record for this source row?,ai_seeded;human_checked;human_revised;needs_local_retrieval;needs_second_source;rejected,"Source review never approves an actor, relation, funding flow or interpretive claim; do not map by string similarity alone.",,,,,
HR034-SRC-021,HR-034,row_crosswalk,data/interim/05_source_log_initial_v0.csv,source_id,S067,JVC NGO非戦ネット OSA反対声明 2023,review_status,human_verified,1,evidence_level=E3; human_decision=(blank); reviewer=(blank); review_date=(blank),Which legal review_status follows from the actual reviewed fields and decision record for this source row?,ai_seeded;human_checked;human_revised;needs_local_retrieval;needs_second_source;rejected,"Source review never approves an actor, relation, funding flow or interpretive claim; do not map by string similarity alone.",,,,,
HR034-SRC-022,HR-034,row_crosswalk,data/interim/05_source_log_initial_v0.csv,source_id,S068,沖縄タイムス 日米の合同演習 市民が中止要請 与那国イソバの会,review_status,human_verified,1,evidence_level=E3; human_decision=(blank); reviewer=(blank); review_date=(blank),Which legal review_status follows from the actual reviewed fields and decision record for this source row?,ai_seeded;human_checked;human_revised;needs_local_retrieval;needs_second_source;rejected,"Source review never approves an actor, relation, funding flow or interpretive claim; do not map by string similarity alone.",,,,,
HR034-SRC-023,HR-034,row_crosswalk,data/interim/05_source_log_initial_v0.csv,source_id,S069,週刊金曜日 自衛隊配備賛否を問う与那国島住民投票 反対派は選挙過程も疑問視,review_status,human_verified,1,evidence_level=E2; human_decision=(blank); reviewer=(blank); review_date=(blank),Which legal review_status follows from the actual reviewed fields and decision record for this source row?,ai_seeded;human_checked;human_revised;needs_local_retrieval;needs_second_source;rejected,"Source review never approves an actor, relation, funding flow or interpretive claim; do not map by string similarity alone.",,,,,
HR034-SRC-024,HR-034,row_crosswalk,data/interim/05_source_log_initial_v0.csv,source_id,S070,赤旗 与那国 住民投票へ 条例案可決,review_status,human_verified,1,evidence_level=E2; human_decision=(blank); reviewer=(blank); review_date=(blank),Which legal review_status follows from the actual reviewed fields and decision record for this source row?,ai_seeded;human_checked;human_revised;needs_local_retrieval;needs_second_source;rejected,"Source review never approves an actor, relation, funding flow or interpretive claim; do not map by string similarity alone.",,,,,
HR034-SRC-025,HR-034,row_crosswalk,data/interim/05_source_log_initial_v0.csv,source_id,S072,DVIDS American Women's Welfare Association celebrates 40 years,review_status,human_verified,1,evidence_level=E3; human_decision=(blank); reviewer=(blank); review_date=(blank),Which legal review_status follows from the actual reviewed fields and decision record for this source row?,ai_seeded;human_checked;human_revised;needs_local_retrieval;needs_second_source;rejected,"Source review never approves an actor, relation, funding flow or interpretive claim; do not map by string similarity alone.",,,,,
