task_id,review_item_id,source_id,decision,revised_title,revised_source_type,revised_year_or_period,revised_locator,revised_support_scope,revised_evidence_level,archive_resolution,source_report,review_note
HR-022,HR022-001,S115,accept_with_revision,特定非営利活動法人 宮古島 海の環境ネットワーク,organization_site,2026,组织官网的法人名、活动介绍及公开项目栏目；2026访问快照,组织身份及组织自述的海岸清扫、海洋调查和环境教育；不支持军事争议参与或environment_deployment。,E4,archived_verified,docs/human_review_return_HR022_metadata_batch28_v1.md,补正式法人名；2026仅为访问/快照年。
HR-022,HR022-002,S071,accept_with_revision,与那国町住民投票条例（平成26年与那国町条例第25号／平成27年条例第1号改正、失効）,legal_database,2014–2015,条例正文、2014制定、2015修订及页面失效标识,条例文本、制定/修订信息和失效标识；数据库副本不是町政府原件，关键结果仍需官方或独立材料。,E3,archived_verified,docs/human_review_return_HR022_metadata_batch28_v1.md,使用含失效标识的原题；制定年与修订年分开。
HR-022,HR022-003,S011,accept_with_revision,与那国住民投票 陸自配備を容認　賛成632票、反対445票,local_news,2015,2015-02-23页面标题、首段和健康担忧段,新闻报道的投票结果、部署背景和具名争议内容；健康担忧不是已证实健康损害。,E3,archived_verified,docs/human_review_return_HR022_metadata_batch28_v1.md,补全含票数的新闻原题；町选管原始结果出现前不升E4。
HR-022,HR022-004,S160,accept_with_revision,福岡高等裁判所那覇支部 令和5年（行コ）第6号 地位確認請求控訴事件判決（2024年3月12日）,court_record,2024,PDF p.1案件/当事人/主文；pp.5–13判断与结论；p.14正本认证,案号、法院、自然人当事人、日期、主文和判决理由；CALL4托管链不是法院官网。,E3,archived_verified,docs/human_review_return_HR022_metadata_batch28_v1.md,判决正本影印可用，但不得据此把组织编码为法院确认原告。
HR-022,HR022-005,S161,accept_with_revision,石垣市住民投票を求める裁判,legal_source,2024,CALL4案件页的案件公开呈现、原告栏、これまでの経緯、裁判の状況及2024具日期更新,CALL4上的案件进展及组织自述的2018结成、主办/诉讼支持角色和当时解散计划；不是法院确认的组织原告身份。,E3,archived_verified,docs/human_review_return_HR022_metadata_batch28_v1.md,改为legal_source；组织侧案件页与法院裁判书分层。
HR-022,HR022-006,S138,accept_with_revision,石垣市平得大俣地域への陸上自衛隊配備計画の賛否を問う住民投票条例に係る議会審議の結果について H31.2.4,local_official,2019（事件/正式文件）；page updated 2020-03-30,网页标题与更新日；链接PDF p.1全文,直接请求被受理、条例案进入议会并被否决的程序事实。,E4,archived_verified,docs/human_review_return_HR022_metadata_batch28_v1.md,事件日与页面更新日分开；不写成current状态。
HR-022,HR022-007,S162,accept_with_revision,国民保護計画の改正等を求める意見書,official_legislative_record,2024,PDF p.1议案身份/日期/提出者；pp.2–3七项请求、决议和宛先,市议会提出的制度与生活安全要求；政策要求不等于已经执行。,E4,archived_verified,docs/human_review_return_HR022_metadata_batch28_v1.md,改用正式决议题名并冻结pp.1–3。
HR-022,HR022-008,S163,accept_with_revision,令和3年第4回石垣市議会定例会議事日程,official_legislative_record,2021,PDF p.2第19项，议员提出议案第15号，可決,2021-06-28修正议案通过的程序事实；删除条款内容须与其他官方资料合用。,E4,archived_verified,docs/human_review_return_HR022_metadata_batch28_v1.md,原第5回修正为第4回。
HR-022,HR022-009,S164,accept_with_revision,石垣市自治基本条例の見直しについて（令和7年度第1回審議会資料）,local_official,2025,父页面第1回会议资料栏；PDF p.2/资料1印刷p.2,官方对2021修法内容的2025制度回顾及当年审议程序；不支持删除动机或最终结果。,E4,archived_verified,docs/human_review_return_HR022_metadata_batch28_v1.md,使用父页面正式资料名。
HR-022,HR022-010,S165,accept_with_revision,石垣市避難実施要領（案）概要,local_official,2022–2025（annual documents）；page updated 2026-02-27,网页年度链接；R4 PDF pp.1–2限制语；R5/R6/R7各PDF首页及页数,令和4至令和7年度避难实施要领（案）概要/训练材料的公开与版本存在；不证明实际撤离或能力。,E4,archived_verified,docs/human_review_return_HR022_metadata_batch28_v1.md,补“（案）”；版本比较须另建数据与解释门。
HR-022,HR022-011,S166,accept_with_revision,平成31年 第2回石垣市議会(臨時会)の提出議案とその結果,official_legislative_record,2019,会期栏；市长提出议案表中平成30年议案第85号修正案及本案,2019-02-01的议案身份和否决结果。,E4,archived_verified,docs/human_review_return_HR022_metadata_batch29_v1.md,原第1回改为平成31年第2回；页面更新2020-03-02。
HR-022,HR022-012,S167,accept_with_revision,令和元年 第4回石垣市議会(定例会)の提出議案とその結果,official_legislative_record,2019,2019-06-17–2019-07-01会期；〈議員提出議案〉表，議案第2号，6月17日，否決,本次定例会的议员提出议案程序和表决结果。,E4,archived_verified,docs/human_review_return_HR022_metadata_batch29_v1.md,补会期和页面更新2020-03-02。
HR-022,HR022-013,S168,accept_with_revision,新しい島づくり計画（新市建設計画）第５章 新市の施策（後半）,local_official,2005（最终五市町村版；2005-08）,5-3→(1)→1.かけがえのない地下水の保全；合册PDF pp.45–46附近/印刷页44起,合并时的一般地下水政策、条例遵守、污水处理、水源涵养和居民协作背景；删除部署连接。,E4,archived_verified,docs/human_review_return_HR022_metadata_batch29_v1.md,一般水政策不得自动连接自卫队部署。
HR-022,HR022-014,S169,accept_with_revision,宮古島市国民保護計画,local_official,2008-03制定；2019-02部分変更,网页说明；本编PDF p.1；目录pp.5–8,法定计划的成立、修订、结构和规范内容；不证明现实实施能力或撤离可行性。,E4,archived_verified,docs/human_review_return_HR022_metadata_batch29_v1.md,制定和修订日期并列。
HR-022,HR022-015,S170,accept_with_revision,沖縄県国民保護共同訓練に係る住民意見交換会 ご意見と回答,local_official,2025-10–2026-02,网页实施日和回答时点；国回答；县回答Q&A；市回答Q&A,住民提出的不同问题、国家/县/市回答，以及训练明确采用的前提、估算和限制；两种话语位置分开。,E4,archived_verified,docs/human_review_return_HR022_metadata_batch29_v1.md,撤销“原文未找到”旧限制；训练估算不等于现实能力。
HR-022,HR022-016,S171,accept_with_revision,その他の選挙（県民投票・市民投票）,local_official,n.d.；accessed 2026,县民投票两项链接；市民投票一项链接,官方索引身份、三次投票题名、日期和附件链接；具体数字引用附件。,E4,archived_verified,docs/human_review_return_HR022_metadata_batch29_v1.md,2026是访问年。
HR-022,HR022-017,S172,accept_with_revision,名護市における米軍のヘリポート基地建設の是非を問う市民投票結果（1997年12月21日執行）,local_official,1997,"市民投票!C1:O15为题名/日期/核心总计/四选项；市民投票投票状況!A3:G24为投票区分布；排除第13区不一致格及23,934小计",官方投票题目、执行日、总体投票数据和四个回答选项；总体数字以第一张表为准。,E4,archived_verified,docs/human_review_return_HR022_metadata_batch29_v1.md,排除90票不一致格，不擅自修正。
HR-022,HR022-018,S173,accept_with_revision,令和元年度沖縄振興特別推進交付金事業（市町村分）検証シート【公表用】（沖縄市）,official_project_report,FY2019；file created 2020-08,PDF pp.9–10（国际交流事业/KIP）,文件明示的项目、实施方法、评价、资金流标签、点名recipient和金额；关系判断仍由HR-018控制。,E4,archived_verified,docs/human_review_return_HR022_metadata_batch29_v1.md,清除no archive performed；公共设施运营委托不是运动资金。
HR-022,HR022-019,S174,accept_with_revision,令和２年度沖縄振興特別推進交付金事業（市町村分）検証シート【公表用】（沖縄市）,official_project_report,FY2020；file created 2022-01,PDF pp.9–10（国际交流事业/KIP）,文件明示的项目、实施方法、评价、点名资金流和金额；不改写为grant或现金到账。,E4,archived_verified,docs/human_review_return_HR022_metadata_batch29_v1.md,清除no archive performed。
HR-022,HR022-020,S175,accept_with_revision,令和６年度沖縄振興特別推進交付金事業（市町村分）検証シート【公表用】（沖縄市）,official_project_report,FY2024；file version 2025-07-11,PDF pp.5–6（国际交流事业/KIP）,项目、实施方法、服务功能、资金流结构及各金额口径；18.858m总事业费、16.662m点名ONC流、2.196m未再点名recipient支路、16.040m组织侧成本不得混合。,E4,archived_verified,docs/human_review_return_HR022_metadata_batch29_v1.md,四个金额不相加、不替代。
HR-022,HR022-021,S176,accept_with_revision,コザインターナショナルプラザ,local_official,updated 2024-08-08,更新日；コザインターナショナルプラザとは；語学講座；ゆんたく交流会；国際交流イベント；施設概要,KIP官方设施身份、地址、开放时间和公开服务功能；不能单独推出ONC受托方、期间或金额。,E4,archived_verified,docs/human_review_return_HR022_metadata_batch31_v1.md,原national_official改local_official。
HR-022,HR022-022,S137,accept_with_revision,石垣市平得大俣地域への陸上自衛隊配備計画の賛否を問う住民投票実施義務付け等請求事件判決,court_record,2020,"PDF p.1主文与请求；pp.1–4事案概要/条例/前提事实；p.4代表者、14,263签名及两次否决；S178案号与终局日",法院认定的程序事实、匿名当事人类别、争点和裁判结论；判决匿名，不支持A011具名诉讼角色。,E4,retry_with_revised_url,docs/human_review_return_HR022_metadata_batch31_v1.md,URL换法院迁移地址并重试归档。
HR-022,HR022-023,S177,accept_with_revision,福岡高等裁判所 特別保存に付した事件（令和7年）,court_record,2025,PDF p.22那覇支部第1项令和5年（行コ）第6号；p.23第32项令和2年（行コ）第3号,法院支部、案号、事件名、通称和特别保存身份；不能替代判决主文。,E4,archived_verified,docs/human_review_return_HR022_metadata_batch31_v1.md,精确定位两个那霸支部案号。
HR-022,HR022-024,S178,accept_with_revision,那覇地方裁判所 特別保存に付した事件（令和３年度完結分）,court_record,FY2021 completed-case list；file created 2025-03-26,PDF p.1第2项，令和1年（行ウ）14号/15号，终局日2020-08-27,表中案号、事件名、法院和终局日；不支持判决理由或组织角色。,E4,archived_verified,docs/human_review_return_HR022_metadata_batch31_v1.md,2024不作来源年份。
HR-022,HR022-025,S179,accept_with_revision,辺野古県民投票の民意とこれから－元山仁士郎さんに聞く,organization_event_report,2021,2021-03-13；正文第1段；2018-04-16创设及签名活动段；事件详情与讲者简介,基金会对讲座内容的公开记录及其中回顾的成立日、动员和程序叙述；正式角色优先引用官方记录。,E3,archived_verified,docs/human_review_return_HR022_metadata_batch31_v1.md,成立日仅作回顾性二手支持。
HR-022,HR022-026,S015,accept_with_revision,与那国に自衛隊いらない／配備反対の意見広告呼びかけ,party_news,2012,2012-08-31；实行委员会成立、三名共同代表、意见广告行动及住民投票背景各段,党媒报道的2012意见广告、实行委员会名称、共同代表和直接请求背景；仅作event/organization lead。,E2,archived_verified,docs/human_review_return_HR022_metadata_batch31_v1.md,不闭合A015独立身份或持续性。
HR-022,HR022-027,S180,accept_with_revision,佐賀県（図上訓練、令和７年２月１２日）,national_official,2025,实施日時；训练实施場所；想定；避难计划检讨会；现场确认；参加机构等,政府训练设定、计划讨论、点名集合/港口/救护节点及参加机构；不证明现实能力。,E4,archived_verified,docs/human_review_return_HR022_metadata_batch31_v1.md,训练不等于能力验证。
HR-022,HR022-028,S012,accept_with_revision,与那国駐屯地,official_defense,n.d.; accessed 2026,所在地；部隊・機関,访问时页面列明的驻屯地、地址和部队/机构；不支持环境影响或当地反应。,E4,archived_verified,docs/human_review_return_HR022_metadata_batch31_v1.md,删除environment_deployment连接。
HR-022,HR022-029,S114,accept_with_revision,宮古島環境クラブ,organization_site,n.d.; current content includes 2026-06-25–2026-07-04 event; accessed 2026-07-12,MECについて About us；新着情報,任意团体自述、宫古岛市活动范围、水边自然保护恢复、环境教育、生态旅游、教材、信息和人才培养。,E4,archived_verified,docs/human_review_return_HR022_metadata_batch31_v1.md,删除地下水保全和部署争议连接。
HR-022,HR022-030,S181,accept_with_revision,ONCの活動,organization_site,n.d.; content current through 2025-04; accessed 2026,主な活動；多文化共生まちづくり；KIP運営（沖縄市委託）,ONC自述项目组合、KIP受冲绳市委托运营及服务功能；不支持具体金额或付款日。,E4,archived_verified,docs/human_review_return_HR022_metadata_batch31_v1.md,保持独立项目页，不与S095主页机械折叠。
HR-022,HR022-031,S182,accept_with_revision,石垣市住民投票を求める会が解散　６年間の活動を支えてくれた市民に感謝,local_news,2024,2024-11-28；正文第1–5段；解散日、签名、诉讼终结及代表发言,报道的2024-11-27解散、约六年活动、签名行动和代表公开说法；最高裁程序只支持一般败诉终结。,E2,archived_verified,docs/human_review_return_HR022_metadata_batch32_v1.md,删除与QAB“冲突”说，改为程序简写不完整。
HR-022,HR022-032,S183,accept_with_revision,令和６年度　NPO等との協働実績調査結果,prefectural_official,FY2024; department names as of 2025-04; file created 2025-09-09,PDF p.1 616条与部门分布；p.2协作形态；p.4对象分类；p.6事业费汇总,"616条官方回答的代码定义、分组、数量和汇总；8,022,166千円仅为协作事业费汇总，不是actor付款。",E4,archived_verified,docs/human_review_return_HR022_metadata_batch32_v1.md,不批准display label为actor或relation。
HR-022,HR022-033,S184,accept_with_revision,知事公室における随意契約の実績（令和6年度1／四半期分）,official_contract_record,FY2024 Q1; file created 2024-12-20,PDF p.1第2项；p.2第11/12项；契约名称、日期、金额、相手方和理由栏,三项具名合同的名称、日期、契约金额、相手方和选择理由；两项OPAC合同保持分开。,E4,archived_verified,docs/human_review_return_HR022_metadata_batch32_v1.md,合同额不等于支付额、最终收款或运动资助。
