place,place_zh,edge_id,actor_id,actor_name,actor_class,semantic_candidate_v1,semantic_candidate_zh,fact_layer,evidence_level_original,edge_review_status_original,source_ref_original,r4_safe_source_visibility,r4_measurement_limit,r9_case_id,r9_accepted_stage_count,r9_mechanism_summary,candidate_explanation,local_retrieval_gap,place_guardrail
Ishigaki,石垣,AP015,A010,石垣島に軍事基地をつくらせない市民連絡会,citizen_network,site_presence,持续活动／服务在场,source_backed_candidate_edge,E4,ai_seeded,S016;S017,自治／公投=3;前线／台湾邻近／撤离=2;健康／生活安全=2;环境—部署连接=1;地下水／饮用水=0,bounded QA-safe online excerpts; counts are not local prevalence,R9C_ISHIGAKI_2018_2024,7,签名门槛达成仍可在议会议程和司法可诉性门槛被阻断，行动路径转向法院。,候选仅表示公开活动、服务或网络节点在场；不等于总部、法定登记地、稳定联盟或政治立场。,当前无需由本空间语义包新增当地任务；先完成人工语义／边级复核。,自治程序、反部署与生活安全分层；地下水线索不能从宫古类推。
Ishigaki,石垣,AP016,A011,石垣市住民投票を求める会,citizen_group,event_site,事件／程序场域,source_backed_candidate_edge,E4,ai_seeded,S018;S019,自治／公投=3;前线／台湾邻近／撤离=2;健康／生活安全=2;环境—部署连接=1;地下水／饮用水=0,bounded QA-safe online excerpts; counts are not local prevalence,R9C_ISHIGAKI_2018_2024,7,签名门槛达成仍可在议会议程和司法可诉性门槛被阻断，行动路径转向法院。,候选仅表示特定活动／公投／程序的发生场域；不外推为长期据点或持续组织能力。,当前无需由本空间语义包新增当地任务；先完成人工语义／边级复核。,自治程序、反部署与生活安全分层；地下水线索不能从宫古类推。
Miyako,宫古,AP017,A012,宮古島いのちの水を守ろう！,citizen_group,site_presence,持续活动／服务在场,candidate_with_explicit_evidence_gap,E3,needs_second_source,S020,前线／台湾邻近／撤离=2;地下水／饮用水=2;环境—部署连接=1;健康／生活安全=1;自治／公投=0,bounded QA-safe online excerpts; counts are not local prevalence,,0,当前 R9 正式包未建立该地公投案例链；这只是模块范围边界。,候选仅表示公开活动、服务或网络节点在场；不等于总部、法定登记地、稳定联盟或政治立场。,需核正式全称、持续性及与其他宫古地下水组织的关系。,地下水／饮用水是地方生活条件；一般环保活动不能自动写成反部署。
Miyako,宫古,AP018,A013,ミサイル基地いらない宮古島住民連絡会,citizen_network,site_presence,持续活动／服务在场,source_backed_candidate_edge,E4,ai_seeded,S021,前线／台湾邻近／撤离=2;地下水／饮用水=2;环境—部署连接=1;健康／生活安全=1;自治／公投=0,bounded QA-safe online excerpts; counts are not local prevalence,,0,当前 R9 正式包未建立该地公投案例链；这只是模块范围边界。,候选仅表示公开活动、服务或网络节点在场；不等于总部、法定登记地、稳定联盟或政治立场。,当前无需由本空间语义包新增当地任务；先完成人工语义／边级复核。,地下水／饮用水是地方生活条件；一般环保活动不能自动写成反部署。
Yonaguni,与那国,AP019,A014,住民投票を成功させるための実行委員会,executive_committee,event_site,事件／程序场域,candidate_with_explicit_evidence_gap,E2,needs_local_retrieval,S069;S010;S071,前线／台湾邻近／撤离=6;健康／生活安全=2;自治／公投=2;环境—部署连接=0;地下水／饮用水=0,bounded QA-safe online excerpts; counts are not local prevalence,R9C_YONAGUNI_2015,4,制度入口来自自治体条例，反对运动在制度外围争夺解释；投票结果再由行政解释。,候选仅表示特定活动／公投／程序的发生场域；不外推为长期据点或持续组织能力。,需八重山／与那国地方材料确认执委会正式名称、代表与持续性。,主框架为前线／台湾邻近、自治／公投与生命安全；本包不将其强行环境化。
Yonaguni,与那国,AP020,A015,与那国自衛隊配備反対意見広告実行委員会,executive_committee,advocacy_target,倡议／争议对象,candidate_with_explicit_evidence_gap,E2,needs_local_retrieval,S015,前线／台湾邻近／撤离=6;健康／生活安全=2;自治／公投=2;环境—部署连接=0;地下水／饮用水=0,bounded QA-safe online excerpts; counts are not local prevalence,R9C_YONAGUNI_2015,4,制度入口来自自治体条例，反对运动在制度外围争夺解释；投票结果再由行政解释。,地点是公开诉求、声明、诉讼或声援的对象；不证明组织在当地设点、驻在或结盟。 HR-003 指出该意见广告委员会主要由八重山／石垣侧推动；与那国是议题对象，不是办公室位置。,需意见广告实物或八重山报刊确认组织层身份；与那国仅为声援对象。,主框架为前线／台湾邻近、自治／公投与生命安全；本包不将其强行环境化。
Yonaguni,与那国,AP021,A016,与那国島の明るい未来を願うイソバの会,citizen_group,site_presence,持续活动／服务在场,human_reviewed_actor_place_edge,E3,human_checked,S052;S068,前线／台湾邻近／撤离=6;健康／生活安全=2;自治／公投=2;环境—部署连接=0;地下水／饮用水=0,bounded QA-safe online excerpts; counts are not local prevalence,R9C_YONAGUNI_2015,4,制度入口来自自治体条例，反对运动在制度外围争夺解释；投票结果再由行政解释。,候选仅表示公开活动、服务或网络节点在场；不等于总部、法定登记地、稳定联盟或政治立场。,活动及组织已交叉支持；成立、代表、持续组织细节仍需当地材料。,主框架为前线／台湾邻近、自治／公投与生命安全；本包不将其强行环境化。
Yonaguni,与那国,AP023,A017,沖縄対話プロジェクト,citizen_network,advocacy_target,倡议／争议对象,source_backed_candidate_edge,E3,ai_seeded,S022,前线／台湾邻近／撤离=6;健康／生活安全=2;自治／公投=2;环境—部署连接=0;地下水／饮用水=0,bounded QA-safe online excerpts; counts are not local prevalence,R9C_YONAGUNI_2015,4,制度入口来自自治体条例，反对运动在制度外围争夺解释；投票结果再由行政解释。,地点是公开诉求、声明、诉讼或声援的对象；不证明组织在当地设点、驻在或结盟。,当前无需由本空间语义包新增当地任务；先完成人工语义／边级复核。,主框架为前线／台湾邻近、自治／公投与生命安全；本包不将其强行环境化。
Yonaguni,与那国,AP025,A018,ノーモア沖縄戦 命どぅ宝の会,citizen_group,advocacy_target,倡议／争议对象,source_backed_candidate_edge,E3,ai_seeded,S023;S024,前线／台湾邻近／撤离=6;健康／生活安全=2;自治／公投=2;环境—部署连接=0;地下水／饮用水=0,bounded QA-safe online excerpts; counts are not local prevalence,R9C_YONAGUNI_2015,4,制度入口来自自治体条例，反对运动在制度外围争夺解释；投票结果再由行政解释。,地点是公开诉求、声明、诉讼或声援的对象；不证明组织在当地设点、驻在或结盟。,当前无需由本空间语义包新增当地任务；先完成人工语义／边级复核。,主框架为前线／台湾邻近、自治／公投与生命安全；本包不将其强行环境化。
Ishigaki,石垣,AP106,A065,南西諸島ピースネット,citizen_network,site_presence,持续活动／服务在场,candidate_with_explicit_evidence_gap,E3,needs_second_source,S036,自治／公投=3;前线／台湾邻近／撤离=2;健康／生活安全=2;环境—部署连接=1;地下水／饮用水=0,bounded QA-safe online excerpts; counts are not local prevalence,R9C_ISHIGAKI_2018_2024,7,签名门槛达成仍可在议会议程和司法可诉性门槛被阻断，行动路径转向法院。,候选仅表示公开活动、服务或网络节点在场；不等于总部、法定登记地、稳定联盟或政治立场。,需独立来源确认三岛节点、成员关系与持续性。,自治程序、反部署与生活安全分层；地下水线索不能从宫古类推。
