partner_display_label_id,partner_name_display_alias_machine,source_row_count,raw_source_literal_variant_count,department_count,mechanism_count,issue_field_count,dominant_mechanism_code,dominant_mechanism_label,department_names,mechanism_codes,issue_field_codes,source_row_numbers,contains_official_composite_cell,identity_status,interpretation_limit
S002PL046,社会福祉法人沖縄県社会福祉協議会,20,3,4,3,4,1,委託,こども未来部;保健医療介護部;教育庁;生活福祉部,1;4;6,1;2;8;13,60;61;62;63;64;65;66;67;71;79;80;81;82;83;163;191;292;314;317;521,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL052,公益社団法人沖縄県看護協会,15,1,3,1,1,1,委託,こども未来部;保健医療介護部;生活福祉部,1,1,77;192;268;288;295;303;304;305;306;307;308;309;310;322;323,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL133,一般社団法人沖縄県医師会,10,3,2,3,1,1,委託,こども未来部;保健医療介護部,1;4;5,1,212;217;220;222;223;224;255;258;272;299,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL020,公益財団法人沖縄県建設技術センター,10,2,2,2,5,1,委託,企画部;土木建築部,1;5,3;7;9;14;16,26;441;442;443;455;456;457;478;479;480,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL027,公益社団法人沖縄県緑化推進委員会,9,3,2,1,3,1,委託,土木建築部;環境部,1,4;7;19,37;38;39;458;470;477;481;488;490,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL093,特定非営利活動法人サポートセンターゆめさき,8,1,3,2,2,1,委託,こども未来部;商工労働部;教育庁,1;2,13;17,146;149;150;360;361;362;363;500,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL245,一般社団法人沖縄伝統空手道振興会,8,1,1,2,1,1,委託,文化観光スポーツ部,1;4,6,411;412;413;414;415;416;417;418,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL135,NPO法人アンビシャス,6,2,1,5,1,4,補助,保健医療介護部,1;4;7;8;9,1,214;215;233;236;252;253,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL140,一般社団法人沖縄県薬剤師会,6,3,2,3,2,4,補助,保健医療介護部;教育庁,1;4;5,1;13,225;226;227;228;289;590,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL145,一般財団法人沖縄美ら島財団,6,1,3,3,3,3,指定管理者制度による委任,保健医療介護部;土木建築部;教育庁,1;3;8,1;2;4,235;491;492;493;494;570,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL162,一般社団法人沖縄県歯科医師会,6,2,1,3,1,1,委託,保健医療介護部,1;5;8,1,259;261;266;267;274;290,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL127,公益社団法人沖縄県母子寡婦福祉連合会,5,1,1,3,1,1,委託,こども未来部,1;2;4,1,198;199;201;202;203,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL021,公益財団法人沖縄科学技術振興センター,5,1,2,2,2,2,提案型公募による委託,企画部;商工労働部,1;2,15;16,27;33;34;35;348,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL218,一般財団法人沖縄観光コンベンションビューロー,5,1,2,2,1,1,委託,土木建築部;文化観光スポーツ部,1;3,4,376;380;381;383;495,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL263,一般財団法人経済調査会,5,1,1,1,2,1,委託,土木建築部,1,3;14,439;440;447;453;454,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL303,公益社団法人沖縄県青少年育成県民会議,5,1,2,2,1,5,共催,教育庁;警察本部,5;8,13,524;553;557;606;607,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL050,一般社団法人沖縄県社会福祉士会,5,1,3,2,1,1,委託,こども未来部;保健医療介護部;生活福祉部,1;8,1,75;186;269;291;321,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL068,特定非営利活動法人おきなわ障がい者相談支援ネットワーク,4,1,1,1,1,1,委託,生活福祉部,1,1,104;105;108;116,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL013,社会福祉法人みやこ福祉会,4,2,3,1,3,1,委託,土木建築部;生活福祉部;総務部,1,4;7;17,14;135;486;489,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL089,公益社団法人沖縄被害者支援ゆいセンター,4,1,2,2,1,1,委託,生活福祉部;警察本部,1;5,9,140;141;600;601,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL094,労働者協同組合ワーカーズコープ・センター事業団,4,1,2,1,2,1,委託,こども未来部;商工労働部,1,13;17,147;148;358;359,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL129,NPO法人レインボーハートokinawa,4,2,3,4,3,1,委託,こども未来部;土木建築部;教育庁,1;6;9;10,3;10;13,204;466;499;591,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL019,公益社団法人沖縄県不動産鑑定士協会,4,2,1,3,1,5,共催,企画部,1;5;6,16,22;23;24;25,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL188,一般社団法人沖縄県介護支援専門員協会,4,1,1,1,1,1,委託,保健医療介護部,1,1,315;316;318;332,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL197,公益財団法人沖縄県農業振興公社,4,1,1,2,2,1,委託,農林水産部,1;4,5;17,335;336;337;338,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL215,(一財)沖縄観光コンベンションビューロー,4,1,1,1,1,1,委託,文化観光スポーツ部,1,4,372;373;378;379,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL308,沖縄県ユネスコ協会,4,1,1,2,4,6,後援,教育庁,4;6,3;10;11;13,529;545;548;551,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL311,一般社団法人沖縄県PTA連合会,4,3,1,3,2,6,後援,教育庁,4;6;7,2;13,533;535;550;593,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL355,(公財)沖縄県学校給食会,4,1,1,2,1,6,後援,教育庁,5;6,13,595;596;597;598,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL047,沖縄県社会福祉協議会,4,1,1,3,1,4,補助,生活福祉部,1;3;4,1,68;69;70;73,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL056,公益財団法人沖縄県労働者福祉基金協会,4,1,2,1,2,2,提案型公募による委託,商工労働部;生活福祉部,2,1;17,87;88;352;355,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL057,特定非営利活動法人沖縄県障がい者スポーツ協会,4,1,1,2,1,1,委託,生活福祉部,1;4,1,89;90;91;92,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL058,社会福祉法人沖縄県身体障害者福祉協会,4,2,1,2,1,1,委託,生活福祉部,1;4,1,93;99;112;128,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL010,特定非営利活動法人沖縄平和協力センター,3,1,2,2,2,2,提案型公募による委託,教育庁;知事公室,1;2,10;11,10;11;501,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL066,特定非営利活動法人名護市障がい者関係団体協議会,3,1,1,1,1,1,委託,生活福祉部,1,1,102;106;125,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL079,一般社団法人沖縄県精神保健福祉士協会,3,1,1,1,1,1,委託,生活福祉部,1,1,122;129;130,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL091,一般社団法人Co- Link,3,1,1,1,1,2,提案型公募による委託,こども未来部,2,13,143;144;162,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL116,一般社団法人沖縄県里親会,3,1,1,2,1,4,補助,こども未来部,1;4,1,178;179;184,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL120,NPO法人沖縄県学童・保育支援センター,3,2,1,1,2,2,提案型公募による委託,こども未来部,2,1;13,187;188;189,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL126,公益財団法人おきなわ女性財団,3,1,1,1,2,1,委託,こども未来部,1,1;12,197;205;206,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL131,公益社団法人沖縄看護協会,3,1,1,1,1,1,委託,こども未来部,1,1,208;209;211,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL147,一般社団法人沖縄県公認心理師協会,3,1,2,1,1,1,委託,保健医療介護部;教育庁,1,1,238;511;512,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL192,一般社団法人沖縄県中小企業診断士協会,3,2,3,2,2,2,提案型公募による委託,保健医療介護部;商工労働部;土木建築部,1;2,16;17,328;354;449,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL201,一般社団法人沖縄県漁業無線協会,3,1,1,1,1,1,委託,農林水産部,1,9,343;344;345,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL026,一般財団法人沖縄県公衆衛生協会,3,2,2,3,2,1,委託,企画部;環境部,1;2;4,7;15,36;40;41,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL253,公益財団法人沖縄県スポーツ協会,3,1,1,2,1,1,委託,文化観光スポーツ部,1;4,6,427;428;430,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL277,公益社団法人沖縄市シルバー人材センター,3,1,1,1,1,1,委託,土木建築部,1,17,472;474;476,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL288,公立学校共済組合,3,1,1,1,1,1,委託,教育庁,1,1,503;504;513,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL357,公益財団法人沖縄県防犯協会連合会,3,1,1,2,1,10,その他,警察本部,8;10,9,602;603;604,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL362,一般財団法人沖縄マリンレジャーセイフティービューロー,3,1,1,1,1,1,委託,警察本部,1,9,611;612;613,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL049,特定非営利活動法人介護と福祉の調査機関おきなわ,3,1,2,2,1,1,委託,保健医療介護部;生活福祉部,1;8,1,74;325;327,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL067,一般社団法人人文福祉会,2,1,1,1,1,1,委託,生活福祉部,1,1,103;107,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL071,社会福祉法人沖縄県視覚障害者福祉協会,2,1,1,2,1,1,委託,生活福祉部,1;4,1,111;118,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL077,国立大学法人琉球大学,2,1,2,2,2,1,委託,教育庁;生活福祉部,1;5,1;2,120;544,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL081,一般社団法人沖縄県作業療法士協会,2,1,1,1,1,1,委託,生活福祉部,1,1,124;127,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL088,特定非営利活動法人まちなか研究所わくわく,2,1,1,2,1,1,委託,生活福祉部,1;2,19,138;139,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL092,特定非営利活動法人侍学園スクオーラ・今人,2,1,1,2,1,1,委託,こども未来部,1;2,13,145;160,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL098,一般社団法人UTT,2,1,1,1,1,2,提案型公募による委託,こども未来部,2,13,154;158,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL100,一般社団法人宮古島こどもこそだてワクワク未来会議,2,1,1,1,1,2,提案型公募による委託,こども未来部,2,13,156;161,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL015,(一社)八重山ビジターズビューロー,2,1,1,2,1,1,委託,総務部,1;8,4,16;17,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL104,特定非営利活動法人おきなわCAPセンター,2,2,1,1,2,1,委託,こども未来部,1,1;13,165;168,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL110,社会福祉法人国際福祉会,2,1,1,1,1,4,補助,こども未来部,4,1,172;180,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL113,社会福祉法人偕生会,2,1,1,2,2,3,指定管理者制度による委任,こども未来部,3;4,1;13,175;181,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL017,公益社団法人石垣市シルバー人材センター,2,1,1,1,1,1,委託,総務部,1,7,19;20,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL123,公益社団法人沖縄県小児保健協会,2,1,2,2,1,1,委託,こども未来部;保健医療介護部,1;5,1,194;265,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL136,一般社団法人おきなわASK,2,1,1,2,1,1,委託,保健医療介護部,1;9,1,216;254,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL141,公益財団法人沖縄県生活衛生営業指導センター,2,1,1,2,1,1,委託,保健医療介護部,1;4,19,229;230,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL151,一般社団法人那覇市医師会,2,1,2,2,1,1,委託,保健医療介護部;教育庁,1;4,1,242;506,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL156,一般財団法人沖縄県精神保健福祉協会,2,1,1,2,1,1,委託,保健医療介護部,1;4,1,247;249,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL165,一般社団法人沖縄県歯科衛生士会,2,1,1,1,1,1,委託,保健医療介護部,1,1,263;264,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL169,公益社団法人沖縄県理学療法士協会,2,1,1,1,1,1,委託,保健医療介護部,1,1,275;276,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL171,国立大学法人琉球大学琉球大学病院,2,1,1,1,1,1,委託,保健医療介護部,1,1,278;296,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL022,学校法人沖縄科学技術大学院大学学園,2,1,1,1,1,2,提案型公募による委託,企画部,2,15,28;29,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL178,国立研究開発法人国立長寿医療研究センター,2,1,1,1,1,1,委託,保健医療介護部,1,1,285;286,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL179,社会福祉法人浴風会認知症介護研究・研修東京センター,2,1,1,1,1,1,委託,保健医療介護部,1,1,287;297,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL187,認定NPO法人アンビシャス,2,1,1,1,1,9,講師等,保健医療介護部,9,1,312;313,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL189,一般財団法人福祉サービス評価機構,2,1,1,1,1,1,委託,保健医療介護部,1,1,319;324,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL190,公益財団法人介護労働安定センター沖縄支部,2,1,1,1,1,1,委託,保健医療介護部,1,1,320;331,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL196,公益社団法人名護市シルバー人材センター,2,2,2,1,2,1,委託,保健医療介護部;土木建築部,1,3;7,334;469,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL200,一般財団法人沖縄県水産公社,2,1,1,1,1,1,委託,農林水産部,1,16,341;342,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL208,(公財)沖縄県労働福祉基金協会,2,1,1,1,1,1,委託,商工労働部,1,17,356;357,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
S002PL212,一般社団法人沖縄県溶接協会,2,1,1,2,1,6,後援,商工労働部,6;8,16,367;368,no,machine_display_alias_only_not_actor_identity,"Repeated source label; not an organization count, registry crosswalk, or network-centrality claim."
