actor_id,canonical_name_original,name_zh,name_ja,name_en,aliases,actor_class,origin_type,official_url,url_kind,source_id,last_checked,evidence_level,review_status_candidate,archive_status,interpretation_limit
A001,Okinawa Environmental Justice Project,,,Okinawa Environmental Justice Project,,international_advocacy_actor,mixed_or_network,https://okinawaejp.blogspot.com/,official_site,S006,2026-07-11,E4,ai_seeded,archived,"Candidate directory URL only. It identifies an organization-owned, formally administered, registry, or parent-organization page; it does not approve the actor's political position, relations, funding, influence, or every registry field. Human field review is required before default publication."
A002,ジュゴン保護キャンペーンセンター（Save the Dugong Campaign Center）,,ジュゴン保護キャンペーンセンター（Save the Dugong Campaign Center）,Save the Dugong Campaign Center,,international_advocacy_actor,japan_domestic,http://www.sdcc.jp/,official_site,S057,2026-07-11,E4,ai_seeded,archived,"Candidate directory URL only. It identifies an organization-owned, formally administered, registry, or parent-organization page; it does not approve the actor's political position, relations, funding, influence, or every registry field. Human field review is required before default publication."
A003,ジュゴンネットワーク沖縄,,ジュゴンネットワーク沖縄,Okinawa Dugong Network,,local_civic_actor,okinawa_local,,not_found,,,,ai_seeded,not_applicable,"No qualifying official site or formal organization page was identified in the actor-linked source set. This is a directory gap, not evidence that the actor lacks an online presence, is inactive, or is less important."
A004,日本自然保護協会,,日本自然保護協会,Nature Conservation Society of Japan (NACS-J),,domestic_japan_ngo,japan_domestic,https://www.nacsj.or.jp/,official_site,S004,2026-07-11,E4,ai_seeded,archived,"Candidate directory URL only. It identifies an organization-owned, formally administered, registry, or parent-organization page; it does not approve the actor's political position, relations, funding, influence, or every registry field. Human field review is required before default publication."
A005,WWFジャパン,,WWFジャパン,WWF Japan,,domestic_japan_ngo,japan_domestic,https://www.wwf.or.jp/,official_site,S003,2026-07-11,E4,ai_seeded,archived,"Candidate directory URL only. It identifies an organization-owned, formally administered, registry, or parent-organization page; it does not approve the actor's political position, relations, funding, influence, or every registry field. Human field review is required before default publication."
A006,グリーンピース・ジャパン,,グリーンピース・ジャパン,Greenpeace Japan,,domestic_japan_ngo,japan_domestic,,not_found,,,,ai_seeded,not_applicable,"No qualifying official site or formal organization page was identified in the actor-linked source set. This is a directory gap, not evidence that the actor lacks an online presence, is inactive, or is less important."
A007,ピースボート,,ピースボート,Peace Boat,,domestic_japan_ngo,japan_domestic,https://peaceboat.org/,official_site,S005,2026-07-11,E4,ai_seeded,archived,"Candidate directory URL only. It identifies an organization-owned, formally administered, registry, or parent-organization page; it does not approve the actor's political position, relations, funding, influence, or every registry field. Human field review is required before default publication."
A008,NGO非戦ネット,,NGO非戦ネット,NGO Nonwar Network,,citizen_network,japan_domestic,http://ngo-nowar.org/,official_site,S065,2026-07-11,E4,ai_seeded,archived,"Candidate directory URL only. It identifies an organization-owned, formally administered, registry, or parent-organization page; it does not approve the actor's political position, relations, funding, influence, or every registry field. Human field review is required before default publication."
A009,Earthjustice,,,Earthjustice,,international_advocacy_actor,us_origin,https://earthjustice.org/,official_site,S009,2026-07-11,E4,ai_seeded,archived,"Candidate directory URL only. It identifies an organization-owned, formally administered, registry, or parent-organization page; it does not approve the actor's political position, relations, funding, influence, or every registry field. Human field review is required before default publication."
A010,石垣島に軍事基地をつくらせない市民連絡会,,石垣島に軍事基地をつくらせない市民連絡会,Ishigaki Citizens' Liaison Council Against Military Base Construction,石垣島への自衛隊配備を止める住民の会,citizen_network,okinawa_local,,not_found,,,,ai_seeded,not_applicable,"No qualifying official site or formal organization page was identified in the actor-linked source set. This is a directory gap, not evidence that the actor lacks an online presence, is inactive, or is less important."
A011,石垣市住民投票を求める会,,石垣市住民投票を求める会,Association Seeking an Ishigaki City Referendum,,citizen_group,okinawa_local,,not_found,,,,ai_seeded,not_applicable,"No qualifying official site or formal organization page was identified in the actor-linked source set. This is a directory gap, not evidence that the actor lacks an online presence, is inactive, or is less important."
