record_id,actor_id,actor_name,person_name,person_name_normalized,role,role_family,period_start,period_end,period_label,period_semantics,source_type,source_url,source_locator,identity_status,review_status,package_scope,claim_status,frontend_eligibility,claim_boundary,notes
"H2PR001","X001","USO Okinawa","Robin M. Miller","Robin Miller","Area Director","executive_lead","2014-03-08","2014-03-08","observed 2014-03-08","event_date","DVIDS government news","https://www.dvidshub.net/news/122102/uso-awards-jsdf-us-service-members-commitment-community","story text and image caption","exact_name_observation","ai_seeded","research_only","candidate","excluded_research_only","The dated title is an event observation and does not establish the full term.","USMC/DVIDS also renders the name as Robin Miller."
"H2PR002","X001","USO Okinawa","J. Phil VanEtten","Phil VanEtten","Area Director","executive_lead","2018","2018","observed in 2018 sponsorship story","event_year","official organization story","https://okinawa.uso.org/stories/57","AEC donation story","name_variant_observed","ai_seeded","research_only","candidate","excluded_research_only","The source establishes the role in the cited event year only.","The official story uses Phil VanEtten in text."
"H2PR003","X001","USO Okinawa","Phil VanEtten","Phil VanEtten","Okinawa Area Director","executive_lead","2020-01-16","2020-01-16","observed 2020-01-16","event_date","official organization story","https://okinawa.uso.org/stories/87","Futenma reopening story","name_variant_observed","ai_seeded","research_only","candidate","excluded_research_only","The dated title is an event observation and does not establish uninterrupted tenure.","Official USO story."
"H2PR004","X001","USO Okinawa","Phil VanEtten","Phil VanEtten","Area Director","executive_lead","2021","2021","observed in 2021 service-member recognition story","event_year","official organization story","https://okinawa.uso.org/stories/123","Service Member of the Year story","name_variant_observed","ai_seeded","research_only","candidate","excluded_research_only","The source establishes the role in the cited event year only.","Official USO story."
"H2PR005","X001","USO Okinawa","J. Phil VanEtten","Phil VanEtten","Area Director","executive_lead","2025-05-09","2025-05-09","observed 2025-05-09","publication_date","Stripes page carrying USO Okinawa contribution","https://okinawa.stripes.com/community-news/uso-okinawa-mediatti.html","USO Okinawa contributed article","name_variant_observed","ai_seeded","research_only","candidate","excluded_research_only","The publication establishes a public title at that date and does not prove exact term boundaries.","Do not treat Stripes hosting as independent officer verification."
"H2PR006","X001","USO Okinawa","Henry Hughes","Henry Hughes","Area Director","executive_lead","2025-11-17","2025-11-17","observed 2025-11-17","event_date","official organization story","https://okinawa.uso.org/stories/336","AEC donation and center-refresh story","exact_name_observation","ai_seeded","research_only","candidate","excluded_research_only","The dated title is an event observation and does not establish the exact appointment date.","Official USO story."
"H2PR007","X001","USO Okinawa","Henry Hughes","Henry Hughes","Area Director","executive_lead","2026-07-20","2026-07-20","current page snapshot 2026-07-20","snapshot_date","official organization page","https://okinawa.uso.org/oao","Featured Staff","exact_name_observation","ai_seeded","research_only","candidate","excluded_research_only","Current-page presence must not be projected backward beyond separately dated evidence.","Live page snapshot."
"H2PR008","X001","USO Okinawa","Tim Adams","Tim Adams","Area Operations Manager","operations_management","2026-07-20","2026-07-20","current page snapshot 2026-07-20","snapshot_date","official organization page","https://okinawa.uso.org/oao","Featured Staff","exact_name_observation","ai_seeded","research_only","candidate","excluded_research_only","Current-page presence must not be projected backward or treated as a board role.","Live page snapshot."
"H2PR009","X001","USO Okinawa","Abbie Matherne","Abbie Matherne","Area Operations Specialist","operations_staff","2026-07-20","2026-07-20","current page snapshot 2026-07-20","snapshot_date","official organization page","https://okinawa.uso.org/oao","Featured Staff","exact_name_observation","ai_seeded","research_only","candidate","excluded_research_only","Current-page presence must not be projected backward or treated as a board role.","Live page snapshot."
"H2PR010","X004","American Welfare & Works Association (AWWA / 米国福祉事業協会)","Debi Panke","Debi Panke","President","executive_lead","2012-04-23","2012-04-23","observed 2012-04-23","event_date","DVIDS government news","https://www.dvidshub.net/news/87854/american-womens-welfare-association-celebrates-40-years","story text and image caption","exact_name_observation","ai_seeded","research_only","candidate","excluded_research_only","The dated title is an event observation and does not establish the full term.","The organization then used the American Women's Welfare Association name."
"H2PR011","X004","American Welfare & Works Association (AWWA / 米国福祉事業協会)","Julie Betz Cabrera","Julie Betz Cabrera","Executive President","executive_lead","2014","2014","fiscal year ending 2014","fiscal_year_roster","IRS filing via ProPublica","https://projects.propublica.org/nonprofits/organizations/980227149","FY2014 Key Employees and Officers","exact_name_observation","ai_seeded","research_only","candidate","excluded_research_only","A filing-year roster does not by itself establish exact appointment and departure dates.","Role spelling normalized from Exec. President."
"H2PR012","X004","American Welfare & Works Association (AWWA / 米国福祉事業協会)","Meghan Walsh","Meghan Walsh","Executive President","executive_lead","2015","2016","listed in FY2015 and FY2016 rosters","multiple_fiscal_year_rosters","IRS filings via ProPublica","https://projects.propublica.org/nonprofits/organizations/980227149","FY2015 and FY2016 Key Employees and Officers","exact_name_observation","ai_seeded","research_only","candidate","excluded_research_only","Repeated filing-year listings do not prove an uninterrupted term between filing dates.","Role spelling normalized from Exec. President."
"H2PR013","X004","American Welfare & Works Association (AWWA / 米国福祉事業協会)","Tracy Steele","Tracy Steele","President","executive_lead","2020","2020","fiscal year ending 2020","fiscal_year_roster","IRS filing via ProPublica","https://projects.propublica.org/nonprofits/organizations/980227149","FY2020 Key Employees and Officers","exact_name_observation","ai_seeded","research_only","candidate","excluded_research_only","A filing-year roster does not by itself establish exact appointment and departure dates.","A dated August 2020 USO event names E.J. Schulz as president; retain both observations as a timing issue."
"H2PR014","X004","American Welfare & Works Association (AWWA / 米国福祉事業協会)","E.J. Schulz","Elizabeth J Schulz","Secretary","administrative_officer","2020","2020","fiscal year ending 2020","fiscal_year_roster","IRS filing via ProPublica","https://projects.propublica.org/nonprofits/organizations/980227149","FY2020 Key Employees and Officers","name_variant_observed","ai_seeded","research_only","candidate","excluded_research_only","A filing-year roster does not by itself establish exact appointment and departure dates or identity expansion.","The filing renders the name as Ej Schulz."
"H2PR015","X004","American Welfare & Works Association (AWWA / 米国福祉事業協会)","E.J. Schulz","Elizabeth J Schulz","President","executive_lead","2020-08-28","2020-08-28","observed 2020-08-28","event_date","official recipient organization story","https://okinawa.uso.org/stories/81","AWWA grant presentation","name_variant_observed","ai_seeded","research_only","candidate","excluded_research_only","The dated title does not establish the full term; it should not overwrite the FY2020 roster observation.","The story text also spells the surname Shultz once; title and lead use Schulz."
"H2PR016","X004","American Welfare & Works Association (AWWA / 米国福祉事業協会)","Elizabeth J. Schulz","Elizabeth J Schulz","President","executive_lead","2021","2021","fiscal year ending 2021","fiscal_year_roster","IRS filing via ProPublica","https://projects.propublica.org/nonprofits/organizations/980227149","FY2021 Key Employees and Officers","name_variant_observed","ai_seeded","research_only","candidate","excluded_research_only","A filing-year roster does not by itself establish exact appointment and departure dates.","Potential expansion of E.J. Schulz requires human confirmation."
"H2PR017","X004","American Welfare & Works Association (AWWA / 米国福祉事業協会)","Amber Ford","Amber Ford","President","executive_lead","2022","2023","listed in FY2022 and FY2023 rosters","multiple_fiscal_year_rosters","IRS filings via ProPublica","https://projects.propublica.org/nonprofits/organizations/980227149","FY2022 and FY2023 Key Employees and Officers","exact_name_observation","ai_seeded","research_only","candidate","excluded_research_only","Repeated filing-year listings do not prove an uninterrupted term between filing dates.","Do not merge with Amber Tracy without independent identity evidence."
"H2PR018","X004","American Welfare & Works Association (AWWA / 米国福祉事業協会)","Amber Tracy","Amber Tracy","President","executive_lead","2024","2024","fiscal year ending 2024","fiscal_year_roster","IRS filing via ProPublica","https://projects.propublica.org/nonprofits/organizations/980227149","FY2024 Key Employees and Officers","exact_name_observation","ai_seeded","research_only","candidate","excluded_research_only","A filing-year roster does not by itself establish exact appointment and departure dates.","Potential cross-organization match with OESC is not yet human-reviewed."
"H2PR019","X004","American Welfare & Works Association (AWWA / 米国福祉事業協会)","Amber Nicole Tracy","Amber Tracy","President","executive_lead","2024-01-30","2024-01-30","observed 2024-01-30","event_date","recipient organization page","https://www.ambitious.or.jp/magazine/262/","donation visit report","name_variant_observed","ai_seeded","research_only","candidate","excluded_research_only","The recipient page establishes the public title at one event and does not prove term boundaries.","Middle-name expansion requires human confirmation against the filing."
"H2PR020","X004","American Welfare & Works Association (AWWA / 米国福祉事業協会)","Sylvia Black","Sylvia Black","Interpreter / Cultural Liaison","translation_liaison","2014","2024","listed FY2014-FY2016 and FY2020-FY2024","non_contiguous_fiscal_year_observations","IRS filings via ProPublica","https://projects.propublica.org/nonprofits/organizations/980227149","FY2014-FY2016 and FY2020-FY2024 Key Employees and Officers","exact_name_observation","ai_seeded","research_only","candidate","excluded_research_only","Non-contiguous filing observations do not prove continuous service through unobserved years.","Roles vary between Interpreter and Cultural Liaison / Interpreter."
"H2PR021","X004","American Welfare & Works Association (AWWA / 米国福祉事業協会)","Sylvia Maiko Black","Sylvia Black","Translator","translation_liaison","2024-01-30","2024-01-30","observed 2024-01-30","event_date","recipient organization page","https://www.ambitious.or.jp/magazine/262/","donation visit report","name_variant_observed","ai_seeded","research_only","candidate","excluded_research_only","The middle-name expansion and match to the filing name require human confirmation.","Recipient page uses 通訳."
"H2PR022","X004","American Welfare & Works Association (AWWA / 米国福祉事業協会)","Jen Yapsing","Jen Yapsing","Administrative Coordinator","administrative_officer","2023","2024","listed in FY2023 and FY2024 rosters","multiple_fiscal_year_rosters","IRS filings via ProPublica","https://projects.propublica.org/nonprofits/organizations/980227149","FY2023 and FY2024 Key Employees and Officers","exact_name_observation","ai_seeded","research_only","candidate","excluded_research_only","The filing name must not be merged with a similar NOSCO name without human review.","Possible spelling variant of Jennifer Yapshing."
"H2PR023","X004","American Welfare & Works Association (AWWA / 米国福祉事業協会)","Trinicia Kloepper","Trinicia Kloepper","Publicity","communications_officer","2023","2023","fiscal year ending 2023","fiscal_year_roster","IRS filing via ProPublica","https://projects.propublica.org/nonprofits/organizations/980227149","FY2023 Key Employees and Officers","exact_name_observation","ai_seeded","research_only","candidate","excluded_research_only","Exact-name overlap with KOSC remains a crosswalk candidate until human review.","No private relationship is inferred."
