stage_id,case_id,case_name,place,stage_order,stage_type,date_start,date_end,process_action,formal_basis,decision_body_or_forum,outcome,source_id,evidence_level,review_status,interpretation_limit,notes
R9ST001,R9C_NAGO_1997,1997 Nago heliport referendum,Nago,1,initiation,1997-06-27,,市民投票推进协议会向名护市提出条例制定请求准备,地方自治法第74条直接请求,Nago City,进入代表者证明与签名程序,R9S001,E4,ai_seeded,官方年表使用推进协议会名称；与A068规范名需核对,
R9ST002,R9C_NAGO_1997,1997 Nago heliport referendum,Nago,2,signature_request,1997-07-08,1997-09-16,取得代表者证明、一个月签名、提交并审查后直接请求条例,地方自治法第74条,Nago Election Administration Commission / Mayor,19734 submitted; 17539 valid; direct request filed,R9S001,E4,ai_seeded,签名数量是程序参与，不等同组织成员数,
R9ST003,R9C_NAGO_1997,1997 Nago heliport referendum,Nago,3,council_ordinance,1997-09-25,1997-10-06,市长附修正意见提交；市议会以17对11通过四选项修正案；条例公布,individual referendum ordinance,Nago City Council / Mayor,条例成立并设四项选择,R9S001,E4,ai_seeded,修正后的问题设计与市民团体原案不能混同,
R9ST004,R9C_NAGO_1997,1997 Nago heliport referendum,Nago,4,vote,1997-12-21,1997-12-21,实施名护市海上直升机场基地建设是非市民投票,municipal referendum ordinance,Nago Election Administration Commission,投开票完成,R9S003,E4,ai_seeded,咨询型投票，不能写成法律上阻止国家项目,
R9ST005,R9C_NAGO_1997,1997 Nago heliport referendum,Nago,5,result,1997-12-21,1997-12-21,合并条件选项后，反对票超过半数,municipal referendum ordinance,Nago City,反对合计16639、赞成合计14267（地方新闻回顾）,R9S004,E3,needs_human_review,最终票数应从名护市官方XLS人工复核,官方年表仅确认反对过半。
R9ST006,R9C_NAGO_1997,1997 Nago heliport referendum,Nago,6,post_result_executive,1997-12-24,1997-12-24,比嘉市长宣布接受海上基地并辞职,mayoral executive decision,Nago Mayor,行政决定与投票多数方向发生分离,R9S002,E4,ai_seeded,显示咨询型投票结果与行政决策不必一致,
R9ST007,R9C_YONAGUNI_2015,2015 Yonaguni JSDF-deployment referendum,Yonaguni,1,council_ordinance,2014-12-01,2014-12-01,制定关于自卫队基地建设民意的个别住民投票条例,Yonaguni Ordinance No.23,Yonaguni Town Council / Mayor,条例成立,R9S005,E3,needs_human_review,缺町公报/议会原始议决记录,
R9ST008,R9C_YONAGUNI_2015,2015 Yonaguni JSDF-deployment referendum,Yonaguni,2,ordinance_amendment,2015-01-13,2015-01-16,两次修正条例；调整投票制度细节,Yonaguni Ordinance No.1 and No.2,Yonaguni Town Council / Mayor,修正后进入实施阶段,R9S005,E3,needs_human_review,修正内容与表决过程需町议会原始记录,
R9ST009,R9C_YONAGUNI_2015,2015 Yonaguni JSDF-deployment referendum,Yonaguni,3,campaign_mobilization,2015-01-01,2015-02-22,反对侧委员会围绕部署、前线化与投票过程开展行动,public campaign,Public sphere / referendum campaign,存在具名委员会线索,R9S008,E2,needs_human_review,A014正式名称、代表、持续性不闭环,
R9ST010,R9C_YONAGUNI_2015,2015 Yonaguni JSDF-deployment referendum,Yonaguni,4,vote,2015-02-22,2015-02-22,实施沿岸监视部队等部署是非住民投票,Yonaguni Ordinance No.23 as amended,Yonaguni Election Administration Commission,投开票完成,R9S005,E3,ai_seeded,不是由A014单独实施,
R9ST011,R9C_YONAGUNI_2015,2015 Yonaguni JSDF-deployment referendum,Yonaguni,5,result,2015-02-22,2015-02-22,赞成632、反对445、无效17,referendum result,Yonaguni Town,部署赞成票占多数,R9S007,E3,needs_human_review,选管官方结果表尚未在线取得,
R9ST012,R9C_YONAGUNI_2015,2015 Yonaguni JSDF-deployment referendum,Yonaguni,6,post_result_executive,2015-03-01,,町长在施政方针中称结果使部署争议“决着”，同时承认约四成反对,municipal policy statement,Yonaguni Mayor,行政以推进部署为方向解释结果,R9S006,E4,ai_seeded,这是町长解释，不等于全体町民共识,
R9ST013,R9C_PREF_2019,2019 Okinawa Henoko prefectural referendum,Okinawa Prefecture,1,initiation,2018-04-16,2018-05-22,「辺野古」県民投票の会成立并准备直接请求,civic initiative,Civil-society organizing,形成发起组织,R9S021,E3,needs_human_review,成立日与代表角色来自后续讲座记录；需当时组织原始材料,
R9ST014,R9C_PREF_2019,2019 Okinawa Henoko prefectural referendum,Okinawa Prefecture,2,signature_collection,2018-05-23,2018-07-23,全县签名活动并经市町村选管审查,地方自治法第74条,Municipal election commissions,有效签名92848，远超法定23171,R9S013,E4,ai_seeded,签名者不是组织成员,
R9ST015,R9C_PREF_2019,2019 Okinawa Henoko prefectural referendum,Okinawa Prefecture,3,direct_request,2018-09-05,2018-09-05,向冲绳县提出条例制定直接请求,地方自治法第74条第1项,Okinawa Prefecture,县受理并付议,R9S009,E4,ai_seeded,组织角色仍需单独一手资料,
R9ST016,R9C_PREF_2019,2019 Okinawa Henoko prefectural referendum,Okinawa Prefecture,4,assembly_ordinance,2018-09-20,2018-10-31,县议会审议并制定县民投票条例第62号,Okinawa Prefectural Ordinance No.62,Okinawa Prefectural Assembly / Governor,两选项条例公布,R9S010,E4,ai_seeded,条例由直接请求启动但经议会/知事制度化,
R9ST017,R9C_PREF_2019,2019 Okinawa Henoko prefectural referendum,Okinawa Prefecture,5,ordinance_amendment,2019-01-29,2019-01-31,为全县实施妥协加入“どちらでもない”第三选项,Okinawa Prefectural Ordinance No.1,Okinawa Prefectural Assembly / Governor,三选项修正公布，五市转为实施,R9S011,E4,ai_seeded,选择项变化是关键制度阶段,
R9ST018,R9C_PREF_2019,2019 Okinawa Henoko prefectural referendum,Okinawa Prefecture,6,vote,2019-02-24,2019-02-24,全41市町村实施县民投票,Prefectural Ordinance No.62 as amended,Governor / municipal election administration,投票总数605385，投票率52.48%,R9S012,E4,ai_seeded,投票是咨询/民意表达机制,
R9ST019,R9C_PREF_2019,2019 Okinawa Henoko prefectural referendum,Okinawa Prefecture,7,result_notification,2019-02-24,2019-03-01,反对434273（71.7%）、赞成114933、どちらでもない52682；知事向日美政府通知,条例第10条,Governor / Japan and U.S. executive targets,明确反对多数并转为外部通知/倡议资源,R9S012,E4,ai_seeded,结果不具有直接停止工程的法律效力,
R9ST020,R9C_ISHIGAKI_2018_2024,Ishigaki JSDF-deployment referendum drive and litigation,Ishigaki,1,signature_collection,2018-10-01,2018-12-20,居民收集有效签名并向市长请求实施住民投票,自治基本条例第28条、地方自治法第74条,Ishigaki residents / Election Administration Commission,14263有效签名，超过38799选民的四分之一,R9S015,E4,ai_seeded,法院判决确认程序事实，但未用组织名归属全部行动,
R9ST021,R9C_ISHIGAKI_2018_2024,Ishigaki JSDF-deployment referendum drive and litigation,Ishigaki,2,direct_request,2018-12-20,2018-12-20,27名请求代表向石垣市长提出条例制定/实施请求,自治基本条例第28条、地方自治法第74条,Ishigaki Mayor,市长收受请求并提交条例案,R9S015,E4,ai_seeded,A011与27名代表的组织映射仍需人工,
R9ST022,R9C_ISHIGAKI_2018_2024,Ishigaki JSDF-deployment referendum drive and litigation,Ishigaki,3,council_rejection,2019-02-01,2019-02-04,石垣市议会首次否决实施条例案,municipal ordinance bill,Ishigaki City Council,条例未成立、投票未实施,R9S014,E4,ai_seeded,附属PDF的议决票数待人工记录,
R9ST023,R9C_ISHIGAKI_2018_2024,Ishigaki JSDF-deployment referendum drive and litigation,Ishigaki,4,second_council_rejection,2019-06-01,2019-06-30,市长再次付议相近条例案，市议会第二次否决,municipal ordinance bill,Ishigaki City Council,条例再次未成立,R9S015,E4,ai_seeded,准确议决日/票数需议会原记录,
R9ST024,R9C_ISHIGAKI_2018_2024,Ishigaki JSDF-deployment referendum drive and litigation,Ishigaki,5,judicial_filing,2019-09-01,2019-09-30,请求代表/签名居民提起实施义务付け等行政诉讼,Administrative Case Litigation Act,Naha District Court,案件令和1年行ウ14/15进入司法,R9S016,E4,ai_seeded,法院匿名化原告，组织支持角色需另证,
R9ST025,R9C_ISHIGAKI_2018_2024,Ishigaki JSDF-deployment referendum drive and litigation,Ishigaki,6,district_court_result,2020-08-27,2020-08-27,那霸地裁以义务付け对象的处分性等理由驳回诉,Administrative Case Litigation Act,Naha District Court,原告之诉全部却下,R9S015,E4,ai_seeded,程序性却下不等于法院判断部署政策是非,
R9ST026,R9C_ISHIGAKI_2018_2024,Ishigaki JSDF-deployment referendum drive and litigation,Ishigaki,7,ordinance_framework_change,2021-06-01,2021-06-30,市议会修正自治基本条例，删除住民投票第27/28条,municipal ordinance amendment,Ishigaki City Council,常设住民投票条款被删除,R9S018,E4,ai_seeded,制度渠道本身在争议后发生变化,
R9ST027,R9C_ISHIGAKI_2018_2024,Ishigaki JSDF-deployment referendum drive and litigation,Ishigaki,8,follow_on_litigation,2021-01-01,2024-09-30,居民继续以投票地位确认等路径上诉/另诉至最高裁,civil/administrative status-confirmation litigation,High Court / Supreme Court,2024年9月败诉确定（媒体）,R9S019,E3,needs_human_review,需取得一二审案号、判决书与最高裁决定书，避免混同两条诉讼,
R9ST028,R9C_ISHIGAKI_2018_2024,Ishigaki JSDF-deployment referendum drive and litigation,Ishigaki,9,organizational_close,2024-11-27,2024-11-27,石垣市住民投票を求める会举行解散集会,organizational decision,A011 / public meeting,六年活动结束,R9S019,E3,needs_human_review,现有官网域名已失效/被无关站点占用，需Web Archive,
