source_candidate_id,title,year,owner,source_type,url,used_for,evidence_level,archive_or_access_status,review_status,notes
R10S01,令和6年度「NPO等との協働実績調査」,2025,Okinawa Prefecture,official_collaboration_table,https://www.pref.okinawa.lg.jp/_res/projects/default_project/_page_/001/004/917/2r6hp.pdf,"FY2024 prefectural collaboration partner period and whole-project cost rows",E4,web_verified,new_candidate,"Project-cost column is not automatically a payment/award amount."
R10S02,沖縄NGOセンター 2024年度事業報告書等,2025,Cabinet Office NPO Portal / ONC,statutory_NPO_report,https://www.npo-homepage.go.jp/npoportal/document/047021403/hokoku/2024700/2024%E5%B9%B4%E5%BA%A6%E4%BA%8B%E6%A5%AD%E5%A0%B1%E5%91%8A%E6%9B%B8%E7%AD%89.pdf,"ONC project descriptions and project-cost observations",E4,archived_as_S099,existing_main_source_S099,"Project costs are organization-side accounting observations not contract payment amounts."
R10S03,2019年度 JICA教師海外研修（九州・沖縄）報告書,2020,JICA Okinawa,official_project_report,https://www.jica.go.jp/domestic/kyushu/activities/kaihatsu/__icsFiles/afieldfile/2025/03/27/report_2019.pdf,"ONC contractor role and program content",E4,archived_as_S100,existing_main_source_S100,"Report names ONC as contractor but states no contract amount."
R10S04,令和8年度 NGO相談員リスト,2026,Ministry of Foreign Affairs,official_designation_list,https://www.mofa.go.jp/mofaj/gaiko/oda/about/shimin/pagew_000001_00006.html,"ONC designated NGO consultant role and service definition",E4,web_verified_archive_failed_403_as_S101,existing_main_source_S101,"No amount is published."
R10S05,令和元年度沖縄振興特別推進交付金事業検証シート（沖縄市）,2020,Okinawa City,official_funds_flow_sheet,https://www.city.okinawa.okinawa.jp/documents/1858/1kanryou.pdf,"FY2019 KIP commission fee paid to ONC",E4,web_verified,new_candidate,"Official flow chart labels JPY17.157m as commission fee to ONC."
R10S06,令和2年度沖縄振興特別推進交付金事業検証シート（沖縄市）,2021,Okinawa City,official_funds_flow_sheet,https://www.city.okinawa.okinawa.jp/documents/1858/2kannryou.pdf,"FY2020 KIP commission fee paid to ONC",E4,web_verified,new_candidate,"Official flow chart labels JPY16.97m as commission fee."
R10S07,令和6年度沖縄振興特別推進交付金事業検証シート（沖縄市）,2025,Okinawa City,official_funds_flow_sheet,https://www.city.okinawa.okinawa.jp/documents/1858/r0607okinawashi.pdf,"FY2024 KIP funds flow and ONC commission fee",E4,web_verified,new_candidate,"Shows JPY16.662m eligible commission flow plus JPY2.196m outside eligible costs; accounting scope needs care."
R10S08,令和6年度第3回沖縄県多文化共生社会の構築に関する万国津梁会議 議事概要,2024,Okinawa Prefecture,official_meeting_minutes,https://www.pref.okinawa.jp/_res/projects/default_project/_page_/001/034/046/3gaiyo.pdf,"ONC secretariat role and institutional participants",E4,web_verified,new_candidate,"Role evidence only; no separate amount."
R10S09,ONCの活動,2026,Okinawa NGO Center,organization_program_page,https://www.oki-ngo.org/project,"KIP service function city-commission description and NGO consultant service",E4,web_verified_existing_site_S095,new_candidate_related_to_S095,"Organization-side description does not substitute for payment evidence."
R10S10,コザインターナショナルプラザ（KIP）について,2024,Okinawa City,official_facility_page,https://www.city.okinawa.okinawa.jp/k034/sportsbunka/bunkarekishi/bunkageijutsu/3938939394.html,"Public-facing KIP service scope",E4,web_verified,new_candidate,"Service/site evidence only."
