fact_id,schema_version,selection_frame_id,regime_id,subject_raw,subject_type,subject_actor_id,relation_type,object_raw,object_type,object_actor_id,rule_summary,condition_or_trigger,source_id,locator,document_date,evidence_level,review_status,human_decision,claim_status,confirmed_scope,missing_scope,interpretation_limit,graph_eligibility,network_metric_eligibility,package_scope,frontend_status,central_writeback,provenance_lead_ids
BGR-F001,BGR-1.0.0,BGR-SF01,BGR-RG01,"private organization operating on MCIPAC-MCBB facilities","private_organization_class",,legal_status_boundary,"non-federal entity; not a federal agency; not a NAFI","legal_status",,"The rule defines a PO as a non-federal entity operated by individuals outside federal official capacity and not as a NAFI","general MCIPAC PO rule",BGR-SR001,"enclosure p.1-1 paras 1.a-1.b",2022-11-08,E4,ai_seeded,,supported_bounded,"generic MCIPAC PO legal position","named actor status and authorization history","Non-federal status does not imply independence from installation access rules and does not establish political position",administrative_record,not_eligible,research_only,not_frontend_ready,no,"UF-BPG-001"
BGR-F002,BGR-1.0.0,BGR-SF01,BGR-RG01,"CG MCIPAC-MCBB / delegated Deputy Commander","installation_command",,installation_authorization,"private organization","private_organization_class",,"Written permission is required to operate on MCIPAC-MCBB facilities and areas","authorization applies to operation on installation facilities/areas",BGR-SR001,"enclosure p.1-2 para 5.a",2022-11-08,E4,ai_seeded,,supported_bounded,"authorization authority and permission requirement","named authorization letters and effective periods","Permission to operate is not organizational ownership, affiliation, funding or internal control",administrative_record,not_eligible,research_only,not_frontend_ready,no,"UF-BPG-001;UF-BPG-002"
BGR-F003,BGR-1.0.0,BGR-SF01,BGR-RG01,"MCIPAC-MCBB MCCS Director / MCCS Executive Branch","program_administrator",,administrative_monitoring,"private organization","private_organization_class",,"MCCS processes operating requests, maintains cognizance and may audit PO operations for compliance","general PO program administration",BGR-SR001,"order p.2 para 3.b.(2)(a-c)",2022-11-08,E4,ai_seeded,,supported_bounded,"application processing, compliance monitoring and audit authority","frequency and actor-specific audit actions","Administrative monitoring is not MCCS affiliation, internal governance control or financial support",administrative_record,not_eligible,research_only,not_frontend_ready,no,"UF-BPG-002;UF-BPG-003"
BGR-F004,BGR-1.0.0,BGR-SF01,BGR-RG01,"private organization","private_organization_class",,compliance_reporting,"MCIPAC-MCBB MCCS","program_administrator",,"Each PO must prepare and submit an annual budget forecast covering budgeted income and expenses by quarter","at the end of the current reporting period",BGR-SR001,"enclosure p.1-3 para 6",2022-11-08,E4,ai_seeded,,supported_bounded,"annual budget forecast obligation","named submissions, receipt dates and contents","A rule requiring submission does not prove that any specific actor's budget was obtained or publicly available",administrative_record,not_eligible,research_only,not_frontend_ready,no,"UF-BPG-003"
BGR-F005,BGR-1.0.0,BGR-SF01,BGR-RG01,"private organization","private_organization_class",,compliance_reporting,"MCIPAC-MCBB MCCS","program_administrator",,"Each PO must submit a financial statement, meeting minutes, compliance checklist and updated contact list","within 20 days after each reporting quarter",BGR-SR001,"enclosure p.1-4 para 8",2022-11-08,E4,ai_seeded,,supported_bounded,"quarterly reporting classes and deadline","named submissions, retention period and public accessibility","The obligation creates a reporting stream but does not prove every historical file is retained or releasable",administrative_record,not_eligible,research_only,not_frontend_ready,no,"UF-BPG-003"
BGR-F006,BGR-1.0.0,BGR-SF01,BGR-RG01,"private organization members","private_person_collective",,private_liability_boundary,"private organization obligations","liability_object",,"Bylaws must certify that members understand possible personal liability when PO assets are insufficient","applies through PO constitution/bylaws",BGR-SR001,"enclosure p.1-3 para 5.b.(6)",2022-11-08,E4,ai_seeded,,supported_bounded,"generic member-liability clause","named bylaws and actual liabilities","This does not determine the civil-law liability of a named member in a specific dispute",administrative_record,not_eligible,research_only,not_frontend_ready,no,"UF-BPG-001"
BGR-F007,BGR-1.0.0,BGR-SF01,BGR-RG01,"MCIPAC-MCBB","installation_command",,private_liability_boundary,"private organization activities and assets","liability_object",,"MCIPAC states that it will not assume liability or obligations for PO activities or assets","general insurance/property rule",BGR-SR001,"enclosure p.1-5 para 14",2022-11-08,E4,ai_seeded,,supported_bounded,"government non-assumption of PO liability","actor-specific insurance and claim history","Non-assumption of liability does not itself establish that no lawful logistical support was ever provided",administrative_record,not_eligible,research_only,not_frontend_ready,no,"UF-BPG-001;UF-BPG-005"
BGR-F008,BGR-1.0.0,BGR-SF01,BGR-RG01,"private organization continuously using DoD facility or space","private_organization_class",,facility_license_requirement,"real-estate license","authorization_instrument",,"Continuous use of a DoD facility or space requires a real-estate license","continuous rather than occasional use",BGR-SR001,"enclosure p.1-8 para 19.c",2022-11-08,E4,ai_seeded,,supported_bounded,"generic license requirement","named license, room, rent and duration","The rule does not prove that a named organization holds a license or occupies a free room",administrative_record,not_eligible,research_only,not_frontend_ready,no,"UF-BPG-005"
BGR-F009,BGR-1.0.0,BGR-SF01,BGR-RG01,"MCIPAC-MCBB facilities/comptroller","installation_service_interface",,reimbursable_support_terms,"private organization licensee","private_organization_class",,"Utilities, materials, services and other costs tied to continuous facility use are reimbursable and may require advance payment","when government utilities/materials/services are provided under continuing use",BGR-SR001,"order p.2 para 3.b.(4)(c) and 3.b.(6); enclosure p.1-8 para 19.c",2022-11-08,E4,ai_seeded,,supported_bounded,"cost-recovery rule and advance-payment mechanism","named amounts, invoices, waivers and actual payments","A reimbursable-support rule is not evidence that support occurred, was free or constituted a grant",administrative_record,not_eligible,research_only,not_frontend_ready,no,"UF-BPG-005;UF-BPG-006"
BGR-F010,BGR-1.0.0,BGR-SF01,BGR-RG01,"private organization","private_organization_class",,reimbursable_support_terms,"equipment, supplies and materials","resource_class",,"POs are responsible for furnishing or procuring their own equipment, supplies and materials at their own expense","unless a specific lawful exception applies",BGR-SR001,"enclosure p.1-8 para 19.d",2022-11-08,E4,ai_seeded,,supported_bounded,"generic self-procurement rule","named purchases and lawful exceptions","The general rule cannot be used to deny a documented actor-specific support transaction",administrative_record,not_eligible,research_only,not_frontend_ready,no,"UF-BPG-006"
