task_id,review_object,actor_id,actor_name,issue_id,issue_label,claim,source_keys,evidence_level,scope,explanation_boundary,decision,reviewer,review_date,review_note
HR010-B6-001,edge_evidence_addendum,A087,NPO法人世界版「平和の礎」を提案する会,I019,peace,法人定款和自有说明以世界恒久和平的创造为明确目的。,EA-S007;EA-S008,E4,positioning,法定目的不等于所有计划均已实施。,accept,project_principal_user,2026-07-20,项目负责人确认：来源直接支持该 actor—issue 映射，按现有 scope 与 explanation_boundary 冻结；不批准联盟、资金、因果或未写明的持续性。
HR010-B6-002,edge_evidence_addendum,A087,NPO法人世界版「平和の礎」を提案する会,I025,anti_war,法人目的明确包含废除战争与核武器。,EA-S007;EA-S008,E4,positioning,属于组织定位，不推断具体反基地行动。,accept,project_principal_user,2026-07-20,项目负责人确认：来源直接支持该 actor—issue 映射，按现有 scope 与 explanation_boundary 冻结；不批准联盟、资金、因果或未写明的持续性。
HR010-B6-003,edge_evidence_addendum,A087,NPO法人世界版「平和の礎」を提案する会,I015,international_cooperation,法人定款把国际合作与国际相互理解列为活动目的，并计划向世界提出网络纪念项目。,EA-S007;EA-S008,E4,positioning,国际意向不等于已形成国际合作关系。,accept,project_principal_user,2026-07-20,项目负责人确认：来源直接支持该 actor—issue 映射，按现有 scope 与 explanation_boundary 冻结；不批准联盟、资金、因果或未写明的持续性。
HR010-B6-004,edge_evidence_addendum,A088,特定非営利活動法人沖縄平和協力センター,I019,peace,JICA官方组织介绍将OPAC界定为以和平为轴、开展和平学习与人才培养的机构。,EA-S010;EA-S011,E4,positioning,机构兼具安全保障研究功能，不应自动编码为反基地。,accept,project_principal_user,2026-07-20,项目负责人确认：来源直接支持该 actor—issue 映射，按现有 scope 与 explanation_boundary 冻结；不批准联盟、资金、因果或未写明的持续性。
HR010-B6-005,edge_evidence_addendum,A088,特定非営利活動法人沖縄平和協力センター,I015,international_cooperation,OPAC持续开展国际和平合作，并作为指定团体参与柬埔寨和平博物馆人才培养项目。,EA-S011;EA-S010,E4,case,项目角色不等于资金金额或运动关系。,accept,project_principal_user,2026-07-20,项目负责人确认：来源直接支持该 actor—issue 映射，按现有 scope 与 explanation_boundary 冻结；不批准联盟、资金、因果或未写明的持续性。
HR010-B6-006,edge_evidence_addendum,A089,沖縄県教職員組合,I019,peace,沖教組把和平与民主教育作为持续组织目标。,EA-S012,E4,positioning,教育工会的和平定位不等于每个分会采取相同具体行动。,accept,project_principal_user,2026-07-20,项目负责人确认：来源直接支持该 actor—issue 映射，按现有 scope 与 explanation_boundary 冻结；不批准联盟、资金、因果或未写明的持续性。
HR010-B6-007,edge_evidence_addendum,A089,沖縄県教職員組合,I025,anti_war,沖教組以“不再把学生送上战场”为基本理念。,EA-S012,E4,positioning,属于反战教育定位，不自动等于反对每一项军事政策。,accept,project_principal_user,2026-07-20,项目负责人确认：来源直接支持该 actor—issue 映射，按现有 scope 与 explanation_boundary 冻结；不批准联盟、资金、因果或未写明的持续性。
HR010-B6-008,edge_evidence_addendum,A090,沖縄県高等学校障害児学校教職員組合,I019,peace,高教組官网把和平、人权与环境学习列为活动，并持续参加5·15和平行进。,EA-S014,E4,positioning,共同参加行进不构成稳定联盟。,accept,project_principal_user,2026-07-20,项目负责人确认：来源直接支持该 actor—issue 映射，按现有 scope 与 explanation_boundary 冻结；不批准联盟、资金、因果或未写明的持续性。
HR010-B6-009,edge_evidence_addendum,A090,沖縄県高等学校障害児学校教職員組合,I001,anti_base,高教組官网将5·15和平行进表述为追求‘没有基地的和平冲绳’的年度活动。,EA-S014,E4,event,活动层连接，不外推为全部工会工作的单一定位。,accept,project_principal_user,2026-07-20,项目负责人确认：来源直接支持该 actor—issue 映射，按现有 scope 与 explanation_boundary 冻结；不批准联盟、资金、因果或未写明的持续性。
HR010-B6-010,edge_evidence_addendum,A091,日本労働組合総連合会沖縄県連合会（連合沖縄）,I023,human_rights,连合沖縄在针对驻日美军人员性暴力的正式抗议中明确要求保障县民人权。,EA-S016,E4,event,事件特定；不把受害者信息或全部基地议题泛化。,accept,project_principal_user,2026-07-20,项目负责人确认：来源直接支持该 actor—issue 映射，按现有 scope 与 explanation_boundary 冻结；不批准联盟、资金、因果或未写明的持续性。
