review_item_id,domain,object_id,field_name,decision,confirmed_value_or_rule,human_reviewer,review_date,required_boundary,decision_source_report
HR029-001,actor_field,A087,actor_class,accept,local_npo,project_principal_user,2026-07-20,"This is a schema/assignment candidate only; it does not approve actor scope, edges or substantive interpretation.",docs/human_review_return_remaining_online_145_v1.md
HR029-002,actor_field,A088,actor_class,accept,local_npo,project_principal_user,2026-07-20,"This is a schema/assignment candidate only; it does not approve actor scope, edges or substantive interpretation.",docs/human_review_return_remaining_online_145_v1.md
HR029-003,actor_field,A089,actor_class,accept,labor_union,project_principal_user,2026-07-20,"This is a schema/assignment candidate only; it does not approve actor scope, edges or substantive interpretation.",docs/human_review_return_remaining_online_145_v1.md
HR029-004,actor_field,A090,actor_class,accept,labor_union,project_principal_user,2026-07-20,"This is a schema/assignment candidate only; it does not approve actor scope, edges or substantive interpretation.",docs/human_review_return_remaining_online_145_v1.md
HR029-005,actor_field,A091,actor_class,accept,labor_union,project_principal_user,2026-07-20,"This is a schema/assignment candidate only; it does not approve actor scope, edges or substantive interpretation.",docs/human_review_return_remaining_online_145_v1.md
HR029-006,actor_field,A092,actor_class,accept,labor_union,project_principal_user,2026-07-20,"This is a schema/assignment candidate only; it does not approve actor scope, edges or substantive interpretation.",docs/human_review_return_remaining_online_145_v1.md
HR029-007,actor_field,A093,actor_class,accept,labor_union,project_principal_user,2026-07-20,"This is a schema/assignment candidate only; it does not approve actor scope, edges or substantive interpretation.",docs/human_review_return_remaining_online_145_v1.md
HR029-008,actor_field,A095,actor_class,accept,citizen_group,project_principal_user,2026-07-20,"This is a schema/assignment candidate only; it does not approve actor scope, edges or substantive interpretation.",docs/human_review_return_remaining_online_145_v1.md
HR029-009,actor_field,A096,actor_class,accept,citizen_network,project_principal_user,2026-07-20,"This is a schema/assignment candidate only; it does not approve actor scope, edges or substantive interpretation.",docs/human_review_return_remaining_online_145_v1.md
HR029-010,actor_field,A097,actor_class,accept,local_civic_actor,project_principal_user,2026-07-20,"This is a schema/assignment candidate only; it does not approve actor scope, edges or substantive interpretation.",docs/human_review_return_remaining_online_145_v1.md
HR029-011,actor_field,A098,actor_class,accept,local_npo,project_principal_user,2026-07-20,"This is a schema/assignment candidate only; it does not approve actor scope, edges or substantive interpretation.",docs/human_review_return_remaining_online_145_v1.md
HR029-012,actor_field,A099,actor_class,accept,citizen_network,project_principal_user,2026-07-20,"This is a schema/assignment candidate only; it does not approve actor scope, edges or substantive interpretation.",docs/human_review_return_remaining_online_145_v1.md
HR029-013,actor_field,A100,actor_class,accept,citizen_group,project_principal_user,2026-07-20,"This is a schema/assignment candidate only; it does not approve actor scope, edges or substantive interpretation.",docs/human_review_return_remaining_online_145_v1.md
HR029-014,actor_field,A101,actor_class,accept,citizen_network,project_principal_user,2026-07-20,"This is a schema/assignment candidate only; it does not approve actor scope, edges or substantive interpretation.",docs/human_review_return_remaining_online_145_v1.md
HR029-016,alias,A106,alias_type,revise,项目负责人确认：revise；保留 canonical“辺野古の海を土砂で埋めるな！首都圏連絡会”，把“首都圏キャンペーン”记为 documented_name_variant（站点标题变体），不建第二实体。,project_principal_user,2026-07-20,Never merge entities from normalized-name similarity; lineage labels are explicitly nonidentity.,docs/human_review_return_remaining_online_145_v1.md
HR029-017,alias,A052,alias_type,accept,case_round_label_nonidentity,project_principal_user,2026-07-20,Never merge entities from normalized-name similarity; lineage labels are explicitly nonidentity.,docs/human_review_return_remaining_online_145_v1.md
HR029-018,alias,A053,alias_type,accept,case_round_label_nonidentity,project_principal_user,2026-07-20,Never merge entities from normalized-name similarity; lineage labels are explicitly nonidentity.,docs/human_review_return_remaining_online_145_v1.md
HR029-019,alias,A010,alias_type,accept,predecessor_name_nonidentity,project_principal_user,2026-07-20,Never merge entities from normalized-name similarity; lineage labels are explicitly nonidentity.,docs/human_review_return_remaining_online_145_v1.md
HR029-036,alias,A113,alias_type,accept,context_limited_alias,project_principal_user,2026-07-20,Never merge entities from normalized-name similarity; lineage labels are explicitly nonidentity.,docs/human_review_return_remaining_online_145_v1.md
HR029-020,place_semantics,P004,place_name_type_parent_aliases,revise,项目负责人整包确认后的合并前一致性勘误：P004 必须保持 Futenma 议题／地域层，不能与 P010 MCAS Futenma 实体基地层重复；最终值为 name=Futenma|type=site|parent=P018|aliases=Futenma;普天間。,project_principal_user,2026-07-20,"Aliases support lookup only; island, municipality, locality and installation are not merged by name similarity.",docs/human_review_return_remaining_online_145_v1.md
HR029-021,place_semantics,P005,place_name_type_parent_aliases,accept,name=Kadena Air Base|type=base_site|parent=P001|aliases=Kadena;Kadena Air Base;嘉手納基地,project_principal_user,2026-07-20,"Aliases support lookup only; island, municipality, locality and installation are not merged by name similarity.",docs/human_review_return_remaining_online_145_v1.md
HR029-022,place_semantics,P011,place_name_type_parent_aliases,revise,项目负责人确认：revise 为 name=Yonaguni Town|type=municipality|parent=P001|aliases=Yonaguni;Yonaguni Town;与那国町；删除岛屿别名“与那国島”，岛与町不得混同。,project_principal_user,2026-07-20,"Aliases support lookup only; island, municipality, locality and installation are not merged by name similarity.",docs/human_review_return_remaining_online_145_v1.md
HR029-023,place_semantics,P012,place_name_type_parent_aliases,revise,项目负责人确认：revise 为 name=Ishigaki City|type=municipality|parent=P001|aliases=Ishigaki;Ishigaki City;石垣市；删除岛屿别名“石垣島”。,project_principal_user,2026-07-20,"Aliases support lookup only; island, municipality, locality and installation are not merged by name similarity.",docs/human_review_return_remaining_online_145_v1.md
HR029-024,place_semantics,P013,place_name_type_parent_aliases,revise,项目负责人确认：revise 为 name=Miyakojima City|type=municipality|parent=P001|aliases=Miyako;Miyakojima City;宮古島市；删除岛屿别名“宮古島”。,project_principal_user,2026-07-20,"Aliases support lookup only; island, municipality, locality and installation are not merged by name similarity.",docs/human_review_return_remaining_online_145_v1.md
HR029-025,venue_reference,OBS_R10R017,venue_id,accept,V015,project_principal_user,2026-07-20,Resolving a venue foreign key does not turn a grant opportunity into an award or a membership into an event.,docs/human_review_return_remaining_online_145_v1.md
HR029-026,venue_reference,OBS_R10R024,venue_id,revise,项目负责人确认：revise 为 no_applicable_venue；umbrella membership 是组织关系，不是发生场所。,project_principal_user,2026-07-20,Resolving a venue foreign key does not turn a grant opportunity into an award or a membership into an event.,docs/human_review_return_remaining_online_145_v1.md
HR029-027,venue_reference,OBS_R10R025,venue_id,revise,项目负责人确认：revise 为 no_applicable_venue；umbrella membership 是组织关系，不是发生场所。,project_principal_user,2026-07-20,Resolving a venue foreign key does not turn a grant opportunity into an award or a membership into an event.,docs/human_review_return_remaining_online_145_v1.md
HR029-028,venue_reference,OBS_R10R026,venue_id,revise,项目负责人确认：revise 为 no_applicable_venue；umbrella membership 是组织关系，不是发生场所。,project_principal_user,2026-07-20,Resolving a venue foreign key does not turn a grant opportunity into an award or a membership into an event.,docs/human_review_return_remaining_online_145_v1.md
HR029-029,venue_reference,OBS_R10R027,venue_id,revise,项目负责人确认：revise 为 no_applicable_venue；umbrella membership 是组织关系，不是发生场所。,project_principal_user,2026-07-20,Resolving a venue foreign key does not turn a grant opportunity into an award or a membership into an event.,docs/human_review_return_remaining_online_145_v1.md
HR029-030,venue_reference,OBS_R10R035,venue_id,revise,项目负责人确认：revise 为 no_applicable_venue；把 public-diplomacy program channel 放在 entry_mode，不创造场所节点，且 NOFO/机会不等于获资助。,project_principal_user,2026-07-20,Resolving a venue foreign key does not turn a grant opportunity into an award or a membership into an event.,docs/human_review_return_remaining_online_145_v1.md
HR029-037,venue_reference,OBS_R10R001,venue_id,revise,项目负责人确认：revise 为 V011（national ministry or agency administrative channel）；JICA 是行政机构渠道，不是国际合作活动场所。,project_principal_user,2026-07-20,Resolving a venue foreign key does not turn a grant opportunity into an award or a membership into an event.,docs/human_review_return_remaining_online_145_v1.md
HR029-038,venue_reference,OBS_R10R004,venue_id,accept,V010,project_principal_user,2026-07-20,Resolving a venue foreign key does not turn a grant opportunity into an award or a membership into an event.,docs/human_review_return_remaining_online_145_v1.md
HR029-039,venue_reference,OBS_R10R005,venue_id,accept,V010,project_principal_user,2026-07-20,Resolving a venue foreign key does not turn a grant opportunity into an award or a membership into an event.,docs/human_review_return_remaining_online_145_v1.md
HR029-040,venue_reference,OBS_R10R006,venue_id,accept,V011,project_principal_user,2026-07-20,Resolving a venue foreign key does not turn a grant opportunity into an award or a membership into an event.,docs/human_review_return_remaining_online_145_v1.md
HR029-041,venue_reference,OBS_R10R007,venue_id,accept,V011,project_principal_user,2026-07-20,Resolving a venue foreign key does not turn a grant opportunity into an award or a membership into an event.,docs/human_review_return_remaining_online_145_v1.md
HR029-042,venue_reference,OBS_R10R008,venue_id,accept,V010,project_principal_user,2026-07-20,Resolving a venue foreign key does not turn a grant opportunity into an award or a membership into an event.,docs/human_review_return_remaining_online_145_v1.md
HR029-043,venue_reference,OBS_R10R021,venue_id,revise,项目负责人确认：revise 为 no_applicable_venue；regional sponsor perimeter 是关系语境，不是冲绳项目现场。,project_principal_user,2026-07-20,Resolving a venue foreign key does not turn a grant opportunity into an award or a membership into an event.,docs/human_review_return_remaining_online_145_v1.md
HR029-031,relation_type,aggregate_history,relation_type,accept,aggregate_financial_history_observation,project_principal_user,2026-07-20,"Relation vocabulary normalization does not approve candidate edges, funding, alliance or causal interpretation.",docs/human_review_return_remaining_online_145_v1.md
HR029-032,relation_type,co_presence_lead,relation_type,accept,co_presence_observation,project_principal_user,2026-07-20,"Relation vocabulary normalization does not approve candidate edges, funding, alliance or causal interpretation.",docs/human_review_return_remaining_online_145_v1.md
