proposal_row_id,merge_status,current_main_match,cross_module_duplicate,proposed_new,normalized_url,original_urls,current_main_source_ids,declared_existing_source_ids,proposed_source_id,module_source_refs,support_modules,module_record_count,proposed_title,proposed_source_type,proposed_year_or_period,proposed_evidence_level,module_dispositions,what_it_supports,review_boundary,main_archive_status,archive_prerequisite,human_review_required,human_review_prerequisite,metadata_conflicts,recommended_action
SMC001,current_main_match,yes,no,no,https://econet.jpn.org/,https://econet.jpn.org/,S115,S115,,R4:R4S005,R4,1,宮古島海の環境ネットワーク,organization_site,2026,E4,R4:safe_with_correction,Miyako: 组织以海岸清扫、海洋调查和环境教育界定其持续活动 [environment_background_not_deployment],作为地方环境生态背景；未证明军事争议参与 | 官网只支持海岸清扫、海洋调查与环境教育；不得编码 environment_deployment,archived,none_current_main_archive_available,yes,confirm_year_or_period,,reuse current main source ID; do not add a duplicate
SMC002,current_main_match,yes,no,no,https://greenaccess.law.osaka-u.ac.jp/archives/7214,https://greenaccess.law.osaka-u.ac.jp/archives/7214,S071,S071,,R9:R9S005,R9,1,greenaccess 与那国町住民投票条例資料,legal_database,2015,E3,R9:usable_with_limit,R9C_YONAGUNI_2015: 条例第23号及2015年两次修正、执行与投票资格,不是町公报或议会原件；需当地交叉。,archived,none_current_main_archive_available,yes,retain_usable_with_limit_boundary,,reuse current main source ID; do not add a duplicate
SMC003,current_main_match,yes,no,no,https://isobanokai.ti-da.net/,https://isobanokai.ti-da.net/,S052,S052,,R4:R4S022,R4,1,与那国イソバの会 ブログ,organization_blog,2026,E3,R4:safe_with_correction,Yonaguni: 组织以岛的未来、透明度和生命安全质疑部署与扩编 [local_autonomy_referendum],需定位具体博文；首页名称不足以支持全部框架 | 原“明るい未来を願う”只是组织名片段，不支持三项 frame；改用可定位的组织博文，仍不支持 life_safety,archived,none_current_main_archive_available,no,none,,reuse current main source ID; do not add a duplicate
SMC004,current_main_match,yes,no,no,https://ryukyushimpo.jp/news/entry-296563.html,https://ryukyushimpo.jp/news/entry-296563.html,S020,S020,,R4:R4S003,R4,1,陸自配備阻止訴え 宮古で集会 市民 地下水保全求め,local_news,2016,E3,R4:safe_with_correction,Miyako: 新闻记录参与者把反部署与地下水保护并置 [groundwater_life_safety;environment_deployment],需回查正文确认具名actor及原话 | 正文明确具名 6・11 市民集会実行委員会及地下水诉求；与 A012 的稳定 actor 身份仍需 crosswalk,archived,none_current_main_archive_available,no,none,,reuse current main source ID; do not add a duplicate
SMC005,current_main_match,yes,no,no,https://ryukyushimpo.jp/news/prentry-239307.html,https://ryukyushimpo.jp/news/prentry-239307.html,S011,S011,,R9:R9S007,R9,1,与那国住民投票 陸自配備を容認,local_news,2015,E3,R9:usable_with_limit,R9C_YONAGUNI_2015: 投票结果数字,需町选管原表升级为E4。,archived,none_current_main_archive_available,yes,retain_usable_with_limit_boundary,,reuse current main source ID; do not add a duplicate
SMC006,proposed_new,no,no,yes,https://www.call4.jp/file/pdf/202407/5f499d29696072751d0d60cc3a9077f5.pdf,https://www.call4.jp/file/pdf/202407/5f499d29696072751d0d60cc3a9077f5.pdf,,,S160,R9:R9S027,R9,1,令和5年行コ第6号判決,court_record,2024,E3,R9:usable_with_limit,R9C_ISHIGAKI_2018_2024: 第二诉讼链高裁判决与前审信息,CALL4托管而非法院官网；需官方裁判书。,not_applicable_new_candidate,archive_before_main_source_log_merge,yes,approve_new_source_metadata_and_scope;retain_usable_with_limit_boundary,,"after archive and review, add proposed source row"
SMC007,proposed_new,no,no,yes,https://www.call4.jp/search.php?items_id=I0000141&items_id_PAL%5B%5D=match+comp&run=true&type=action,https://www.call4.jp/search.php?items_id=I0000141&items_id_PAL%5B%5D=match+comp&run=true&type=action,,,S161,R9:R9S029,R9,1,石垣市住民投票を求める裁判 CALL4案件页,court_record,2024,E3,R9:usable_with_limit,R9C_ISHIGAKI_2018_2024: 组织自述成立、诉讼支持与最高裁通知日期,组织侧材料不等于法院确认组织原告身份。,not_applicable_new_candidate,archive_before_main_source_log_merge,yes,approve_new_source_metadata_and_scope;retain_usable_with_limit_boundary,,"after archive and review, add proposed source row"
SMC008,current_main_match,yes,yes,no,https://www.city.ishigaki.okinawa.jp/jieiteikannrenn/news/3615.html,https://www.city.ishigaki.okinawa.jp/jieiteikannrenn/news/3615.html,S138,S138,,R9:R9S014;R4:R4S011,R4;R9,2,石垣市平得大俣地域への陸上自衛隊配備計画の賛否を問う住民投票条例に係る議会審議の結果,local_official,2020,E4,R4:safe_with_correction;R9:accepted,Ishigaki: 市政府记录议会两次否决住民投票条例案 [local_autonomy_referendum;procedural_fairness] | R9C_ISHIGAKI_2018_2024: 第一次议会审议结果与附件入口,"需核页面更新日期与具体表决时间 | 不能写 current；页面给出事件日期和更新日期 | Process/source fact only; do not infer organization continuity, alliance, or later authorization.",archived,none_current_main_archive_available,yes,resolve_metadata_or_URL_conflict,source_type=local_news/official_legislative_record;year=2019/2020,reuse current main source ID; do not add a duplicate
SMC009,proposed_new,no,no,yes,https://www.city.ishigaki.okinawa.jp/material/files/group/33/iinkai2024-1.pdf,https://www.city.ishigaki.okinawa.jp/material/files/group/33/iinkai2024-1.pdf,,,S162,R4:R4S014,R4,1,国民保护计划改正要请决议,official_legislative_record,2024,E4,R4:safe_merge,Ishigaki: 市议会要求在撤离制度中确认市民意愿并说明补偿与协作机制 [frontline_taiwan_evacuation;life_safety;local_autonomy_referendum;procedural_fairness],决议是政策要求不是已落实措施 | 市议会决议文字和制度角色清楚；不得写成已落实,not_applicable_new_candidate,archive_before_main_source_log_merge,yes,approve_new_source_metadata_and_scope,,"after archive and review, add proposed source row"
SMC010,proposed_new,no,no,yes,https://www.city.ishigaki.okinawa.jp/material/files/group/33/r3-6-28gijinittei.pdf,https://www.city.ishigaki.okinawa.jp/material/files/group/33/r3-6-28gijinittei.pdf,,,S163,R9:R9S025,R9,1,令和3年第5回石垣市議会定例会議事日程,official_legislative_record,2021,E4,R9:accepted,R9C_ISHIGAKI_2018_2024: 2021-06-28自治基本条例修正议案与议决,"Process/source fact only; do not infer organization continuity, alliance, or later authorization.",not_applicable_new_candidate,archive_before_main_source_log_merge,yes,approve_new_source_metadata_and_scope,,"after archive and review, add proposed source row"
