event_id,date,place,event_label,event_stage,source_ids,attribution_status,interpretation_limit,data_layer,claim_status,review_status,frontend_eligibility,central_writeback
EV01,2017-02-28,Sakishima,four-group government negotiation,event_contact,S036,independent_news,older cross-island baseline,research_only,candidate,ai_seeded,not_frontend_ready,no
EV02,2023-11-23,Okinawa,prefectural peace rally,claimed_trigger,H3V2S011;H3V2S012,organizer_self_attribution,trigger is not causal proof,research_only,candidate,ai_seeded,not_frontend_ready,no
EV03,2024-04-21,Ehime,regional exchange/action,contact_sequence,H3V2S011,organizer_self_narrative,participant roster incomplete,research_only,candidate,ai_seeded,not_frontend_ready,no
EV04,2024-08-11,Okinawa,cross-regional exchange,contact_sequence,H3V2S011,organizer_self_narrative,participant roster incomplete,research_only,candidate,ai_seeded,not_frontend_ready,no
EV05,2024-09-21,Hiroshima/Kure,cross-regional exchange,contact_sequence,H3V2S011,organizer_self_narrative,participant roster incomplete,research_only,candidate,ai_seeded,not_frontend_ready,no
EV06,2024-11-30,Oita,cross-regional exchange,contact_sequence,H3V2S011,organizer_self_narrative,participant roster incomplete,research_only,candidate,ai_seeded,not_frontend_ready,no
EV07,2025-02-22,Kagoshima/Satsuma,formal network formation,formal_carrier,H3V2S009;H3V2S010,organization_primary,network identity pending HR,research_only,candidate,ai_seeded,not_frontend_ready,no
EV08,2025-04-20,Fukuoka/Tsuiki,regional exchange/action,contact_sequence,H3V2S011,organizer_self_narrative,participant roster incomplete,research_only,candidate,ai_seeded,not_frontend_ready,no
EV09,2025-05-06,Okinawa/West Japan,35-member dated roster,formal_membership_claim,H3V2S011,organization_primary,membership is not dyadic alliance,research_only,candidate,ai_seeded,not_frontend_ready,no
EV10,2025-06-06,Tokyo,first government negotiation,repeat_formal_action_1,H3V2S013,independent_report,200 attendance report is event-specific,research_only,candidate,ai_seeded,not_frontend_ready,no
EV11,2026-01-26,Tokyo,second government negotiation,repeat_formal_action_2,H3V2S014,independent_report,38 groups not comparable growth without roster,research_only,candidate,ai_seeded,not_frontend_ready,no
EV12,2026-05-07,Yonaguni/Ishigaki/Miyako/Okinawa,four-island joint petition,event_hyperedge,H3V2S023;H3V2S024,primary_plus_external_report,first is organizer/reporter attribution; not stable alliance,research_only,candidate,ai_seeded,not_frontend_ready,no
