match_universe,graph_object,outcome_measure,pair_count,mean_dense_minus_thin,median_dense_minus_thin,dense_higher_pair_count,tie_pair_count,dense_lower_pair_count,do_not_pool_across_objects,research_status,display_tier,claim_status,review_status,frontend_eligibility,interpretation_limit
all_current_actors,actor_issue_bipartite,active_actor_issue_degree,18,1.0556,1.0,10,7,1,yes,research_only,research,candidate,ai_seeded,not_frontend_ready,Object-specific matched contrast only; do not sum outcomes or infer a causal documentation effect.
all_current_actors,actor_issue_bipartite,active_actor_issue_betweenness,18,0.0031,0.0012,10,5,3,yes,research_only,research,candidate,ai_seeded,not_frontend_ready,Object-specific matched contrast only; do not sum outcomes or infer a causal documentation effect.
all_current_actors,strict_same_source_triples,strict_unique_place_issue_pair_count,18,0.9444,0.5,9,5,4,yes,research_only,research,candidate,ai_seeded,not_frontend_ready,Object-specific matched contrast only; do not sum outcomes or infer a causal documentation effect.
all_current_actors,event_hyperedge_incidence,human_checked_event_degree,18,0.0556,0.0,4,11,3,yes,research_only,research,candidate,ai_seeded,not_frontend_ready,Object-specific matched contrast only; do not sum outcomes or infer a causal documentation effect.
all_current_actors,accepted_case_role_incidence,accepted_case_degree,18,0.4444,0.0,8,10,0,yes,research_only,research,candidate,ai_seeded,not_frontend_ready,Object-specific matched contrast only; do not sum outcomes or infer a causal documentation effect.
all_current_actors,reviewed_typed_dyadic,reviewed_typed_dyadic_degree,18,0.7222,0.0,4,14,0,yes,research_only,research,candidate,ai_seeded,not_frontend_ready,Object-specific matched contrast only; do not sum outcomes or infer a causal documentation effect.
actor_issue_connected_only,actor_issue_bipartite,active_actor_issue_degree,16,0.6875,0.5,8,7,1,yes,research_only,research,candidate,ai_seeded,not_frontend_ready,Object-specific matched contrast only; do not sum outcomes or infer a causal documentation effect.
actor_issue_connected_only,actor_issue_bipartite,active_actor_issue_betweenness,16,0.0006,0.0004,8,5,3,yes,research_only,research,candidate,ai_seeded,not_frontend_ready,Object-specific matched contrast only; do not sum outcomes or infer a causal documentation effect.
actor_issue_connected_only,strict_same_source_triples,strict_unique_place_issue_pair_count,16,0.9375,0.5,8,4,4,yes,research_only,research,candidate,ai_seeded,not_frontend_ready,Object-specific matched contrast only; do not sum outcomes or infer a causal documentation effect.
actor_issue_connected_only,event_hyperedge_incidence,human_checked_event_degree,16,0.0,0.0,3,10,3,yes,research_only,research,candidate,ai_seeded,not_frontend_ready,Object-specific matched contrast only; do not sum outcomes or infer a causal documentation effect.
actor_issue_connected_only,accepted_case_role_incidence,accepted_case_degree,16,0.4375,0.0,7,9,0,yes,research_only,research,candidate,ai_seeded,not_frontend_ready,Object-specific matched contrast only; do not sum outcomes or infer a causal documentation effect.
actor_issue_connected_only,reviewed_typed_dyadic,reviewed_typed_dyadic_degree,16,0.8125,0.0,4,12,0,yes,research_only,research,candidate,ai_seeded,not_frontend_ready,Object-specific matched contrast only; do not sum outcomes or infer a causal documentation effect.
