record_audit_id,input_batch,proposal_id,candidate_id,normalized_url,url_group_id,cross_batch_duplicate,current_source_ids,merge_disposition,suggested_source_id_if_merged,snapshot_state,provisional_merged_source_ids,title,publisher,input_source_type,suggested_source_type,publication_or_record_date,suggested_year,locator,support_scope,suggested_evidence_level,input_approval_field,relation_or_claim_approved,caveat,metadata_issue_codes,web_review_flags
NW2FR001,NW2-B_R09,R9EC_S001,,https://www.pref.okinawa.jp/_res/projects/default_project/_page_/001/004/927/h26nenpou.pdf,NW2FS001,no,,unique_proposed_new,S248,postmerge_provisional_batch_match,S248,平成26年版 選挙管理委員会年報,沖縄県選挙管理委員会,official_election_record,official_data,2015-06,2015,『沖縄県知事選挙の実績』第12回（告示2014-10-30、投票2014-11-16）,2014 election-window date and official institutional context only,E4,relation_or_claim_approved,no,Does not support any civic-actor role or causal effect.,,
NW2FR002,NW2-B_R09,R9EC_S002,,https://www.ywca.or.jp/pdf/2014/0716.pdf,NW2FS002,no,,unique_proposed_new,S249,postmerge_provisional_batch_match,S249,きちきちニュースレター Vol.6（島ぐるみ会議結成）,日本YWCA 基地チーム,organization_newsletter,organization_report,2014-07,2014,"p.1, lines describing 7/27 founding and explicitly stating the body was not directly election-purpose",2014 Shimagurumi founding as issue-campaign window and non-endorsement boundary,E3,relation_or_claim_approved,no,Participant/advocacy publication; exact crosswalk to A059 requires human review.,,
NW2FR003,NW2-B_R09,R9EC_S003,,https://www.qab.co.jp/news/2014082157456.html,NW2FS003,no,,unique_proposed_new,S250,postmerge_provisional_batch_match,S250,翁長那覇市長に保革双方が出馬を要請,琉球朝日放送,local_broadcast_news,local_news,2014-08-21,2014,Names two women-led request groups and reports their candidate-entry requests,2014 women-group request to Takeshi Onaga to stand,E3,relation_or_claim_approved,no,Does not provide the full member roster of either ad hoc request body.,,
NW2FR004,NW2-B_R09,R9EC_S004,,https://www.jcp.or.jp/akahata/aik14/2014-08-22/2014082204_01_1.html,NW2FS004,no,,unique_proposed_new,S251,postmerge_provisional_batch_match,S251,翁長さんで新基地阻止／女性団体が出馬要請,しんぶん赤旗,party_media,party_news,2014-08-22,2014,Reports the request body as 52 groups/individuals and names two example networks,2014 women request-body scale/context; second source to QAB,E2,relation_or_claim_approved,no,Party-media framing; 52 is not a verified organization roster.,,
NW2FR005,NW2-B_R09,R9EC_S005,,https://www.jcp.or.jp/akahata/aik14/2014-10-11/2014101104_01_1.html,NW2FS005,no,,unique_proposed_new,S252,postmerge_provisional_batch_match,S252,『新基地ノー』心一つ／沖縄知事選 女性29団体が集会,しんぶん赤旗,party_media,party_news,2014-10-11,2014,Reports 10/9 women assembly organized by the Hiyamikachi Umānchu campaign women's bureau,2014 public endorsement/mobilization meeting,E2,relation_or_claim_approved,no,Single party-media report; full 29-group roster is not available online.,,
NW2FR006,NW2-B_R09,R9EC_S006,,https://www.magazine9.jp/article/yuntacrew/18975,NW2FS006,no,,unique_proposed_new,S253,postmerge_provisional_batch_match,S253,『ゆんたく』から始まった、沖縄・若者の抵抗,マガジン9 / ゆんたくるー,participant_account,community_site,2015-04-22,2015,Participant describes formation after 2014-08-12 and a pre-gubernatorial-election field-learning bus tour,2014 youth observation/dialogue intervention,E3,relation_or_claim_approved,no,Retrospective first-person account; does not establish turnout or vote effects.,source_type_human_choice,
NW2FR007,NW2-B_R09,R9EC_S007,,https://www.shinfujin.gr.jp/2943,NW2FS007,yes,,cross_batch_duplicate_proposed_new,S254,postmerge_provisional_batch_match,S254,談話：沖縄県知事選で圧勝の民意に応え、ただちに新基地建設中止を,新日本婦人の会,organization_statement,organization_statement,2014-11-19,2014,Official post-result statement; self-reports Okinawa members' campaign activity,2014 organization public interpretation and bounded self-report,E4,relation_or_claim_approved,no,Organizational self-report is not independent evidence of electoral effect.,,
NW2FR008,NW2-B_R09,R9EC_S008,,https://www.pref.okinawa.jp/kensei/senkyo/1005009/1023802/1021246.html,NW2FS008,no,,unique_proposed_new,S255,postmerge_provisional_batch_match,S255,平成30年沖縄県知事選挙 特設ページ,沖縄県選挙管理委員会,official_election_record,official_data,2018-09,2018,Official 2018 election administration and 9/30 vote date,2018 election-window date and institutional context only,E4,relation_or_claim_approved,no,Does not support any civic-actor role or causal effect.,,
NW2FR009,NW2-B_R09,R9EC_S009,,https://ryukyushimpo.jp/news/entry-770040.html,NW2FS009,no,,unique_proposed_new,S256,postmerge_provisional_batch_match,S256,『知事、頑張れ』緊急集会で撤回表明に喜びと決意,琉球新報,local_news,local_news,2018-07-27,2018,"Reports All Okinawa Council rally, appeal supporting revocation, and 300+ participants",2018 pre-election issue campaign supporting a gubernatorial administrative act,E3,relation_or_claim_approved,no,Support for a policy act is not a candidate endorsement or vote-effect claim.,,
NW2FR010,NW2-B_R09,R9EC_S010,,https://all-okinawa.jp/492,NW2FS010,no,,unique_proposed_new,S257,postmerge_provisional_batch_match,S257,8.11県民大会（辺野古新基地建設断念要求）,辺野古新基地を造らせないオール沖縄会議,organization_event_record,organization_event_record,2018-08-11,2018,Official event page and linked reports after Onaga's death,2018 issue campaign and memorial rally; no candidate endorsement coded,E4,relation_or_claim_approved,no,Election proximity does not convert the rally into an endorsement without explicit evidence.,,
